brid	AVERAGE
Brahy.D02G0183400	4.334981971
Brahy.S03G0087000	-5.875548968
Brahy.D01G0285100	-4.548326077
Brahy.D04G0165300	-6.227302798
Brahy.D02G0654400	-6.45258382
Brahy.S05G0138200	-5.071175356
Brahy.D03G0290700	-6.553725864
Brahy.S06G0246600	-1.099561313
Brahy.D01G0828000	-5.162950123
Brahy.D01G0410600	-6.215231741
Brahy.D04G0437500	-5.165879983
Brahy.S03G0083200	-3.508941431
Brahy.D01G0209900	-4.746046199
Brahy.D03G0610900	-4.517408473
Brahy.D02G0647900	-4.680080515
Brahy.S07G0069600	-5.843658011
Brahy.D04G0570200	-4.422705785
Brahy.S06G0057300	-4.517324258
Brahy.S07G0181200	-3.268392555
Brahy.D02G0810100	-4.657966597
Brahy.D04G0523100	-4.643072339
Brahy.S09G0060300	-5.0568723
Brahy.S01G0406300	-3.055598029
Brahy.D05G0101000	-5.38065552
Brahy.S04G0281300	-2.790026525
Brahy.S04G0202900	-5.033074934
Brahy.D04G0089400	-7.489567415
Brahy.D04G0209900	6.823077068
Brahy.D03G0713000	-3.852855225
Brahy.S01G0301000	-3.260517653
Brahy.S04G0056200	-7.345329232
Brahy.S09G0172200	-3.7873285
Brahy.S05G0152600	-3.303174923
Brahy.D01G0278800	-5.033545824
Brahy.D03G0807300	-4.206961483
Brahy.D02G0657500	-2.331242884
Brahy.S03G0002800	-6.255750009
Brahy.D01G0494100	-2.860170694
Brahy.S07G0250700	-5.996886181
Brahy.D02G0038000	-3.104323491
Brahy.D03G0100700	-2.552922173
Brahy.S05G0295800	-2.352086585
Brahy.S03G0191600	-2.501769417
Brahy.D02G0701200	-4.309056652
Brahy.S01G0173200	-4.952548723
Brahy.S01G0292900	-2.855362292
Brahy.D03G0286900	-3.35201629
Brahy.S03G0248900	3.38082007
Brahy.D01G0154200	-4.999013067
Brahy.S04G0266800	-4.60071079
Brahy.S02G0219600	-5.219189393
Brahy.S05G0256500	-2.97600509
Brahy.D02G0638200	-5.8887637
Brahy.D02G0494600	-3.034050248
Brahy.D03G0552200	6.837597583
Brahy.S08G0241100	-4.044567328
Brahy.D04G0584600	-3.758622961
Brahy.D03G0754700	-3.255090459
Brahy.D02G0770800	-3.667487119
Brahy.D05G0239400	-3.522258668
Brahy.D02G0727100	-5.890459142
Brahy.D02G0153400	-2.576752561
Brahy.D04G0019000	-3.053522135
Brahy.S05G0182400	2.209884829
Brahy.D03G0150400	-2.750404488
Brahy.D04G0018900	-2.985785395
Brahy.S02G0292400	4.285339324
Brahy.D03G0680300	-2.682873633
Brahy.D05G0349900	4.542860128
Brahy.D02G0736000	-1.852276797
Brahy.D02G0654300	-6.89662018
Brahy.D01G0925900	-2.639843126
Brahy.S06G0063100	-4.548969621
Brahy.D02G0770700	-2.978098786
Brahy.S07G0021000	-3.937623974
Brahy.D02G0252000	-3.908014511
Brahy.S06G0021200	-2.443750398
Brahy.S08G0050200	-2.401929222
Brahy.D02G0837000	-2.746042511
Brahy.S02G0043700	-4.305703226
Brahy.S01G0275400	5.009412493
Brahy.S03G0032400	-2.606100484
Brahy.S05G0151100	-4.280400828
Brahy.D02G0326800	2.308743207
Brahy.D02G0690000	-3.939952766
Brahy.D02G0276900	-3.185697198
Brahy.S08G0200400	3.720675277
Brahy.D05G0118700	3.785450798
Brahy.S09G0196300	-1.746923469
Brahy.D02G0759300	-3.44130965
Brahy.S06G0155400	5.899147964
Brahy.D01G0950900	-3.352153234
Brahy.S06G0264300	-2.001679263
Brahy.S09G0233900	6.065947945
Brahy.S04G0235000	-2.209219684
Brahy.S04G0293900	-2.104795998
Brahy.D04G0012800	-2.791768844
Brahy.S02G0237600	-2.085815106
Brahy.D04G0316800	6.992906991
Brahy.S03G0225500	-2.666849988
Brahy.D05G0210400	-3.628704668
Brahy.S05G0272700	-1.822917787
Brahy.S02G0012200	-3.762085085
Brahy.D03G0115500	-3.195250909
Brahy.D01G0626100	-1.497434294
Brahy.S09G0240500	-3.665261111
Brahy.S06G0196900	-3.875710304
Brahy.D03G0707600	-3.542504675
Brahy.S09G0230600	-2.809174914
Brahy.D02G0697600	-3.596002753
Brahy.D01G0041000	-3.033593017
Brahy.D01G1003400	3.06305832
Brahy.S01G0429900	-2.738707532
Brahy.D04G0563500	3.046723779
Brahy.S03G0233400	-7.119003182
Brahy.D04G0342000	-2.963123634
Brahy.D01G0766700	-2.088150865
Brahy.S09G0287100	-1.904680632
Brahy.S02G0084100	-2.004442432
Brahy.D04G0525000	-6.739588067
Brahy.S09G0249400	-3.527767513
Brahy.D05G0147000	-2.927244375
