brid	AVERAGE
Brast02G360600	-0.86505929
Brast09G205500	1.525856811
Brast09G089800	-0.183131406
Brast07G149600	-2.828424448
Brast02G041200	-3.282128653
Brast08G075500	2.3133056
Brast01G061200	3.66489873
Brast02G250200	1.259927986
Brast08G061100	0.315734804
Brast03G107300	-0.877896915
Brast07G210900	5.891390991
Brast05G287900	-3.017558229
Brast02G300400	-3.429856235
Brast04G105700	6.700148546
Brast10G062700	8.885871941
Brast03G048900	7.250249891
Brast01G410200	-3.700165721
Brast04G236100	1.842637964
Brast05G266400	-4.449608813
Brast07G195100	0.685814691
Brast02G004500	2.82077172
Brast09G073300	3.263336143
Brast02G141400	-1.030093798
Brast07G031800	1.733555903
Brast01G122900	1.000541397
Brast06G040500	-5.506143434
Brast01G341600	2.570679919
Brast08G215100	0.384275819
Brast08G095000	4.298197888
Brast06G007400	2.925769083
Brast09G146600	3.833695351
Brast02G367500	-10.28335681
Brast06G052900	-5.483881178
Brast05G122200	-3.93904522
Brast04G030000	4.408852442
Brast09G012800	3.721822505
Brast04G085200	2.008182858
Brast08G106000	1.895666374
Brast07G087800	-0.081429588
Brast07G195400	6.515623396
Brast02G208800	-3.566920166
Brast09G239100	-3.554282391
Brast07G010000	-2.489006311
Brast04G099700	-2.78888465
Brast08G241300	2.051169775
Brast04G194300	-8.065624604
Brast04G116600	-2.968903303
Brast03G005600	3.237410176
Brast04G254500	-3.305206598
Brast06G107800	-3.516778362
Brast09G127200	0.577789408
Brast01G365100	-5.249341985
Brast09G124300	-2.077874051
Brast05G022700	-5.863639324
Brast04G243800	2.900152399
Brast09G062000	-4.07368461
Brast06G020600	-2.845670972
Brast01G141300	-2.066762369
Brast04G025000	5.516655258
Brast04G274500	-2.332050892
Brast05G163500	-2.084195306
Brast02G270900	4.113112679
Brast08G225100	1.950834976
Brast01G329600	-3.556746402
Brast07G029400	1.583730857
Brast10G178900	2.913767787
Brast01G187700	1.75578712
Brast04G110200	-4.186588633
Brast04G114200	2.227965697
Brast06G012800	0.557323615
Brast06G157300	1.590640648
Brast08G218100	-1.893920067
Brast07G235700	2.593896486
Brast10G080400	-3.683151353
Brast09G130200	1.069613381
Brast02G057300	2.302871252
Brast01G129100	-1.138359084
Brast08G011800	0.740681986
Brast02G291400	1.841136476
Brast02G135900	2.559254681
Brast04G259700	-2.629904356
Brast09G127700	0.249259567
Brast05G132900	-3.589849539
Brast01G075700	2.649363797
Brast09G167400	-3.351312988
Brast02G113800	2.351175171
Brast01G354600	1.854909377
Brast09G154100	2.438739002
Brast06G208700	0.768146694
Brast02G134100	2.965553031
Brast04G198500	-1.960173734
Brast01G201000	2.53109507
Brast09G194600	-1.887589382
Brast05G032700	-2.663526441
Brast03G291600	-2.378007877
Brast09G148600	2.522735572
Brast01G290800	-2.817791634
Brast03G249000	4.157476505
Brast06G242700	-2.236414123
Brast02G103500	-2.583344766
Brast03G107500	0.577787362
Brast07G156000	-1.078161017
Brast09G186100	0.84085764
Brast06G221300	-2.659805174
Brast04G165400	-4.255473961
Brast01G196200	-3.435621174
Brast09G083400	-3.663822174
Brast02G084300	1.882079318
Brast07G176100	1.511544771
Brast02G077600	-1.026311024
Brast09G039300	6.578497364
Brast05G163200	2.812535038
Brast06G103100	2.07145826
Brast01G244200	-3.389190023
Brast07G083100	-2.93403494
Brast05G226000	1.112027663
Brast10G163300	-1.992601157
Brast01G020000	-1.716890179
Brast04G105200	-2.916158207
Brast04G189000	-3.744057376
Brast05G195600	0.827838055
Brast01G032100	-1.597917749
Brast07G188400	-1.696281099
Brast01G303000	2.722302996
Brast09G180700	3.58994503
Brast02G157200	-2.441819126
Brast06G041300	3.372835201
Brast08G145800	-5.162214603
Brast01G127200	-2.362857255
Brast07G064600	-4.167092935
Brast09G039800	0.278368775
Brast02G193600	-2.358487802
Brast02G153700	-2.530710217
Brast08G178200	-1.967483991
Brast04G130300	5.897390289
Brast02G178400	-1.724981122
Brast06G191700	2.18278524
Brast04G164200	1.594484015
Brast10G006100	-2.498890886
Brast09G054300	3.561298166
Brast05G145900	0.078035612
Brast05G094000	-3.134876835
Brast10G117800	-2.356666674
Brast01G070900	2.047183855
Brast02G092000	-0.422036156
Brast04G163900	2.39698694
Brast04G270900	-1.781570432
Brast03G183200	-0.144176074
Brast08G075700	0.435873363
Brast06G125100	-2.722953618
Brast05G233400	-2.72346081
Brast02G023800	2.227211789
Brast02G168400	0.308448911
Brast10G112400	-3.239750198
Brast06G186000	1.176676397
Brast02G240500	2.822522832
Brast06G055100	-3.40199503
Brast08G047600	-2.061070675
Brast09G209200	1.524828872
Brast01G114800	-2.14138307
Brast05G255200	-2.090621847
Brast08G162400	-3.618390407
Brast01G105700	-1.798191606
Brast06G015200	-2.011426282
Brast08G135400	-3.625965659
Brast03G156700	-1.944160609
Brast05G269500	-2.433374017
Brast06G073100	-1.522423887
Brast10G054400	2.295531052
Brast02G350800	3.816530449
Brast07G162200	-2.904862444
Brast04G026000	2.91787026
Brast06G200200	3.363242651
Brast06G228400	1.745564722
Brast10G162300	-1.984033931
Brast02G370200	-1.782801583
Brast03G194500	-2.577957622
Brast01G141400	-2.435662364
Brast03G079200	-4.811957363
Brast01G292700	-0.597508272
Brast08G034100	2.002913324
Brast03G252600	0.836436728
Brast08G169200	0.006366505
Brast07G153900	1.747217874
Brast01G278200	-1.526387173
Brast05G135700	-3.492647664
Brast06G087000	1.736555365
Brast10G033100	-1.88530717
Brast02G143600	2.086994703
Brast03G198700	0.231936529
Brast04G092400	2.185805257
Brast05G187000	3.156804394
Brast01G182700	2.470693431
Brast08G035500	-3.123835878
Brast03G290500	-2.345790102
Brast01G070500	2.935090783
Brast03G221000	4.027648798
Brast01G085100	3.342234052
Brast08G078700	2.127932679
Brast01G355900	1.599780343
Brast01G201800	-3.02438717
Brast07G141400	1.67625366
Brast02G321800	0.291542122
Brast02G116200	1.671983573
Brast05G034100	1.726562362
Brast01G026700	0.973511587
Brast04G029900	4.43240617
Brast05G123200	0.512381364
Brast08G201100	-2.927490627
Brast03G003900	-2.307239329
Brast03G016900	-2.293594178
Brast08G226400	-2.291768281
Brast02G020100	-2.699466186
Brast08G004700	2.062266999
Brast01G089100	2.133529351
Brast10G178100	-2.410834613
Brast04G105500	4.702870922
Brast02G305500	-1.769532998
Brast02G195300	-2.202687384
Brast01G095300	-2.187738133
Brast07G196100	1.34447159
Brast09G221700	1.419540201
Brast04G163100	3.316834148
Brast10G003400	-1.927165656
Brast07G093700	2.479661751
Brast04G222000	-1.964143137
Brast01G126500	-2.432132536
Brast07G188100	-1.903408253
Brast01G164500	1.647904894
Brast01G024500	-3.342036778
Brast01G145400	2.022042627
Brast06G239800	0.039485288
Brast02G170000	1.334269473
Brast08G044400	-0.273946354
Brast07G036300	-4.622249475
Brast02G144100	-5.313839394
Brast10G175400	3.458082502
Brast07G225900	-5.091261281
Brast09G005100	3.059243262
Brast03G232700	2.57756957
Brast01G024400	-3.981104994
Brast10G001900	-8.118541718
Brast06G094200	5.878162892
Brast03G202200	-3.171302005
Brast04G197200	-10.39560251
Brast04G121000	-5.90620463
Brast02G245300	-4.369296848
Brast06G060800	-3.856719481
Brast02G129000	-3.423100368
Brast06G230200	-6.697474241
Brast03G069100	3.986869159
Brast01G162500	-3.299614028
Brast10G072600	-6.482651677
Brast04G110500	-3.857625349
Brast08G074900	-8.184685974
Brast09G120200	2.643397683
Brast05G031200	-7.261671186
Brast03G187000	2.765798227
Brast01G170400	-10.42288886
Brast09G081400	-6.005956461
Brast03G168000	-9.922225606
Brast09G158900	-3.93333029
Brast06G224900	3.565370865
Brast05G134300	-3.653983032
Brast05G249900	-3.815843934
Brast01G072300	2.189870145
