atid	AVERAGE
AT1G01090	1.191616845
AT1G01190	2.1560303125
AT1G01225	-1.705671146
AT1G01300	-1.743944385
AT1G01490	1.513701772
AT1G01580	3.58994503
AT1G01630	-1.9232009330000002
AT1G01720	-1.4451480870000002
AT1G01800	-0.9528457834999999
AT1G02070	-4.764018571
AT1G02150	-1.7897514840000002
AT1G02170	0.7390321390000001
AT1G02205	0.6263107589999999
AT1G02260	-1.1371542479999999
AT1G02380	-1.35551028
AT1G02640	3.85969824
AT1G02850	0.8498834499999999
AT1G03220	0.9956355219999997
AT1G03600	-1.2274740640000001
AT1G03610	1.641224002
AT1G03650	-1.3893785159999998
AT1G03670	8.963586665
AT1G03870	-2.3809335
AT1G04030	2.371129963
AT1G04110	-1.543574466
AT1G04220	1.997776489
AT1G04420	-2.486665182
AT1G04500	-1.7925722455000002
AT1G04870	1.672400289
AT1G05010	0.05080167800000002
AT1G05060	-1.268780173
AT1G05170	-1.666202023
AT1G05260	-0.31221186099999976
AT1G05360	-1.2503427870000001
AT1G05790	-1.601073536
AT1G05805	1.611711193
AT1G05830	-2.344693363
AT1G05870	-0.474795986
AT1G06340	2.286239335
AT1G06410	0.047566418999999915
AT1G06620	2.5480399665
AT1G07090	-3.01968889
AT1G07150	-1.296952065
AT1G07180	3.052689946
AT1G07230	-4.621597046000001
AT1G07250	-3.053187663
AT1G07430	-3.423100368
AT1G07540	-1.009481252
AT1G07780	-0.422036156
AT1G08290	-1.692749656
AT1G08320	2.145149006
AT1G08500	-1.299504066
AT1G08570	1.7347924630000002
AT1G08650	-1.6238011695
AT1G09140	-1.285834005
AT1G09390	0.14041933100000004
AT1G09530	-2.598794448
AT1G09540	-2.2205197489999997
AT1G09780	-1.420826856
AT1G09870	-1.286637605
AT1G10010	0.16044821439999998
AT1G10210	-1.4009383480000002
AT1G10270	1.60196174
AT1G10360	2.639573564166667
AT1G10370	1.5252368615
AT1G10520	-2.493627163
AT1G10680	1.866963336
AT1G10700	2.066360352
AT1G10820	-1.175516498
AT1G10950	1.404987945
AT1G10970	1.9100350675
AT1G11130	1.6301427130000001
AT1G11260	2.137610979
AT1G11290	-1.975468409
AT1G11310	1.6789341359999999
AT1G11330	1.419540201
AT1G11360	-2.783280197
AT1G11580	-2.21199851
AT1G11680	-0.76619195275
AT1G11700	-2.7659072389999997
AT1G11755	-1.611757915
AT1G11840	-1.030094612
AT1G11910	-1.293548904
AT1G12020	-1.7156166369999999
AT1G12030	2.283003251
AT1G12110	1.342283783
AT1G12200	-2.577957622
AT1G12230	1.6164727909999999
AT1G12570	-2.747611465
AT1G12920	-3.821242567
AT1G13260	1.7597770640000001
AT1G13340	-1.180245078
AT1G13440	-1.029294671
AT1G13570	2.527450076
AT1G13640	-1.308915758
AT1G13680	-3.8567194810000003
AT1G13700	1.329478735
AT1G13740	-1.3646206790000002
AT1G13750	1.463466578
AT1G13920	-2.69530428
AT1G14130	1.505613219
AT1G14150	-1.307499186
AT1G14205	1.427183815
AT1G14440	-2.212822155
AT1G14560	-1.190011652
AT1G14590	0.617634244
AT1G14730	-2.049728058
AT1G14780	-1.277471459
AT1G14810	-1.254618099
AT1G15060	-1.5594016819999998
AT1G15410	-3.3891900230000003
AT1G15440	1.458871646
AT1G15520	1.433327049
AT1G15690	-1.1566002640000002
AT1G15740	-0.771042725
AT1G15960	-2.9301930410000003
AT1G16060	-1.651362821
AT1G16300	-1.025796592
AT1G16490	-2.4505585080000003
AT1G16610	-1.4095679680000002
AT1G16670	1.462970516
AT1G17100	-1.531337114
AT1G17120	2.1624253330000003
AT1G17290	-4.458167835
AT1G17420	-1.6430805830000001
AT1G17530	-1.387545835
AT1G17550	-2.045300786
AT1G17620	-1.159290552
AT1G17650	-1.3175037809999999
AT1G17710	-3.36130614
AT1G17820	-1.070549679
AT1G17870	-1.7905532130000001
AT1G18160	1.332946951
AT1G18170	-2.228658029
AT1G18210	1.198015228
AT1G18270	1.035675985
AT1G18390	1.8632246055000001
AT1G18470	1.066301008
AT1G18480	2.95453475
AT1G18640	-1.646325146
AT1G18650	0.5050904829999999
AT1G18980	3.592629313
AT1G19025	-2.83394017
AT1G19110	-1.5699637690000001
AT1G19180	-2.301057508
AT1G19330	-1.6437931330000002
AT1G19400	-3.10545775
AT1G19530	3.859739898
AT1G19730	2.18278524
AT1G19740	-1.323129226
AT1G19750	-1.331690303
AT1G19920	-1.4728947719999999
AT1G20150	-1.948869919
AT1G20440	-2.0203783774999997
AT1G20810	-1.496360801
AT1G20950	-1.194221113
AT1G21210	-1.700895031
AT1G21230	1.9467063212500002
AT1G21240	2.3144442339999998
AT1G21250	3.237560078
AT1G21270	1.5781821724
AT1G21400	-3.8158439339999997
AT1G21410	1.3649626330000002
AT1G21500	-2.098820625
AT1G21680	-2.4459491669999998
AT1G21830	1.668163661
AT1G21880	-1.5049319469999998
AT1G21920	1.71831343
AT1G21980	-2.591030171
AT1G22240	-3.0346221019999997
AT1G22340	1.645938581
AT1G22360	-0.8086076406666667
AT1G22400	-5.483881178
AT1G22540	1.3124582194999999
AT1G22630	-1.7142326490000002
AT1G23070	-4.961276074
AT1G23110	-2.8860243050000003
AT1G23140	-1.333621278
AT1G23390	1.4766727380000002
AT1G23800	0.5253874205
AT1G24030	-1.646232545
