	id1	atid	ENZYME	SYMBOL	Author	Detection Method	Detection Method ID	interaction	Interaction Type	id2	Primary Interaction Type	Publication DB	Publication ID	selected	shared interaction	shared name	Source Database
0	836873	AT5G67380	2.7.11.1	CKA1	Sugano S (1999)	enzymatic study	MI:0415	265127	direct interaction	839341	direct interaction	pubmed	10535927	FALSE	265127	836873 (265127) 839341	psi-mi
1	836873	AT5G67380	2.7.11.1	CKA1	Sugano S (1998)	enzymatic study	MI:0415	265110	direct interaction	819296	direct interaction	pubmed	9724822	FALSE	265110	836873 (265110) 819296	psi-mi
2	839341	AT1G01060		LHY1	Mizoguchi T (2005)	genetic interference	MI:0254	265664	synthetic genetic interaction defined by inequality	838883	synthetic genetic interaction defined by inequality	pubmed	16006578	FALSE	265664	839341 (265664) 838883	psi-mi
3	839341	AT1G01060		LHY1	Mizoguchi T (2005)	genetic interference	MI:0254	265667	suppressive genetic interaction defined by inequality	838883	suppressive genetic interaction defined by inequality	pubmed	16006578	FALSE	265667	839341 (265667) 838883	psi-mi
4	839341	AT1G01060		LHY1	Ding Z (2007)	genetic interference	MI:0254	265112	additive genetic interaction defined by inequality	836259	additive genetic interaction defined by inequality	pubmed	17483414	FALSE	265112	839341 (265112) 836259	psi-mi
5	839341	AT1G01060		LHY1	Ding Z (2007)	genetic interference	MI:0254	265116	suppressive genetic interaction defined by inequality	836259	suppressive genetic interaction defined by inequality	pubmed	17483414	FALSE	265116	839341 (265116) 836259	psi-mi
6	839341	AT1G01060		LHY1	Niwa Y (2007)	genetic interference	MI:0254	265694	suppressive genetic interaction defined by inequality	836259	suppressive genetic interaction defined by inequality	pubmed	17540692	FALSE	265694	839341 (265694) 836259	psi-mi
7	839341	AT1G01060		LHY1	Niwa Y (2007)	genetic interference	MI:0254	265697	additive genetic interaction defined by inequality	836259	additive genetic interaction defined by inequality	pubmed	17540692	FALSE	265697	839341 (265697) 836259	psi-mi
8	839341	AT1G01060		LHY1	Ito S (2007)	genetic interference	MI:0254	265700	suppressive genetic interaction defined by inequality	836259	suppressive genetic interaction defined by inequality	pubmed	17519251	FALSE	265700	839341 (265700) 836259	psi-mi
9	839341	AT1G01060		LHY1	Lu SX (2009)	affinity chromatography technology	MI:0004	1521038	physical association	839341	physical association	pubmed	19218364	FALSE	1521038	839341 (1521038) 839341	psi-mi
