"biogrid","entrez gene/locuslink","Human Readable Label","name","ncbi_gene_id","selected","shared name","Taxonomy ID","Taxonomy Name"
"22115","ATCKA1|K8K14_10|AT5G67380|ATPK12D|casein kinase alpha 1|CKA1|K8K14.10|836873","ATCKA1","836873","836873","false","836873","3702",
"24576","T25K16.6|T25K16_6|AT1G01060|LATE ELONGATED HYPOCOTYL|LHY1|839341|LATE ELONGATED HYPOCOTYL 1|LHY","T25K16.6","839341","839341","false","839341","3702",
"11769","T3H13.14|HY4|AT4G08920|cryptochrome 1|OOP2|BLUE LIGHT UNINHIBITED 1|ATCRY1|CRYPTOCHROME 1 APOPROTEIN |OUT OF PHASE 2|826470|CRY1|BLU1|ELONGATED HYPOCOTYL 4|T3H13_14","T3H13.14","826470","826470","false","826470","3702",
"4577","SUPPRESSOR OF PHYA-105 1|F11C10.3|SPA1|819242|AT2G46350|AT2G46340","SUPPRESSOR OF PHYA-105 1","819242","819242","false","819242","3702",
"24122","GI|T22J18_6|AT1G22770|T22J18.6|GIGANTEA|FB|838883","GI","838883","838883","false","838883","3702",
"24764","AT-PHH1|ATCRY2|F19P19.14|PHH1|839529|CRY2|cryptochrome 2|CRYPTOCHROME 2 APOPROTEIN|F19P19_14|AT1G04400|FHA","AT-PHH1","839529","839529","false","839529","3702",
"21503","PRR1|TIMING OF CAB EXPRESSION 1|AtTOC1|APRR1|836259|PSEUDO-RESPONSE REGULATOR 1|MFB13.13|TOC1|AT5G61380|MFB13_13","PRR1","836259","836259","false","836259","3702",
"28354","FKF1|T23K23.10|T23K23_10|ADO3|f box 1|843133|AT1G68050|flavin-binding|kelch repeat","FKF1","843133","843133","false","843133","3702",
"2486","PYK20|ELF3|AT2G25930|EARLY FLOWERING 3|817134|F17H15.25","PYK20","817134","817134","false","817134","3702",
"4631","819296|AT2G46830|circadian clock associated 1|F19D11.11|MYB-RELATED DNA BINDING PROTEIN|CCA1","AT2G46830","819296","819296","false","819296","3702",
"14034","AT4G26410|M3E9_160|828747|M3E9.160","AT4G26410","828747","828747","false","828747","3702",
"7538","REGULATOR OF G-PROTEIN SIGNALING 1|RGS1|822207|ATRGS1|AT3G26090","REGULATOR OF G-PROTEIN SIGNALING 1","822207","822207","false","822207","3702",
"24583","839348|T7A14_14|AT1G05000|T7A14.14","T7A14_14","839348","839348","false","839348","3702",
"17175","POLYUBIQUITIN 3 PROTEIN|F15A17.270|831899|AT5G03240|UBQ3|F15A17_270|polyubiquitin 3","POLYUBIQUITIN 3 PROTEIN","831899","831899","false","831899","3702",
"25581","AT1G34470|F12K21.21|F12K21_21|840349","AT1G34470","840349","840349","false","840349","3702",
"21086","FKF1-LIKE PROTEIN 2|LKP1|MSF19_2|ADAGIO 1|835842|FKL2|LOV KELCH PROTEIN 1|ZTL|ZEITLUPE|ADO1|AT5G57360|MSF19.2","FKF1-LIKE PROTEIN 2","835842","835842","false","835842","3702",
"22724","837483|FAR RED ELONGATED 1|PHYA|F14J9_23|HY8|AT1G09570|phytochrome A|ELONGATED HYPOCOTYL 8|FRE1|F14J9.23|FHY2|FAR RED ELONGATED HYPOCOTYL 2","FAR RED ELONGATED 1","837483","837483","false","837483","3702",
"3204","DET340|FUSCA 1|EMB168|AT2G32950|817857|T21L14.11|ATCOP1|FUS1|CONSTITUTIVE PHOTOMORPHOGENIC 1|COP1|EMBRYO DEFECTIVE 168|ARABIDOPSIS THALIANA CONSTITUTIVE PHOTOMORPHOGENIC 1|DEETIOLATED MUTANT 340|T21L14_11","DET340","817857","817857","false","817857","3702",
"107798","PHLL2|HCRY2|CRY2|1408","PHLL2","1408","1408","false","1408","9606",
"1751","AT2G18790|HY3|PHYB|OOP1|PHYTOCHROME B|MSF3.17|OUT OF PHASE 1|MSF3_17|816394","AT2G18790","816394","816394","false","816394","3702",
"20229","HRB1|AT5G49230|HYPERSENSITIVE TO RED AND BLUE|834983|K21P3.11|K21P3_11","HRB1","834983","834983","false","834983","3702",
"14886","829604|T4L20_110|cryptochrome-interacting basic-helix-loop-helix 1|CIB1|T4L20.110|AT4G34530","T4L20_110","829604","829604","false","829604","3702",
"24404","F28B23_8|F28B23.8|CIB5|AT1G26260|839167|cryptochrome-interacting basic-helix-loop-helix 5","F28B23_8","839167","839167","false","839167","3702",
"11908","DET1|FUSCA 2|T9A4.17|DE-ETIOLATED 1|826609|ATDET1|AT4G10180|FUS2","DET1","826609","826609","false","826609","3702",
"204934","Rfwd2|26374|mCG_124354|AI316802|Cop1|C80879","Rfwd2","26374","26374","false","26374","10090",
"14296","829009|ckl3|F25O24.3|casein kinase I-like 3|AT4G28880","ckl3","829009","829009","false","829009","3702",
"14294","829007|F16A16_30|casein kinase I-like 4|F16A16.30|ckl4|AT4G28860","F16A16_30","829007","829007","false","829007","3702",
"10510","casein kinase II beta chain 3|AT3G60250|CKB3|825196","casein kinase II beta chain 3","825196","825196","false","825196","3702",
"17793","832518|PRR5|AT5G24470|pseudo-response regulator 5|T31K7_5|T31K7.5|APRR5","PRR5","832518","832518","false","832518","3702",
"17069","AT5G02810|APRR7|PRR7|pseudo-response regulator 7|F9G14.120|831793|F9G14_120","AT5G02810","831793","831793","false","831793","3702",
"7139","AT3G22380|TIME FOR COFFEE|821807|TIC","AT3G22380","821807","821807","false","821807","3702",
"3618","818274|T1J8_18|AT2G37000|T1J8.18","T1J8_18","818274","818274","false","818274","3702",
"12861","827568|TEOSINTE BRANCHED 1|F28J12.50|F28J12_50|TCP2|AT4G18390|cycloidea and PCF transcription factor 2","TEOSINTE BRANCHED 1","827568","827568","false","827568","3702",
"20662","AT5G53360|K19E1_16|K19E1.16|835417","AT5G53360","835417","835417","false","835417","3702",
"7113","AT3G22170|far-red elongated hypocotyls 3|FHY3|821781","AT3G22170","821781","821781","false","821781","3702",
"21780","AT5G64170|MHJ24.1|MHJ24_1|836538","AT5G64170","836538","836538","false","836538","3702",
"9931","AT3G54500|824615","AT3G54500","824615","824615","false","824615","3702",
"24860","839625|SPL11|squamosa promoter-like 11|AT1G27360|F17L21.14|F17L21_14","SPL11","839625","839625","false","839625","3702",
"1765","AT2G18915|LKP2|816408|ADO2|LOV KELCH protein 2|ADAGIO 2","AT2G18915","816408","816408","false","816408","3702",
"21608","836364|CDF1|AT5G62430|K19B1_4|cycling DOF factor 1|K19B1.4","CDF1","836364","836364","false","836364","3702",
"5661","820327|AT3G11540|SPY|SPINDLY","AT3G11540","820327","820327","false","820327","3702",
"16717","FG|F14F8_220|AT5G15840|CO|831441|CONSTANS|F14F8.220","FG","831441","831441","false","831441","3702",
"28080","F5I14_3|F5I14.3|842859|AT1G65480|FLOWERING LOCUS T|FT","F5I14_3","842859","842859","false","842859","3702",
"4718","819383|RED AND FAR-RED INSENSITIVE 2|AT2G47700|F17A22.9|RFI2","RED AND FAR-RED INSENSITIVE 2","819383","819383","false","819383","3702",
"29285","CCR1|T14N5.15|T14N5_15|EFS|SDG8|AT1G77300|SET DOMAIN GROUP 8|ASHH2|CAROTENOID CHLOROPLAST REGULATORY1|844066|ASH1 HOMOLOG 2|EARLY FLOWERING IN SHORT DAYS","CCR1","844066","844066","false","844066","3702",
"18756","AT5G35410|K21B8.3|SNRK3.11|K21B8_3|CBL-INTERACTING PROTEIN KINASE 24|833502|SALT OVERLY SENSITIVE 2|SOS2|CIPK24|ATSOS2|SNF1-RELATED PROTEIN KINASE 3.11","AT5G35410","833502","833502","false","833502","3702",
"17769","CBL4|CALCINEURIN B-LIKE PROTEIN 4|SOS3|AT5G24270|MOP9.19|SALT OVERLY SENSITIVE 3|832494|MOP9_19|ATSOS3","CBL4","832494","832494","false","832494","3702",
"29384","14-3-3OMEGA|F3F9.16|AT1G78300|general regulatory factor 2|F3F9_16|GRF2|14-3-3 PROTEIN G-BOX FACTOR14 OMEGA|GF14 OMEGA|844165","F3F9.16","844165","844165","false","844165","3702",
"28249","AT1G67080|F1O19_13|ABA4|abscisic acid |843028|F1O19.13","AT1G67080","843028","843028","false","843028","3702",
"19213","CDF2|MIJ24.16|MIJ24_16|cycling DOF factor 2|833962|AT5G39660","CDF2","833962","833962","false","833962","3702",
"9224","CDF3|AT3G47500|823904|cycling DOF factor 3","CDF3","823904","823904","false","823904","3702",
"19474","ARABIDOPSIS SKP1-LIKE 2|MJC20.30|ASK2|Arabidopsis SKP-like 2|AT5G42190|MJC20_30|834224|SKP1B","ARABIDOPSIS SKP1-LIKE 2","834224","834224","false","834224","3702",
"27306","842081|AT1G56280|F14G9.11|F14G9_11|drought-induced 19|ATDI19|DI19","AT1G56280","842081","842081","false","842081","3702",
"29147","ARABIDOPSIS SKP1 HOMOLOGUE 1|ASK1|UFO INTERACTING PROTEIN 1|843928|AT1G75950|S phase kinase-associated protein 1|UIP1|T4O12_17|T4O12.17|SKP1A|ATSKP1|SKP1","ARABIDOPSIS SKP1 HOMOLOGUE 1","843928","843928","false","843928","3702",
"2463","AT2G25700|F3N11.15|ASK3|F3N11_15|817111|SK3|SKP1-like 3","AT2G25700","817111","817111","false","817111","3702",
"14851","829569|ASK11|F10M10.2|AT4G34210|SK11|SKP1-like 11","ASK11","829569","829569","false","829569","3702",
"14880","AT4G34470|ASK12|T4L20.50|SKP1-like 12|T4L20_50|829598|SK12","AT4G34470","829598","829598","false","829598","3702",
"10485","ASK13|AT3G60010|T2O9.1|825171|SK13|SKP1-like 13","ASK13","825171","825171","false","825171","3702",
"10962","ATCUL1|T10P11_26|T10P11.26|cullin 1|AXR6|825648|CUL1|AT4G02570|AUXIN RESISTANT 6","ATCUL1","825648","825648","false","825648","3702",
"20943","HSP81-3|Hsp81.3|HEAT SHOCK PROTEIN 81.3|MDA7_5|AtHsp90-3|HEAT SHOCK PROTEIN 90-3|AtHsp90.3|HSP81.2|835699|HEAT SHOCK PROTEIN 90.3|AT5G56010|heat shock protein 81-3|MDA7.5","HSP81-3","835699","835699","false","835699","3702",
"18788","AT5G35630|GS2|ATGSL1|GLN2|833535|GLUTAMINE SYNTHETASE LIKE 1|GLUTAMINE SYNTHETASE 2|MJE4_9|MJE4.9","AT5G35630","833535","833535","false","833535","3702",
"13270","T14P8_8|T14P8.8|827979|AT4G02480|AT4G02470","T14P8_8","827979","827979","false","827979","3702",
"2753","TOE1|817403|TARGET OF EARLY ACTIVATION TAGGED |T17D12.11|RAP2.7|T17D12_11|AT2G28550|related to AP2.7","TOE1","817403","817403","false","817403","3702",
"3934","AT2G40080|ELF4|T28M21.24|T28M21_24|EARLY FLOWERING 4|818596","AT2G40080","818596","818596","false","818596","3702",
"9137","LUX ARRHYTHMO|AT3G46640|PHYTOCLOCK 1|823817|PCL1|LUX","LUX ARRHYTHMO","823817","823817","false","823817","3702",
"13195","T10P11_15|T10P11.15|luminidependens|LD|827904|AT4G02560","T10P11_15","827904","827904","false","827904","3702",
"12617","DELTA AND GAMMA|FLOWERING TIME CONTROL PROTEIN FCA ALPHA|FCAALL.331|FCA|AT4G16280|DL4180C|827323|BETA","DELTA AND GAMMA","827323","827323","false","827323","3702",
"13945","M7J2_100|828658|FWA|AT4G25530|FLOWERING WAGENINGEN|HDG6|HOMEODOMAIN GLABROUS 6|M7J2.100","M7J2_100","828658","828658","false","828658","3702",
"5403","HY2|GENOMES UNCOUPLED 3|GUN3|ARABIDOPSIS ELONGATED HYPOCOTYL 2|ATHY2|820069|AT3G09150|ELONGATED HYPOCOTYL 2|PHYTOCHROMOBILIN SYNTHASE","HY2","820069","820069","false","820069","3702",
"4240","MFL8_13|818903|PIF4|SRL2|MFL8.13|phytochrome interacting factor 4|AT2G43010","MFL8_13","818903","818903","false","818903","3702",
"1491","AT2G16365|816133","AT2G16365","816133","816133","false","816133","3702",
"21320","836076|F2O15.24|F2O15_24|AT5G59570","F2O15.24","836076","836076","false","836076","3702",
"23089","ANTHOCYANIN11|F13K23_16|837849|LIGHT-REGULATED WD 1|AT1G12910|ATAN11|LWD1|F13K23.16","ANTHOCYANIN11","837849","837849","false","837849","3702",
"28814","ELF4-like 2|AT1G72630|F28P22.18|F28P22_18|843595|ELF4-L2","ELF4-like 2","843595","843595","false","843595","3702",
"581","ELF4-like 3|AT2G06255|815182|ELF4-L3","ELF4-like 3","815182","815182","false","815182","3702",
"23558","ELF4-L4|ELF4-like 4|838318|AT1G17455","ELF4-L4","838318","838318","false","838318","3702",
"22696","CRB|AT1G09340|CHLOROPLAST RNA BINDING|CRUCIFERIN B|CHLOROPLAST STEM-LOOP BINDING PROTEIN OF 41 KDA|CSP41B|837455","CRB","837455","837455","false","837455","3702",
"18823","833570|AT5G35840|MIK22_15|PHYTOCHROME C|PHYC|MIK22.15","AT5G35840","833570","833570","false","833570","3702",
"12831","F15J5_100|PHYE|827538|PHYTOCHROME E|F15J5.100|AT4G18130","F15J5_100","827538","827538","false","827538","3702",
"12613","DL4165C|PHYD|PHYTOCHROME D|827319|FCAALL.323|AT4G16250","DL4165C","827319","827319","false","827319","3702",
"12011","SPA1-related 2|AT4G11110|826712|T22B4_90|SPA2|T22B4.90","SPA1-related 2","826712","826712","false","826712","3702",
"6101","AT3G15354|SPA1-related 3|820767|SPA3","AT3G15354","820767","820767","false","820767","3702",
"21492","phytochrome-interacting factor7|836248|MFB13_4|MFB13.4|AT5G61270|PIF7","phytochrome-interacting factor7","836248","836248","false","836248","3702",
"19633","K9D7.13|K9D7_13|834383|AT5G43630|TZP","K9D7.13","834383","834383","false","834383","3702",
"15855","MOJ9_2|MOJ9.2|830576|AT5G06850","MOJ9_2","830576","830576","false","830576","3702",
"529778","3769417|AT3G42170","AT3G42170","3769417","3769417","false","3769417","3702",
"17213","831937|MRG7.15|AT5G18190|MRG7_15","MRG7.15","831937","831937","false","831937","3702",
"4886","819551|AT3G03940|T11I18.5|T11I18_5","AT3G03940","819551","819551","false","819551","3702",
"2470","817118|F17H15_21|F17H15.21|AT2G25760|AT2G25750","F17H15_21","817118","817118","false","817118","3702",
"5906","AT3G13670|820572","AT3G13670","820572","820572","false","820572","3702",
"17460","832185|T1M15.30|ARABIDOPSIS THALIANA GERMIN 3|GLP3A|GERMIN-LIKE PROTEIN 3|GLP3B|GLP3|germin 3|AT5G20630|T1M15_30|GER3|ATGER3","T1M15.30","832185","832185","false","832185","3702",
"26347","responsive to dehydration 21|RD21A|F2G19_31|F2G19.31|RD21|AT1G47128|RESPONSIVE TO DEHYDRATION 21A|841122","responsive to dehydration 21","841122","841122","false","841122","3702",
"23627","AT1G18080|T10F20.9|WD-40 REPEAT PROTEIN ATARCA|RACK1A|RECEPTOR FOR ACTIVATED C KINASE 1 A|ATARCA|RACK1A_AT|838388","AT1G18080","838388","838388","false","838388","3702",
"15331","AT4G38960|830051|F19H22.60|F19H22_60","AT4G38960","830051","830051","false","830051","3702",
"7392","822061|ABA INSENSITIVE 3|ABI3|SUGAR INSENSITIVE 10|SIS10|AT3G24650","ABA INSENSITIVE 3","822061","822061","false","822061","3702",
"15729","AT5G05660|MJJ3.6|MJJ3_6|ATNFXL2|830450","AT5G05660","830450","830450","false","830450","3702",
"10390","AT3G59060|PIL6|phytochrome interacting factor 3-like 6|825075|PHYTOCHROME-INTERACTING FACTOR 5|PIF5","AT3G59060","825075","825075","false","825075","3702",
"4627","F19D11.7|APRR9|pseudo-response regulator 9|819292|TL1|Arabidopsis pseudo-response regulator 9|TOC1-LIKE PROTEIN 1|PRR9|AT2G46790","F19D11.7","819292","819292","false","819292","3702",
"21376","836132|MGO3_8|PRR3|AT5G60100|MGO3.8|pseudo-response regulator 3|APRR3","MGO3_8","836132","836132","false","836132","3702",
"22720","PAP3|PHOTOCURRENT 1|F14J9_19|purple acid phosphatase 3|PIF3|F14J9.19|POC1|AT1G09530|837479|PHYTOCHROME-ASSOCIATED PROTEIN 3|PHYTOCHROME INTERACTING FACTOR 3","PAP3","837479","837479","false","837479","3702",
"4646","AT2G46970|phytochrome interacting factor 3-like 1|F14M4.20|PIL1|819311","AT2G46970","819311","819311","false","819311","3702",
"10696","PHYTOCHROME-INTERACTING FACTOR 6|825382|PIL2|phytochrome interacting factor 3-like 2|PIF6|AT3G62090","PHYTOCHROME-INTERACTING FACTOR 6","825382","825382","false","825382","3702",
"1892","PIF1|PHY-INTERACTING FACTOR 1|phytochrome interacting factor 3-like 5|816538|PIL5|AT2G20180|T2G17.2|T2G17_2","PIF1","816538","816538","false","816538","3702",
"24535","LONG HYPOCOTYL IN FAR-RED|REDUCED PHYTOCHROME SIGNALING 1|T6A9_4|REP1|FBI1|RSF1|HFR1|AT1G02340|839300|REDUCED SENSITIVITY TO FAR-RED LIGHT 1|T6A9.4","LONG HYPOCOTYL IN FAR-RED","839300","839300","false","839300","3702",
