	id2	atid	ENZYME	SYMBOL	AVERAGE
0	826470	AT4G08920		CRY1	1.639953141
1	819242	AT2G46340		SPA1	1.28284395
2	839348	AT1G05000		PFA-DSP1	-1.73334011
3	837483	AT1G09570		PHYA	1.333335515
4	832518	AT5G24470		PRR5	1.5189299369999998
6	831793	AT5G02810		PRR7	1.156312912
7	831441	AT5G15840		BBX1	-1.6366750330000002
8	842859	AT1G65480		FT	-1.539837204714286
9	832494	AT5G24270		SOS3	-2.281737913
10	843028	AT1G67080		ABA4	-2.565271442
11	833962	AT5G39660		CDF2	-1.95222511
12	823904	AT3G47500		CDF3	-1.583288345
13	835699	AT5G56010		HSP81-3	-5.592132143
14	817403	AT2G28550		TOE1	-0.03264870100000001
15	836076	AT5G59570		BOA	-1.743383256
16	838318	AT1G17455		EFL4	-2.6462995805
17	827538	AT4G18130		PHYE	1.288427344
18	834383	AT5G43630		TZP	1.5949020245
19	841122	AT1G47128		RD21	1.640604207
20	838388	AT1G18080		SAC53	-1.4312159245
21	837479	AT1G09530		PAP3	-0.24606419699999998
22	816538	AT2G20180		PIF1	1.411690293
23	816538	AT2G20180		PIL5	1.411690293
24	820954	AT3G16980		NRPE9A	-1.697651482
