tonode	atid_x	SYMBOL_x	fromnode	SYMBOL_y	Author	Detection Method	Detection Method ID	interaction	Interaction Type	Publication DB	Publication ID
836873	AT5G67380	CKA1	819296	CCA1	Sugano S (1998)	pull down	MI:0096	265107	direct interaction	pubmed	9724822
836873	AT5G67380	CKA1	828747	RHIP1	Klopffleisch K (2011)	two hybrid	MI:0018	600550	direct interaction	pubmed	21952135
836873	AT5G67380	CKA1	822207	RGS1	Klopffleisch K (2011)	two hybrid	MI:0018	600676	direct interaction	pubmed	21952135
836873	AT5G67380	CKA1	839348	PFA-DSP1	Klopffleisch K (2011)	two hybrid	MI:0018	600899	direct interaction	pubmed	21952135
836873	AT5G67380	CKA1	831899	UBQ3	Kim DY (2013)	affinity chromatography technology	MI:0004	888688	physical association	pubmed	23667124
836873	AT5G67380	CKA1	840349	ENOR3L5	Jones AM (2014)	protein complementation assay	MI:0090	1244210	direct interaction	pubmed	24833385
839341	AT1G01060	LHY1	836873	CKA1	Sugano S (1999)	enzymatic study	MI:0415	265127	direct interaction	pubmed	10535927
839341	AT1G01060	LHY1	839341	LHY1	Lu SX (2009)	affinity chromatography technology	MI:0004	1521038	physical association	pubmed	19218364
839341	AT1G01060	LHY1	826609	FUS2	Lau OS (2011)	pull down	MI:0096	560296	direct interaction	pubmed	21884973
839341	AT1G01060	LHY1	827568	TCP2	Giraud E (2010)	two hybrid	MI:0018	482878	direct interaction	pubmed	21183706
839341	AT1G01060	LHY1	835417	SINAT5	Park BS (2010)	two hybrid	MI:0018	532119	direct interaction	pubmed	20599732
839341	AT1G01060	LHY1	821781	FHY3	Li G (2011)	two hybrid	MI:0018	532122	direct interaction	pubmed	21499259
839341	AT1G01060	LHY1	836538	LNK1	Xie Q (2014)	protein complementation assay	MI:0090	1173512	direct interaction	pubmed	25012192
839341	AT1G01060	LHY1	824615	LNK2	Xie Q (2014)	protein complementation assay	MI:0090	1173516	direct interaction	pubmed	25012192
826470	AT4G08920	CRY1	826470	CRY1	Sang Y (2005)	two hybrid	MI:0018	336348	direct interaction	pubmed	15805487
826470	AT4G08920	CRY1	819242	SPA1	Hughes RM (2012)	two hybrid	MI:0018	657513	direct interaction	pubmed	22577138
826470	AT4G08920	CRY1	835842	ZTL	Jarillo JA (2001)	two hybrid	MI:0018	266541	direct interaction	pubmed	11260718
826470	AT4G08920	CRY1	837483	PHYA	Ahmad M (1998)	two hybrid	MI:0018	268483	direct interaction	pubmed	9651577
826470	AT4G08920	CRY1	817857	COP1	Chen X (2008)	two hybrid	MI:0018	271873	direct interaction	pubmed	18252844
826470	AT4G08920	CRY1	816394	HY3	Hughes RM (2012)	two hybrid	MI:0018	657510	direct interaction	pubmed	22577138
