id2	atid	ENZYME	SYMBOL
836873	AT5G67380	2.7.11.1	CKA1
839341	AT1G01060	NA	LHY1
826470	AT4G08920	NA	CRY1
819242	AT2G46340	NA	SPA1
838883	AT1G22770	NA	FB
839529	AT1G04400	NA	CRY2
836259	AT5G61380	NA	PRR1
843133	AT1G68050	NA	FKF1
817134	AT2G25930	NA	ELF3
819296	AT2G46830	NA	CCA1
828747	AT4G26410	NA	RHIP1
822207	AT3G26090	NA	RGS1
839348	AT1G05000	NA	PFA-DSP1
831899	AT5G03240	NA	UBQ3
840349	AT1G34470	NA	ENOR3L5
835842	AT5G57360	NA	ZTL
837483	AT1G09570	NA	PHYA
817857	AT2G32950	6.3.2.19	COP1
816394	AT2G18790	NA	HY3
834983	AT5G49230	NA	HRB1
829604	AT4G34530	NA	CIB1
839167	AT1G26260	NA	CIB5
826609	AT4G10180	NA	FUS2
829009	AT4G28880	NA	ckl3
829007	AT4G28860	NA	ckl4
825196	AT3G60250	NA	CKB3
832518	AT5G24470	NA	PRR5
831793	AT5G02810	NA	APRR7
831793	AT5G02810	NA	PRR7
821807	AT3G22380	NA	TIC
818274	AT2G37000	NA	NA
827568	AT4G18390	NA	TCP2
835417	AT5G53360	NA	SINAT5
821781	AT3G22170	NA	FHY3
836538	AT5G64170	NA	LNK1
824615	AT3G54500	NA	LNK2
839625	AT1G27360	NA	SPL11
816408	AT2G18915	NA	LKP2
836364	AT5G62430	NA	CDF1
820327	AT3G11540	NA	SPY
831441	AT5G15840	NA	BBX1
842859	AT1G65480	NA	FT
819383	AT2G47700	NA	RFI2
844066	AT1G77300	NA	SDG8
833502	AT5G35410	NA	CIPK24
833502	AT5G35410	NA	SOS2
832494	AT5G24270	NA	SOS3
844165	AT1G78300	NA	GRF2
843028	AT1G67080	NA	ABA4
833962	AT5G39660	NA	CDF2
823904	AT3G47500	NA	CDF3
834224	AT5G42190	NA	ASK2
842081	AT1G56280	NA	DI19
43928	AT1G75950	NA	UIP1
817111	AT2G25700	NA	SK3
829569	AT4G34210	NA	SK11
829598	AT4G34470	NA	SK12
825171	AT3G60010	NA	SK13
825648	AT4G02570	NA	ICU13
835699	AT5G56010	NA	HSP81-3
833535	AT5G35630	6.3.1.2	GS2
827979	AT4G02480	NA	NA
817403	AT2G28550	NA	TOE1
818596	AT2G40080	NA	ELF4
823817	AT3G46640	NA	PCL1
827904	AT4G02560	NA	LD
827323	AT4G16280	NA	FCA
828658	AT4G25530	NA	FWA
820069	AT3G09150	1.3.7.4	HY2
818903	AT2G43010	NA	SRL2
816133	AT2G16365	NA	PCH1
836076	AT5G59570	NA	BOA
837849	AT1G12910	NA	LWD1
843595	AT1G72630	NA	ELF4-L2
815182	AT2G06255	NA	EFL3
838318	AT1G17455	NA	EFL4
837455	AT1G09340	NA	CRB
833570	AT5G35840	NA	PHYC
827538	AT4G18130	NA	PHYE
827319	AT4G16250	NA	PHYD
826712	AT4G11110	NA	SPA2
820767	AT3G15354	6.3.2.19	SPA3
836248	AT5G61270	NA	PIF7
834383	AT5G43630	NA	TZP
830576	AT5G06850	NA	MCTP1
3769417	AT3G42170	NA	DAYSLEEPER
31937	AT5G18190	NA	PPK2
819551	AT3G03940	NA	PPK3
817118	AT2G25760	NA	PPK4
820572	AT3G13670	NA	PPK1
832185	AT5G20630	NA	GLP3B
841122	AT1G47128	NA	RD21
838388	AT1G18080	NA	SAC53
830051	AT4G38960	NA	BBX19
822061	AT3G24650	NA	ABI3
830450	AT5G05660	NA	ATNFXL2
825075	AT3G59060	NA	bHLHb1
819292	AT2G46790	NA	PRR9
836132	AT5G60100	NA	APRR3
836132	AT5G60100	NA	PRR3
837479	AT1G09530	NA	PAP3
819311	AT2G46970	NA	PIL1
825382	AT3G62090	NA	PIL2
816538	AT2G20180	NA	PIF1
816538	AT2G20180	NA	PIL5
839300	AT1G02340	NA	FBI1
832624	AT5G25490	NA	NA
843037	AT1G67170	NA	FLL2
819864	AT3G06790	NA	MORF3
838681	AT1G20880	NA	NA
817905	AT2G33410	NA	RBGD2
819817	AT3G06430	NA	PPR2
830401	AT5G05190	NA	EDR4
820954	AT3G16980	NA	NRPE9A
837708	AT1G11650	NA	RBP45B
840240	AT1G33470	NA	NA
825890	AT4G05420	NA	DDB1A
827857	AT4G21100	NA	DDB1B
841743	AT1G53090	NA	SPA4
842957	AT1G66390	NA	MYB90
