"line"	"group"
"1"	"AS17C"	"Brachypodium hybridum"
"2"	"AS17T"	"Brachypodium hybridum"
"3"	"AS19C"	"Brachypodium hybridum"
"4"	"AS19T"	"Brachypodium hybridum"
"5"	"AS22C"	"Brachypodium hybridum"
"6"	"AS22T"	"Brachypodium hybridum"
"7"	"AS25C"	"Brachypodium hybridum"
"8"	"AS25T"	"Brachypodium hybridum"
"9"	"AS30C"	"Brachypodium hybridum"
"10"	"AS30T"	"Brachypodium hybridum"
"11"	"AS33C"	"Brachypodium hybridum"
"12"	"AS33T"	"Brachypodium hybridum"
"13"	"AS40C"	"Brachypodium hybridum"
"14"	"AS40T"	"Brachypodium hybridum"
"15"	"AS47C"	"Brachypodium hybridum"
"16"	"AS47T"	"Brachypodium hybridum"
"17"	"AS50C"	"Brachypodium hybridum"
"18"	"AS50T"	"Brachypodium hybridum"
"19"	"AS7C"	"Brachypodium hybridum"
"20"	"AS7T"	"Brachypodium hybridum"
"21"	"AS8C"	"Brachypodium hybridum"
"22"	"AS8T"	"Brachypodium hybridum"
"23"	"ES11C"	"Brachypodium stacei"
"24"	"ES11T"	"Brachypodium stacei"
"25"	"ES13C"	"Brachypodium stacei"
"26"	"ES13T"	"Brachypodium stacei"
"27"	"ES14C"	"Brachypodium stacei"
"28"	"ES14T"	"Brachypodium stacei"
"29"	"ES19C"	"Brachypodium stacei"
"30"	"ES19T"	"Brachypodium stacei"
"31"	"ES1C"	"Brachypodium stacei"
"32"	"ES1T"	"Brachypodium stacei"
"33"	"ES21C"	"Brachypodium stacei"
"34"	"ES21T"	"Brachypodium stacei"
"35"	"ES23C"	"Brachypodium stacei"
"36"	"ES23T"	"Brachypodium stacei"
"37"	"ES6C"	"Brachypodium stacei"
"38"	"ES6T"	"Brachypodium stacei"
"39"	"ES9C"	"Brachypodium stacei"
"40"	"ES9T"	"Brachypodium stacei"
"41"	"WS10C"	"Triticum dicoccoides_ES"
"42"	"WS10T"	"Triticum dicoccoides_ES"
"43"	"WS1C"	"Triticum dicoccoides_ES"
"44"	"WS1T"	"Triticum dicoccoides_ES"
"45"	"WS3C"	"Triticum dicoccoides_ES"
"46"	"WS3T"	"Triticum dicoccoides_ES"
"47"	"WS4C"	"Triticum dicoccoides_ES"
"48"	"WS4T"	"Triticum dicoccoides_ES"
"49"	"WS6C"	"Triticum dicoccoides_ES"
"50"	"WS6T"	"Triticum dicoccoides_ES"
"51"	"WS8C"	"Triticum dicoccoides_ES"
"52"	"WS8T"	"Triticum dicoccoides_ES"
"53"	"WS9C"	"Triticum dicoccoides_ES"
"54"	"WS9T"	"Triticum dicoccoides_ES"
"55"	"WT6C"	"Triticum dicoccoides_AS"
"56"	"WT6T"	"Triticum dicoccoides_AS"
"57"	"WT7C"	"Triticum dicoccoides_AS"
"58"	"WT7T"	"Triticum dicoccoides_AS"
"59"	"114C"	"Hordeum spontaneum_ES"
"60"	"114T"	"Hordeum spontaneum_ES"
"61"	"115C"	"Hordeum spontaneum_ES"
"62"	"115T"	"Hordeum spontaneum_ES"
"63"	"118C"	"Hordeum spontaneum_ES"
"64"	"118T"	"Hordeum spontaneum_ES"
"65"	"119C"	"Hordeum spontaneum_ES"
"66"	"119T"	"Hordeum spontaneum_ES"
"67"	"120C"	"Hordeum spontaneum_ES"
"68"	"120T"	"Hordeum spontaneum_ES"
"69"	"121C"	"Hordeum spontaneum_ES"
"70"	"121T"	"Hordeum spontaneum_ES"
"71"	"122C"	"Hordeum spontaneum_ES"
"72"	"122T"	"Hordeum spontaneum_ES"
"73"	"123C"	"Hordeum spontaneum_ES"
"74"	"123T"	"Hordeum spontaneum_ES"
"75"	"124C"	"Hordeum spontaneum_ES"
"76"	"124T"	"Hordeum spontaneum_ES"
"77"	"126C"	"Hordeum spontaneum_ES"
"78"	"126T"	"Hordeum spontaneum_ES"
"79"	"141C"	"Hordeum spontaneum_AS"
"80"	"141T"	"Hordeum spontaneum_AS"
"81"	"142C"	"Hordeum spontaneum_AS"
"82"	"142T"	"Hordeum spontaneum_AS"
"83"	"143C"	"Hordeum spontaneum_AS"
"84"	"143T"	"Hordeum spontaneum_AS"
"85"	"144C"	"Hordeum spontaneum_AS"
"86"	"144T"	"Hordeum spontaneum_AS"
"87"	"145C"	"Hordeum spontaneum_AS"
"88"	"145T"	"Hordeum spontaneum_AS"
"89"	"146C"	"Hordeum spontaneum_AS"
"90"	"146T"	"Hordeum spontaneum_AS"
"91"	"147C"	"Hordeum spontaneum_AS"
"92"	"147T"	"Hordeum spontaneum_AS"
"93"	"148C"	"Hordeum spontaneum_AS"
"94"	"148T"	"Hordeum spontaneum_AS"
"95"	"149C"	"Hordeum spontaneum_AS"
"96"	"149T"	"Hordeum spontaneum_AS"
"97"	"150C"	"Hordeum spontaneum_AS"
"98"	"150T"	"Hordeum spontaneum_AS"
"99"	"181C"	"Hordeum spontaneum_AS"
"100"	"181T"	"Hordeum spontaneum_AS"
"101"	"35C"	"Hordeum spontaneum_ES"
"102"	"35T"	"Hordeum spontaneum_ES"
