	bhdid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
0	Brahy.D01G0002000	0.001107376	0.002121336	0.522018076	Brast02G395800			
1	Brahy.D01G0010900	0.005277108	0.007648694	0.689935746				
2	Brahy.D01G0011900	0.003838322	0.015265538	0.251437043	Brast02G386200			
3	Brahy.D01G0045300	0.000973789	0.000991511	0.982125618	Brast02G358400			
4	Brahy.D01G0074700	0.000573459	0.00172961	0.331553861				
5	Brahy.D01G0108400	0.000558927	0.000128721	4.342149092	Brast02G308200			
6	Brahy.D01G0123900	0.001711232	0.00309875	0.552233009	Brast02G294800			
7	Brahy.D01G0131200	0.000626276	0.003268212	0.191626354	Brast02G287600			
8	Brahy.D01G0211700	0.001207088	0.001304282	0.925480972	Brast02G213900	0.000957724	0.00136523	0.70151081
9	Brahy.D01G0216200	0.001166688	0.002941586	0.396618493	Brast02G143600			
10	Brahy.D01G0224100	0.008849162	0.017011138	0.520198109	Brast06G009000			
11	Brahy.D01G0236300	0.000596046	0.001958451	0.304345752	Brast06G017800			
12	Brahy.D01G0241600	0.004580762	0.005127074	0.893445733	Brast06G022400			
13	Brahy.D01G0248700	0.000229836	0.001303409	0.176334125	Brast06G027800	0.000287187	0.000532537	0.539279938
14	Brahy.D01G0261500	0.011129787	0.028128052	0.395682801	Brast02G193500			
15	Brahy.D01G0269700	0.00227033	0.001382994	1.641605134	Brast06G047400			
16	Brahy.D01G0284900	0.003463492	0.004513231	0.76740862	Brast06G060600			
17	Brahy.D01G0285000	0.003686633	0.003108666	1.185921171	Brast06G060700	0.000315017	0.000822454	0.383020718
18	Brahy.D01G0285100	0.001039598	0.005206562	0.199670796	Brast06G060800	0.003448459	0.007459472	0.462292617
19	Brahy.D01G0286900	0.000532801	0.0015479	0.344208519	Brast06G061900			
20	Brahy.D01G0304000	4.82e-05	0.000406124	0.11860183	Brast06G077000			
21	Brahy.D01G0306200	0.001049026	0.001633816	0.64207142	Brast06G078800			
22	Brahy.D01G0310300	0.001648364	0.003648252	0.451822899	Brast06G082300			
23	Brahy.D01G0321200	0.001584491	0.00550034	0.288071524				
24	Brahy.D01G0332800	0.00430327	0.006623047	0.649741704	Brast06G103700	0.000307057	0.002496065	0.123016634
25	Brahy.D01G0336700	0.02384799	0.032383561	0.736422724	Brast06G107200			
26	Brahy.D01G0339600	0.004174042	0.018554288	0.224963709	Brast06G109800			
27	Brahy.D01G0394300	7.04e-05	0.000340241	0.207024197	Brast07G237300	0.000774044	0.000318698	2.428768736
28	Brahy.D01G0395900	0.009521718	0.006931592	1.373669659	Brast07G235900			
29	Brahy.D01G0406800	0.001437426	0.001268709	1.132983486	Brast07G228100			
30	Brahy.D01G0414100	0.000111332	0.001080839	0.103004874	Brast04G279800			
31	Brahy.D01G0425900	0.001294692	0.000962438	1.345221672	Brast07G214400	0.000371927	0.001623934	0.229028547
32	Brahy.D01G0505600	0.000162232	0.000456413	0.355451006	Brast07G153000	0.000680995	0.000560272	1.215472082
33	Brahy.D01G0512100	0.006405707	0.009861913	0.649539956	Brast07G147200	0.000817401	0.0011216415	0.7044804265
34	Brahy.D01G0517100	0.003283519	0.007400184	0.443707812	Brast07G143700			
35	Brahy.D01G0538500	0.004303775	0.011850476	0.363173153	Brast07G128400			
36	Brahy.D01G0552500	0.000812172	0.000133098	6.102075924				
37	Brahy.D01G0569300	0.002816786	0.004151465	0.678504111	Brast07G104900	9.4e-05	0.000685507	0.137094022
38	Brahy.D01G0574600	0.002994044	0.001860009	1.609693791	Brast07G100700			
39	Brahy.D01G0598700	0.003948441	0.003590597	1.099661297	Brast07G082000			
40	Brahy.D01G0624100	0.001479028	0.00342114	0.43232034	Brast07G061700			
41	Brahy.D01G0632700	0.000929222	0.000423358	2.19488368				
42	Brahy.D01G0653100	0.003547404	0.00488469	0.72622903	Brast07G041900			
43	Brahy.D01G0677700	0.000962962	0.000951921	1.011598949				
44	Brahy.D01G0709200	0.001329218	0.001831503	0.72575266	Brast06G147600			
45	Brahy.D01G0721000	0.000217774	0.001244712	0.174959386				
46	Brahy.D01G0753700	0.009369728	0.050574863	0.185264524	Brast06G198200	0.003697067	0.0032525685	1.0503862135
47	Brahy.D01G0768000	0.000257096	0.000276561	0.92961617				
48	Brahy.D01G0770700	0.002113535	0.002082493	1.014905901	Brast06G210500			
49	Brahy.D01G0803400	0.00062373	0.000576584	1.081767506	Brast06G232800	0.005813186	0.008238561	0.705606933
50	Brahy.D01G0811100	0.000114762	0.000372278	0.308269318	Brast06G239300			
51	Brahy.D01G0827900	0.001532865	0.00371801	0.41228121	Brast02G208900			
52	Brahy.D01G0839200	0.000729353	0.000832449	0.876153548	Brast02G198500	3.02e-05	0.000203487	0.148603507
53	Brahy.D01G0856200	0.000469179	0.001231676	0.380927581	Brast02G184100			
54	Brahy.D01G0870700	7.36e-05	0.000244122	0.301321779				
55	Brahy.D01G0913000	0.002516268	0.003387107	0.742895969	Brast02G133000			
56	Brahy.D01G0913100	0.000182402	0.000244061	0.747361253	Brast02G132900			
57	Brahy.D01G0935800	0.00014208	0.000780971	0.1819273	Brast02G105100			
58	Brahy.D01G0958200	0.000196677	0.004833336	0.040691728	Brast02G098400			
59	Brahy.D01G0994300	0.003761182	0.008258524	0.455430291	Brast02G066000	0.000852381	0.001245729	0.684242325
60	Brahy.D01G1030700	4.79e-05	0.000150086	0.319236267	Brast02G037300			
61	Brahy.D01G1037000	0.000544068	0.001391203	0.391077322	Brast02G031600	0.000257445	0.000487068	0.528560318
62	Brahy.D01G1048700	0.005732342	0.001127525	5.084003593	Brast02G020400			
63	Brahy.D02G0004400	0.000492502	0.000726745	0.677681193	Brast01G414700	0.000229867	0.000462177	0.497356664
64	Brahy.D02G0009900	0.001942684	0.001191818	1.630017851	Brast01G408800			
65	Brahy.D02G0013800	0.000405322	0.000738197	0.549069811	Brast01G405300			
66	Brahy.D02G0016800	0.001923598	0.00836219	0.230035214	Brast01G403100			
