	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
550	Brahy.S01G0002000	3.91e-05	0.000144885	0.270098768	Brast01G001200	0.000392922	0.003460498	0.113544904
551	Brahy.S01G0002100	0.00634626	0.008836708	0.71817018	Brast01G001300			
552	Brahy.S01G0007300	0.003940338	0.004407283	0.894051381	Brast01G006400			
553	Brahy.S01G0008700	0.000140981	0.000392514	0.359173651	Brast01G007800	0.002648645	0.006430403	0.411894032
554	Brahy.S01G0029600	0.002209246	0.002587145	0.853932229	Brast01G027000			
555	Brahy.S01G0034200	0.003445171	0.005181008	0.66496158	Brast01G031300			
556	Brahy.S01G0035400	0.004261515	0.011890918	0.358384006	Brast01G032300			
557	Brahy.S01G0040800	0.001984649	0.006680886	0.297063687	Brast01G037500			
558	Brahy.S01G0044800	0.002800802	0.004036135	0.693931681	Brast01G041400			
559	Brahy.S01G0048000	0.000787916	0.001281479	0.614848838	Brast01G044300	0.0032237155	0.0027859605	0.9957736665
560	Brahy.S01G0049800	0.002716432	0.008502668	0.319479892	Brast01G045800	0.002928208	0.0022507	1.301021224
561	Brahy.S01G0064100	5.260000000000001e-05	0.0005305875	0.1021266485	Brast01G059600			
562	Brahy.S01G0064300	0.002344086	0.001897011	1.235673258	Brast01G059800			
563	Brahy.S01G0066100	0.001115304	0.004972216	0.224307215	Brast01G061400			
564	Brahy.S01G0074100	0.00052352	0.000988052	0.529851041	Brast01G069000			
565	Brahy.S01G0074600	0.006220811	0.016346868	0.380550617	Brast01G069500			
566	Brahy.S01G0076100	9.07e-05	0.001956368	0.046382629	Brast01G070900			
567	Brahy.S01G0078000	0.000301512	0.000841564	0.358275135				
568	Brahy.S01G0080300	0.001559801	0.003641119	0.428385233	Brast01G075100			
569	Brahy.S01G0087600	0.00306425	0.003347349	0.915426027	Brast01G082100			
570	Brahy.S01G0092900	0.000250423	6.41e-05	3.90920073	Brast01G087400	0.00178176	0.0027248059999999	0.6218701596666666
571	Brahy.S01G0093600	0.002711029	0.000859345	3.154761119	Brast01G088100			
572	Brahy.S01G0098000	0.002612751	0.003090643	0.845374383	Brast01G092200			
573	Brahy.S01G0102900	0.000142344	0.000710188	0.200431438	Brast01G096600			
574	Brahy.S01G0103900	0.002972556	0.007850109	0.378664266	Brast01G097600			
575	Brahy.S01G0105400	0.004248409	0.007297106	0.5822046	Brast01G099100			
576	Brahy.S01G0112300	0.004695448	0.009799918	0.479131342	Brast01G105500	0.0031674	0.00077174	4.104230372
577	Brahy.S01G0115100	0.000229115	0.000255343	0.897282211	Brast01G108400			
578	Brahy.S01G0120500	0.000261917	0.000580686	0.451048015	Brast01G112700			
579	Brahy.S01G0128800	0.000691569	0.002286693	0.30243212	Brast01G120900			
580	Brahy.S01G0131300	0.004874847	0.003933052	1.239456401	Brast01G123000			
581	Brahy.S01G0131500	0.001936884	0.000583614	3.318773504	Brast01G123200	0.000352846	0.000549836	0.641728914
582	Brahy.S01G0134900	0.000468458	0.001077223	0.434875644	Brast01G126500	0.000169828	0.0004511065	0.42290634
583	Brahy.S01G0137500	0.000814691	0.000980006	0.831311762				
584	Brahy.S01G0141200	0.00181402	0.003635813	0.498931024	Brast01G132500			
585	Brahy.S01G0142000	0.0009798685	0.007085509	0.1391453839999999	Brast01G133300	7.37e-05	0.000769411	0.095836781
586	Brahy.S01G0149400	9.81e-05	0.000310794	0.315503905	Brast01G139900			
587	Brahy.S01G0150500	0.004076889	0.005074107	0.803469303	Brast01G140900			
588	Brahy.S01G0158100	0.000320017	0.001068433	0.299520025	Brast01G148200			
589	Brahy.S01G0160700	0.000444153	0.000811142	0.547565924	Brast01G150700			
590	Brahy.S01G0164700	0.00021761	0.001792648	0.121390076	Brast01G154700			
591	Brahy.S01G0164900	8.88e-05	0.000211579	0.419553419	Brast01G154900			
592	Brahy.S01G0165100	0.000202236	0.000705609	0.286612196	Brast01G155000	0.000445869	0.001203181	0.370575018
593	Brahy.S01G0168700	0.000224719	0.003715472	0.060481984	Brast01G158100			
594	Brahy.S01G0171700	0.004133574	0.004087703	1.011221742	Brast01G161100			
595	Brahy.S01G0172100	0.001211622	0.001726374	0.701830675	Brast01G161500			
596	Brahy.S01G0182200	0.000213852	0.00362915	0.058926084	Brast01G171300			
597	Brahy.S01G0183600	0.00203202	0.002490971	0.81575412	Brast01G172700			
598	Brahy.S01G0187100	0.000200958	0.001259312	0.159577823	Brast01G175800			
599	Brahy.S01G0187200	0.000182148	0.000544193	0.334711956	Brast01G175900	4.785e-05	0.000244885	0.1737061015
600	Brahy.S01G0187700	0.018510621	0.037054269	0.499554336	Brast01G176400			
601	Brahy.S01G0191800	0.000355727	0.000898815	0.395773541	Brast01G180300			
602	Brahy.S01G0192000	0.00372233	0.008417411	0.442217864	Brast01G180500			
603	Brahy.S01G0196100	0.002966278	0.0047567795	0.683807088	Brast01G184400	0.001022193	0.002036095	0.502036031
604	Brahy.S01G0205000	0.00053732	0.001093195	0.491513799	Brast01G192500			
605	Brahy.S01G0211300	0.001568379	0.003994247	0.392659496	Brast01G198300			
606	Brahy.S01G0212300	0.000967239	0.007752329	0.124767494	Brast01G199300	0.000796899	0.001788374	0.445599425
607	Brahy.S01G0217200	0.005517821	0.00139872	3.944907176	Brast01G203800	0.000484322	0.004800335	0.10089342
608	Brahy.S01G0231500	0.00272817	0.002884517	0.945797922	Brast01G216300	0.000446112	0.000263654	1.692034461
609	Brahy.S01G0237100	0.000180555	0.001059843	0.170360122	Brast01G221700	0.00083883	0.003799813	0.2017560565
610	Brahy.S01G0237400	0.000478773	0.000503445	1.0116836525	Brast01G222000			
611	Brahy.S01G0238700	0.000475162	0.003438487	0.138189179	Brast01G223200			
612	Brahy.S01G0239200	0.00367202	0.014641315	0.25079854	Brast01G223500			
613	Brahy.S01G0239700	0.001115802	0.004589019	0.243146158	Brast01G223900			
614	Brahy.S01G0243300	0.002354491	0.001201423	1.959752014	Brast01G227400			
615	Brahy.S01G0248500	0.000551243	0.003525303	0.156367425	Brast01G231800			
616	Brahy.S01G0251800	4.52e-05	0.000197312	0.229274108	Brast01G234900	0.000101843	0.0002299685	0.4413499239999999
617	Brahy.S01G0258500	0.000325413	0.000438415	0.729352243	Brast01G252300			
618	Brahy.S01G0269100	0.003846271	0.00287768	1.336587249				
619	Brahy.S01G0277800	0.001899532	0.002293905	0.828077746	Brast01G269300			
620	Brahy.S01G0278400	0.000967287	0.000681733	1.418864905	Brast01G269900			
621	Brahy.S01G0279100	0.000612229	0.000819056	0.747481443	Brast01G270600			
622	Brahy.S01G0283600	0.003057375	0.00991463	0.30837011	Brast01G274800			
623	Brahy.S01G0284700	0.006065765	0.024875164	0.243848233	Brast01G275900			
624	Brahy.S01G0285600	0.013622757	0.006785823	2.00753221	Brast01G276500			
625	Brahy.S01G0290200	0.000637402	0.000404259	1.576717204	Brast01G280900	0.000518055	0.002210742	0.23433533
626	Brahy.S01G0292800	0.000510465	0.005970149	0.085502808	Brast01G283300			
627	Brahy.S01G0297500	0.000846456	0.003813012	0.221991331	Brast01G287500	0.001086291	0.004296955	0.252804712
628	Brahy.S01G0298400	0.001340663	0.001058861	1.266136629	Brast01G288400			
629	Brahy.S01G0313900	0.001736806	0.00406089	0.42769094	Brast01G301300			
630	Brahy.S01G0315800	0.002198708	0.001611924	1.364027067	Brast01G303000			
631	Brahy.S01G0318000	0.002488315	0.001723818	1.44349057	Brast01G305100			
632	Brahy.S01G0332500	0.003555809	0.00261406	1.360262835	Brast01G318000			
633	Brahy.S01G0332600	2.27e-05	9.97e-05	0.227619573	Brast01G318100			
634	Brahy.S01G0333200	0.000838906	0.002644764	0.317194936	Brast01G318800			
635	Brahy.S01G0337300	0.004435365	0.005924852	0.748603543	Brast01G322700			
636	Brahy.S01G0339500	0.013008455	0.011497267	1.131438867	Brast01G324900			
637	Brahy.S01G0346700	0.000863153	0.001766464	0.488633065	Brast01G331700			
638	Brahy.S01G0355800	0.000516814	0.000405103	1.275761349	Brast01G340600			
639	Brahy.S01G0357400	0.000157163	0.006319516	0.02486948	Brast01G342200			
640	Brahy.S01G0357600	0.040218195	0.017740769	2.266992757	Brast01G342400			
641	Brahy.S01G0357800	0.022556804	0.021622153	1.043226544	Brast01G342600			
642	Brahy.S01G0368900	0.007596351	0.011210113	0.677633779	Brast01G353000			
643	Brahy.S01G0369600	0.00011832	0.000225342	0.525071373	Brast01G353700			
644	Brahy.S01G0371900	0.009667793	0.014264841	0.677735726	Brast01G355700			
645	Brahy.S01G0377600	0.000139445	0.003311764	0.042105858	Brast01G361100			
646	Brahy.S01G0385200	0.007615977	0.007746495	0.98315131	Brast01G368000			
647	Brahy.S01G0405100	0.00068627	0.000123987	5.535031526	Brast01G386400			
648	Brahy.S01G0410000	0.003717218	0.009176012	0.405101681	Brast01G390900			
649	Brahy.S01G0411500	0.003010363	0.00272009	1.106714736	Brast01G392400	0.000511913	0.001104924	0.463301809
650	Brahy.S01G0412400	0.005109299	0.002310151	2.211672868	Brast01G393300			
651	Brahy.S01G0416600	0.013449114	0.0196429	0.684680682	Brast01G397200			
652	Brahy.S01G0422200	0.000845084	0.002565159	0.329446951	Brast01G402600			
653	Brahy.S01G0422400	0.003482791	0.004207363	0.827784742	Brast01G402800			
654	Brahy.S01G0424100	0.008791752	0.00730475	1.203566454				
655	Brahy.S01G0424200	0.001324527	0.00187032	0.708181738	Brast01G404500			
656	Brahy.S01G0428100	0.001733989	0.00098953	1.752335784	Brast01G408400			
657	Brahy.S01G0429300	0.000823008	0.004980187	0.1652565	Brast01G409600	0.015809855	0.032911185	0.480379384
658	Brahy.S01G0438300	0.000303032	0.000707974	0.428027543	Brast01G245100			
659	Brahy.S01G0438600	0.000634069	0.001045105	0.606704009	Brast01G245400			
660	Brahy.S01G0441100	0.001998546	0.001970967	1.013992568	Brast01G247700	0.000596169	0.000928606	0.642004028
661	Brahy.S01G0444200	0.008238745	0.008455257	0.974393296	Brast01G240200			
662	Brahy.S01G0447800	0.002123662	0.005619715	0.377894854	Brast01G237000			
663	Brahy.S02G0002000	0.001163919	0.003963012	0.293695441	Brast02G000700			
664	Brahy.S02G0014100	0.000335289	0.001040286	0.322304803	Brast02G012700			
665	Brahy.S02G0015000	0.001521455	0.003409253	0.446272338	Brast02G013600			
666	Brahy.S02G0017600	0.002318645	0.002650163	0.874906588	Brast02G016200			
667	Brahy.S02G0018300	0.000445986	0.002361497	0.483787926	Brast02G016900			
668	Brahy.S02G0021900	0.000820916	0.001072322	0.765549373	Brast02G020300			
669	Brahy.S02G0024100	0.001640597	0.002074182	0.790960933	Brast02G022500			
670	Brahy.S02G0024500	0.000797434	0.002468005	0.323108808	Brast02G022900			
671	Brahy.S02G0026900	0.000210729	0.000378746	0.556385574	Brast02G025100			
672	Brahy.S02G0027000	0.0016632844999999	0.007342672	0.2265701319999999	Brast02G025200			
673	Brahy.S02G0032700	0.00327942	0.0081060065	0.4209601364999999	Brast02G030700			
674	Brahy.S02G0034600	0.001762824	0.0018334635	0.96146272	Brast02G032600			
