atid	group													
AT2G18790	Circadian rhythm													
AT1G09570	Circadian rhythm													
AT1G09530	Circadian rhythm													
AT2G25930	Circadian rhythm													
AT2G46790	Circadian rhythm													
AT5G02810	Circadian rhythm													
AT5G24470	Circadian rhythm													
AT1G01060	Circadian rhythm													
AT2G46830	Circadian rhythm													
AT2G23070	Circadian rhythm													
AT2G23080	Circadian rhythm													
AT3G50000	Circadian rhythm													
AT5G67380	Circadian rhythm													
AT3G60250	Circadian rhythm													
AT4G17640	Circadian rhythm													
AT2G44680	Circadian rhythm													
AT5G47080	Circadian rhythm													
AT5G08330	Circadian rhythm													
AT5G23280	Circadian rhythm													
AT5G61380	Circadian rhythm													
AT5G57360	Circadian rhythm													
AT1G22770	Circadian rhythm													
AT5G60100	Circadian rhythm													
AT1G56650	Circadian rhythm													
AT5G13930	Circadian rhythm													
AT4G08920	Circadian rhythm													
AT1G04400	Circadian rhythm													
AT2G32950	Circadian rhythm													
AT5G52250	Circadian rhythm													
AT5G23730	Circadian rhythm													
AT1G68050	Circadian rhythm													
AT5G62430	Circadian rhythm													
AT5G15840	Circadian rhythm													
AT1G65480	Circadian rhythm													
AT4G20370	Circadian rhythm													
AT2G46340	Circadian rhythm													
AT4G11110	Circadian rhythm													
AT5G11260	Circadian rhythm													
AT3G17609	Circadian rhythm													
AT3G10660	Plant-pathogen interaction													
AT2G17290	Plant-pathogen interaction													
AT4G04700	Plant-pathogen interaction													
AT4G04695	Plant-pathogen interaction													
AT5G19450	Plant-pathogen interaction													
AT2G31500	Plant-pathogen interaction													
AT2G41860	Plant-pathogen interaction													
AT4G09570	Plant-pathogen interaction													
AT4G04720	Plant-pathogen interaction													
AT5G12480	Plant-pathogen interaction													
AT1G74740	Plant-pathogen interaction													
AT5G23580	Plant-pathogen interaction													
AT1G18890	Plant-pathogen interaction													
AT1G35670	Plant-pathogen interaction													
AT4G04740	Plant-pathogen interaction													
AT2G38910	Plant-pathogen interaction													
AT5G04870	Plant-pathogen interaction													
AT4G35310	Plant-pathogen interaction													
AT4G04710	Plant-pathogen interaction													
AT4G21940	Plant-pathogen interaction													
AT3G20410	Plant-pathogen interaction													
AT3G51850	Plant-pathogen interaction													
AT4G38230	Plant-pathogen interaction													
AT4G23650	Plant-pathogen interaction													
AT1G50700	Plant-pathogen interaction													
AT3G57530	Plant-pathogen interaction													
AT5G12180	Plant-pathogen interaction													
AT5G19360	Plant-pathogen interaction													
AT5G66210	Plant-pathogen interaction													
AT2G17890	Plant-pathogen interaction													
AT1G76040	Plant-pathogen interaction													
AT2G35890	Plant-pathogen interaction													
AT4G36070	Plant-pathogen interaction													
AT1G61950	Plant-pathogen interaction													
AT1G64060	Plant-pathogen interaction													
AT5G07390	Plant-pathogen interaction													
AT5G47910	Plant-pathogen interaction													
AT5G51060	Plant-pathogen interaction													
AT4G25090	Plant-pathogen interaction													
AT4G11230	Plant-pathogen interaction													
AT1G19230	Plant-pathogen interaction													
AT1G09090	Plant-pathogen interaction													
AT1G01340	Plant-pathogen interaction													
AT1G15990	Plant-pathogen interaction													
AT1G19780	Plant-pathogen interaction													
AT2G23980	Plant-pathogen interaction													
AT2G24610	Plant-pathogen interaction													
AT2G28260	Plant-pathogen interaction													
AT2G46430	Plant-pathogen interaction													
AT2G46450	Plant-pathogen interaction													
AT3G17690	Plant-pathogen interaction													
AT3G17700	Plant-pathogen interaction													
AT3G48010	Plant-pathogen interaction													
AT4G01010	Plant-pathogen interaction													
AT4G30360	Plant-pathogen interaction													
AT4G30560	Plant-pathogen interaction													
AT5G14870	Plant-pathogen interaction													
AT5G15410	Plant-pathogen interaction													
AT5G53130	Plant-pathogen interaction													
AT5G57940	Plant-pathogen interaction													
AT2G46440	Plant-pathogen interaction													
AT5G54250	Plant-pathogen interaction													
AT5G37780	Plant-pathogen interaction													
AT3G43810	Plant-pathogen interaction													
AT3G56800	Plant-pathogen interaction													
AT1G66410	Plant-pathogen interaction													
AT2G41110	Plant-pathogen interaction													
AT2G27030	Plant-pathogen interaction													
AT5G21274	Plant-pathogen interaction													
AT2G41090	Plant-pathogen interaction													
AT5G49480	Plant-pathogen interaction													
AT3G03400	Plant-pathogen interaction													
AT1G73630	Plant-pathogen interaction													
AT3G50770	Plant-pathogen interaction													
AT1G05990	Plant-pathogen interaction													
AT4G37010	Plant-pathogen interaction													
AT3G25600	Plant-pathogen interaction													
AT3G03410	Plant-pathogen interaction													
AT1G24620	Plant-pathogen interaction													
AT4G12860	Plant-pathogen interaction													
AT3G10300	Plant-pathogen interaction													
AT2G41410	Plant-pathogen interaction													
AT5G37770	Plant-pathogen interaction													
AT1G18210	Plant-pathogen interaction													
AT2G36180	Plant-pathogen interaction													
AT5G04170	Plant-pathogen interaction													
AT3G59440	Plant-pathogen interaction													
AT4G14640	Plant-pathogen interaction													
AT3G07490	Plant-pathogen interaction													
AT3G03000	Plant-pathogen interaction													
AT2G43290	Plant-pathogen interaction													
AT3G50360	Plant-pathogen interaction													
AT1G12310	Plant-pathogen interaction													
AT3G10190	Plant-pathogen interaction													
AT5G17470	Plant-pathogen interaction													
AT5G17480	Plant-pathogen interaction													
AT3G22930	Plant-pathogen interaction													
AT4G26470	Plant-pathogen interaction													
AT1G76640	Plant-pathogen interaction													
AT5G42380	Plant-pathogen interaction													
AT2G27480	Plant-pathogen interaction													
AT5G44460	Plant-pathogen interaction													
AT1G76650	Plant-pathogen interaction													
