bhdid	bsid
Brahy.D01G0137900	Brast02G274800
Brahy.D01G0138100	Brast02G274900
Brahy.D01G0138300	Brast02G275000
Brahy.D01G0138600	Brast02G275100
Brahy.D01G0138700	Brast02G275200
Brahy.D01G0138800	Brast02G275300
Brahy.D01G0138900	Brast02G275400
Brahy.D01G0139100	Brast02G275500
Brahy.D01G0139500	Brast02G275600
Brahy.D01G0139800	Brast02G276100
Brahy.D01G0140300	Brast02G276300
Brahy.D01G0140400	Brast02G276400
Brahy.D01G0140500	Brast02G276500
Brahy.D01G0140600	Brast02G276600
Brahy.D01G0140700	Brast02G276700
Brahy.D01G0140800	Brast02G276900
Brahy.D01G0140900	Brast02G277000
Brahy.D01G0141000	Brast02G277100
Brahy.D01G0141100	Brast02G277200
Brahy.D01G0141200	Brast02G277300
Brahy.D01G0141400	Brast02G277400
Brahy.D01G0141800	Brast02G277700
Brahy.D01G0141900	Brast02G278000
Brahy.D01G0142000	Brast02G278100
Brahy.D01G0142300	Brast02G278200
Brahy.D01G0142600	Brast02G278400
Brahy.D01G0142700	Brast02G278500
Brahy.D01G0142800	Brast02G278600
Brahy.D01G0142900	Brast02G278700
Brahy.D01G0143000	Brast02G278800
Brahy.D01G0143100	Brast02G278900
Brahy.D01G0143200	Brast02G279000
Brahy.D01G0143300	Brast02G279100
Brahy.D01G0143400	Brast02G279200
Brahy.D01G0143500	Brast02G279300
Brahy.D01G0143600	Brast02G279400
Brahy.D01G0143700	Brast02G279500
Brahy.D01G0143900	Brast02G279600
Brahy.D01G0144000	Brast02G279700
Brahy.D01G0144200	Brast02G279800
Brahy.D01G0144300	Brast02G279900
Brahy.D01G0144400	Brast02G280000
Brahy.D01G0144500	Brast02G280100
Brahy.D01G0144900	Brast02G280200
Brahy.D01G0145000	Brast02G280300
Brahy.D01G0145100	Brast02G280400
Brahy.D01G0145200	Brast02G280600
Brahy.D01G0145300	Brast02G280900
Brahy.D01G0145400	Brast02G281100
Brahy.D01G0145500	Brast02G281200
Brahy.D01G0145600	Brast02G281300
Brahy.D01G0145800	Brast02G281400
Brahy.D01G0146000	Brast02G281500
Brahy.D01G0146100	Brast02G281600
Brahy.D01G0146200	Brast02G281700
Brahy.D01G0146300	Brast02G281800
Brahy.D01G0146400	Brast02G281900
Brahy.D01G0146700	Brast02G282000
Brahy.D01G0146900	Brast02G282100
Brahy.D01G0147000	Brast02G282200
Brahy.D01G0147100	Brast02G282300
Brahy.D01G0147300	Brast02G282400
Brahy.D01G0147400	Brast02G282500
Brahy.D01G0147500	Brast02G282600
Brahy.D01G0147600	Brast02G282700
Brahy.D01G0147700	Brast02G282800
Brahy.D01G0210000	Brast02G212500
Brahy.D01G0210200	Brast02G212600
Brahy.D01G0210300	Brast02G212700
Brahy.D01G0210400	Brast02G212800
Brahy.D01G0210700	Brast02G212900
Brahy.D01G0210800	Brast02G213000
Brahy.D01G0210900	Brast02G213200
Brahy.D01G0211100	Brast02G213300
Brahy.D01G0211200	Brast02G213400
Brahy.D01G0211700	Brast02G213900
Brahy.D01G0211800	Brast02G214000
Brahy.D01G0211900	Brast02G214100
Brahy.D01G0212300	Brast02G214300
Brahy.D01G0212400	Brast02G214400
Brahy.D01G0212500	Brast02G214500
Brahy.D01G0212800	Brast02G214600
Brahy.D01G0213000	Brast02G214700
Brahy.D01G0213100	Brast02G214800
Brahy.D01G0213200	Brast02G214900
Brahy.D01G0213400	Brast02G215000
Brahy.D01G0213600	Brast02G215300
Brahy.D01G0033100	Brast02G368300
Brahy.D01G0033200	Brast02G368400
Brahy.D01G0033500	Brast02G368600
Brahy.D01G0033600	Brast02G368700
Brahy.D01G0033700	Brast02G368800
Brahy.D01G0033800	Brast02G369000
Brahy.D01G0033900	Brast02G369100
Brahy.D01G0034100	Brast02G369200
Brahy.D01G0034200	Brast02G369300
Brahy.D01G0034400	Brast02G369400
Brahy.D01G0034500	Brast02G369500
Brahy.D01G0034600	Brast02G369600
Brahy.D01G0034700	Brast02G369700
Brahy.D01G0034800	Brast02G369800
Brahy.D01G0034900	Brast02G369900
Brahy.D01G0035000	Brast02G370000
Brahy.D01G0035100	Brast02G370100
Brahy.D01G0028200	Brast02G373300
Brahy.D01G0028300	Brast02G373400
Brahy.D01G0028400	Brast02G373500
Brahy.D01G0028500	Brast02G373600
Brahy.D01G0028600	Brast02G373700
Brahy.D01G0028700	Brast02G373800
Brahy.D01G0028800	Brast02G373900
Brahy.D01G0028900	Brast02G374000
Brahy.D01G0029000	Brast02G374100
Brahy.D01G0029100	Brast02G374200
Brahy.D01G0029300	Brast02G374300
Brahy.D01G0029400	Brast02G374400
Brahy.D01G0029500	Brast02G374500
Brahy.D01G0029900	Brast02G374600
Brahy.D01G0030100	Brast02G374900
Brahy.D01G0030400	Brast02G375000
Brahy.D01G0000100	Brast02G394300
Brahy.D01G0000200	Brast02G394400
Brahy.D01G0000300	Brast02G394500
Brahy.D01G0000500	Brast02G394600
Brahy.D01G0000900	Brast02G394800
Brahy.D01G0001100	Brast02G394900
Brahy.D01G0001200	Brast02G395000
Brahy.D01G0001300	Brast02G395100
Brahy.D01G0001400	Brast02G395200
Brahy.D01G0001500	Brast02G395300
Brahy.D01G0001600	Brast02G395400
Brahy.D01G0001800	Brast02G395600
Brahy.D01G0001900	Brast02G395700
Brahy.D01G0002000	Brast02G395800
Brahy.D01G0207700	Brast02G215500
Brahy.D01G0207800	Brast02G215700
Brahy.D01G0207900	Brast02G215800
Brahy.D01G0208000	Brast02G215900
Brahy.D01G0208200	Brast02G216000
Brahy.D01G0208600	Brast02G216100
Brahy.D01G0208700	Brast02G216300
Brahy.D01G0208800	Brast02G216400
Brahy.D01G0208900	Brast02G216600
Brahy.D01G0209000	Brast02G216700
Brahy.D01G0209200	Brast02G216900
Brahy.D01G0209500	Brast02G217000
Brahy.D01G0209600	Brast02G217100
Brahy.D01G0209800	Brast02G217200
Brahy.D01G1056600	Brast02G012300
Brahy.D01G1056800	Brast02G012400
Brahy.D01G1056900	Brast02G012500
Brahy.D01G1057000	Brast02G012600
Brahy.D01G1057100	Brast02G012700
Brahy.D01G1057200	Brast02G012800
Brahy.D01G1057300	Brast02G012900
Brahy.D01G1057400	Brast02G013200
Brahy.D01G1057500	Brast02G013300
Brahy.D01G1057600	Brast02G013400
Brahy.D01G1057700	Brast02G013500
Brahy.D01G1057800	Brast02G013600
Brahy.D01G0258600	Brast02G192000
Brahy.D01G0259400	Brast02G192900
Brahy.D01G0261500	Brast02G193500
Brahy.D01G0262500	Brast02G195000
Brahy.D01G0263200	Brast02G195100
Brahy.D01G0265800	Brast02G197700
Brahy.D01G0266100	Brast02G198400
Brahy.D01G0267200	Brast02G198800
Brahy.D01G0216200	Brast02G143600
Brahy.D01G0216700	Brast02G144400
Brahy.D01G0217100	Brast02G146200
Brahy.D01G0218000	Brast02G148600
Brahy.D01G0218200	Brast02G149900
Brahy.D01G0218400	Brast02G151200
