bhsid	bsid
Brahy.S01G0000100	Brast01G000100
Brahy.S01G0000800	Brast01G000200
Brahy.S01G0001000	Brast01G000300
Brahy.S01G0001100	Brast01G000400
Brahy.S01G0001200	Brast01G000500
Brahy.S01G0001300	Brast01G000600
Brahy.S01G0001500	Brast01G000700
Brahy.S01G0001600	Brast01G000800
Brahy.S01G0001700	Brast01G000900
Brahy.S01G0001800	Brast01G001000
Brahy.S01G0001900	Brast01G001100
Brahy.S01G0002000	Brast01G001200
Brahy.S01G0002100	Brast01G001300
Brahy.S01G0002300	Brast01G001400
Brahy.S01G0002400	Brast01G001500
Brahy.S01G0002500	Brast01G001600
Brahy.S01G0002600	Brast01G001700
Brahy.S01G0002700	Brast01G001800
Brahy.S01G0002800	Brast01G001900
Brahy.S01G0002900	Brast01G002000
Brahy.S01G0003000	Brast01G002100
Brahy.S01G0003100	Brast01G002200
Brahy.S01G0003200	Brast01G002300
Brahy.S01G0003300	Brast01G002400
Brahy.S01G0003400	Brast01G002500
Brahy.S01G0003500	Brast01G002600
Brahy.S01G0003600	Brast01G002700
Brahy.S01G0003700	Brast01G002800
Brahy.S01G0003800	Brast01G002900
Brahy.S01G0003900	Brast01G003000
Brahy.S01G0004000	Brast01G003100
Brahy.S01G0004100	Brast01G003200
Brahy.S01G0004200	Brast01G003300
Brahy.S01G0004300	Brast01G003400
Brahy.S01G0004400	Brast01G003500
Brahy.S01G0004500	Brast01G003600
Brahy.S01G0004600	Brast01G003700
Brahy.S01G0004700	Brast01G003800
Brahy.S01G0004800	Brast01G003900
Brahy.S01G0004900	Brast01G004000
Brahy.S01G0005000	Brast01G004100
Brahy.S01G0005100	Brast01G004200
Brahy.S01G0005200	Brast01G004300
Brahy.S01G0005300	Brast01G004400
Brahy.S01G0005400	Brast01G004500
Brahy.S01G0005500	Brast01G004600
Brahy.S01G0005600	Brast01G004700
Brahy.S01G0005700	Brast01G004800
Brahy.S01G0005800	Brast01G004900
Brahy.S01G0005900	Brast01G005000
Brahy.S01G0006000	Brast01G005100
Brahy.S01G0006100	Brast01G005200
Brahy.S01G0006200	Brast01G005300
Brahy.S01G0006300	Brast01G005400
Brahy.S01G0006400	Brast01G005500
Brahy.S01G0006600	Brast01G005700
Brahy.S01G0006700	Brast01G005800
Brahy.S01G0006900	Brast01G006000
Brahy.S01G0007000	Brast01G006100
Brahy.S01G0007100	Brast01G006200
Brahy.S01G0007200	Brast01G006300
Brahy.S01G0007300	Brast01G006400
Brahy.S01G0007400	Brast01G006500
Brahy.S01G0007500	Brast01G006600
Brahy.S01G0007600	Brast01G006700
Brahy.S01G0007700	Brast01G006800
Brahy.S01G0007800	Brast01G006900
Brahy.S01G0007900	Brast01G007000
Brahy.S01G0008000	Brast01G007100
Brahy.S01G0008100	Brast01G007200
Brahy.S01G0008200	Brast01G007300
Brahy.S01G0008300	Brast01G007400
Brahy.S01G0008400	Brast01G007500
Brahy.S01G0008500	Brast01G007600
Brahy.S01G0008600	Brast01G007700
Brahy.S01G0008700	Brast01G007800
Brahy.S01G0008800	Brast01G007900
Brahy.S01G0008900	Brast01G008000
Brahy.S01G0009000	Brast01G008100
Brahy.S01G0009100	Brast01G008200
Brahy.S01G0009200	Brast01G008300
Brahy.S01G0009300	Brast01G008400
Brahy.S01G0009400	Brast01G008500
Brahy.S01G0009500	Brast01G008600
Brahy.S01G0009600	Brast01G008800
Brahy.S01G0009800	Brast01G008900
Brahy.S01G0009900	Brast01G009000
Brahy.S01G0010000	Brast01G009100
Brahy.S01G0010200	Brast01G009200
Brahy.S01G0010300	Brast01G009300
Brahy.S01G0010400	Brast01G009400
Brahy.S01G0010500	Brast01G009500
Brahy.S01G0010600	Brast01G009600
Brahy.S01G0010700	Brast01G009700
Brahy.S01G0010800	Brast01G009800
Brahy.S01G0010900	Brast01G009900
Brahy.S01G0011000	Brast01G010000
Brahy.S01G0011100	Brast01G010100
Brahy.S01G0011200	Brast01G010200
Brahy.S01G0011300	Brast01G010300
Brahy.S01G0011500	Brast01G010400
Brahy.S01G0011600	Brast01G010500
Brahy.S01G0011700	Brast01G010600
Brahy.S01G0011800	Brast01G010700
Brahy.S01G0012100	Brast01G010900
Brahy.S01G0012400	Brast01G011400
Brahy.S01G0012600	Brast01G011500
Brahy.S01G0012700	Brast01G011600
Brahy.S01G0012800	Brast01G011700
Brahy.S01G0012900	Brast01G011800
Brahy.S01G0013000	Brast01G011900
Brahy.S01G0013200	Brast01G012000
Brahy.S01G0013300	Brast01G012200
Brahy.S01G0013400	Brast01G012300
Brahy.S01G0013500	Brast01G012400
Brahy.S01G0013600	Brast01G012500
Brahy.S01G0013700	Brast01G012600
Brahy.S01G0013800	Brast01G012700
Brahy.S01G0013900	Brast01G012800
Brahy.S01G0014000	Brast01G012900
Brahy.S01G0014100	Brast01G013000
Brahy.S01G0014200	Brast01G013100
Brahy.S01G0014300	Brast01G013200
Brahy.S01G0014400	Brast01G013300
Brahy.S01G0014500	Brast01G013400
Brahy.S01G0014600	Brast01G013500
Brahy.S01G0014700	Brast01G013700
Brahy.S01G0014900	Brast01G013800
Brahy.S01G0015000	Brast01G013900
Brahy.S01G0015100	Brast01G014000
Brahy.S01G0015200	Brast01G014100
Brahy.S01G0015300	Brast01G014200
Brahy.S01G0015400	Brast01G014300
Brahy.S01G0015500	Brast01G014400
Brahy.S01G0015600	Brast01G014500
Brahy.S01G0015700	Brast01G014600
Brahy.S01G0015800	Brast01G014700
Brahy.S01G0015900	Brast01G014800
Brahy.S01G0016000	Brast01G014900
Brahy.S01G0016100	Brast01G015000
Brahy.S01G0016200	Brast01G015100
Brahy.S01G0016300	Brast01G015200
Brahy.S01G0016400	Brast01G015300
Brahy.S01G0016500	Brast01G015400
Brahy.S01G0016600	Brast01G015500
Brahy.S01G0016700	Brast01G015600
Brahy.S01G0016800	Brast01G015700
Brahy.S01G0016900	Brast01G015800
Brahy.S01G0017000	Brast01G015900
Brahy.S01G0017100	Brast01G016000
Brahy.S01G0017200	Brast01G016100
Brahy.S01G0017300	Brast01G016200
Brahy.S01G0017700	Brast01G016300
Brahy.S01G0017900	Brast01G016400
Brahy.S01G0018000	Brast01G016500
Brahy.S01G0018200	Brast01G016600
Brahy.S01G0018300	Brast01G016700
Brahy.S01G0018400	Brast01G016800
Brahy.S01G0018500	Brast01G016900
Brahy.S01G0018600	Brast01G017000
Brahy.S01G0018700	Brast01G017100
Brahy.S01G0018800	Brast01G017200
Brahy.S01G0018900	Brast01G017300
Brahy.S01G0019000	Brast01G017400
Brahy.S01G0019100	Brast01G017500
Brahy.S01G0019200	Brast01G017600
Brahy.S01G0019300	Brast01G017700
Brahy.S01G0019400	Brast01G017800
Brahy.S01G0019500	Brast01G017900
Brahy.S01G0019600	Brast01G018000
Brahy.S01G0019800	Brast01G018100
Brahy.S01G0019900	Brast01G018200
Brahy.S01G0020000	Brast01G018300
Brahy.S01G0020100	Brast01G018400
Brahy.S01G0020200	Brast01G018500
Brahy.S01G0020300	Brast01G018600
Brahy.S01G0020400	Brast01G018700
Brahy.S01G0020600	Brast01G018800
