atid	description
AT1G69440	AGO7
AT3G63470	scpl40
AT5G15650	ATRGP2
AT1G13680	NA
AT4G05200	CRK25
AT5G40820	ATATR
AT1G16300	GAPCP-2
AT1G69850	AIT1
AT2G19450	ABX45
AT4G11000	NA
AT1G25450	CER60
AT1G21230	WAK5
AT2G28630	KCS12
AT2G26250	FDH
AT2G46660	CYP78A6
AT5G05660	ATNFXL2
AT2G19130	NA
AT1G18530	CML15
AT2G38090	NA
AT4G33030	SQD1
AT3G55950	ATCRR3
AT2G26900	BASS2
AT1G80300	ATNTT1
AT5G03170	ATFLA11
AT4G21700	NA
AT1G51940	AtLYK3
AT3G55610	P5CS2
AT3G46790	CRR2
AT1G49900	NA
AT2G02220	ATPSKR1
AT5G44790	HMA7
AT1G08750	ATGPI8
AT5G25930	NA
AT4G35300	TMT2
AT3G14940	ATPPC3
AT5G53130	ATCNGC1
AT3G47570	NA
AT5G24080	NA
AT2G38820	NA
AT1G67120	AtMDN1
AT5G08380	AGAL1
AT1G28100	NA
AT5G17540	NA
AT1G04110	AtSDD1
AT5G38710	PDH2
AT4G16970	NA
AT4G17615	ATCBL1
AT5G46800	BOU
AT1G32640	ATMYC2
AT1G32250	NA
AT4G30950	FAD6
AT1G73080	ATPEPR1
AT1G19230	AtRbohE
AT1G37130	ATNR2
AT3G19270	CYP707A4
AT5G64260	EXL2
AT1G21240	WAK3
AT5G13160	PBS1
AT5G03555	AtNCS1
AT2G44600	NA
AT3G57120	NA
AT5G09420	AtmtOM64
AT3G07040	RPM1
AT5G03280	ATEIN2
AT3G53700	MEE40
AT1G74520	ATHVA22A
AT4G10120	ATSPS4F
AT3G50950	ZAR1
AT2G30520	RPT2
AT5G13750	ZIFL1
AT1G34300	NA
AT2G42280	AKS3
AT3G03310	ATLCAT3
AT5G24470	APRR5
AT2G36690	GAS2
AT1G65480	FT
AT5G12480	CPK7
AT2G38670	PECT1
AT3G11130	AtCHC1
AT5G05260	CYP79A2
AT5G64460	NA
AT3G62700	ABCC14
AT1G21210	WAK4
AT5G58140	AtPHOT2
AT5G22510	A/N-InvE
AT5G49740	ATFRO7
AT4G39730	ATPLAT1
AT1G76140	NA
AT1G48410	AGO1
AT4G36180	NA
AT5G52510	SCL8
AT4G35310	ATCPK5
AT3G20660	AtOCT4
AT4G21390	B120
AT3G28860	ABCB19
AT5G05780	AE3
AT3G47090	NA
AT5G23240	AtDjC17
AT5G54190	PORA
AT1G22610	MCTP6
AT2G37050	NA
AT1G71090	PILS2
AT1G04920	ATSPS3F
AT5G57520	ATZFP2
AT3G46970	ATPHS2
AT4G11070	AtWRKY41
AT5G15070	ATVIP2
AT2G34780	EMB1611
AT1G64060	ATRBOH
AT5G46330	FLS2
AT1G28600	NA
AT1G70410	ATBCA4
AT1G53300	TTL1
AT1G15520	ABCG40
AT5G20490	ATXIK
AT5G23720	PHS1
AT2G47070	SPL1
AT1G53540	HSP17.6C
AT4G20970	NA
AT4G32940	AEP3
AT3G23920	AtBAM1
AT5G56580	ANQ1
AT5G65380	NA
AT2G38620	CDKB1;2
AT3G09770	AIRP3
AT3G55020	NA
AT4G18640	MDIS2
AT5G23960	ATTPS21
AT1G57560	AtMYB50
AT3G15730	PLD
AT3G14350	SRF7
AT3G02870	VTC4
AT1G69040	ACR4
AT1G04420	NA
AT5G17860	CAX7
AT5G62670	AHA11
AT1G74790	NA
AT2G01830	AHK4
AT4G19390	NA
AT3G23780	DMS2
AT2G43120	PRN2
AT1G44800	SIAR1
AT3G04260	PDE324
AT2G44940	ERF34
AT4G17090	AtBAM3
AT5G52920	PKP-BETA1
AT5G11000	NA
AT4G14480	BLUS1
AT2G02040	AtNPF8.3
AT1G49540	AtELP2
AT1G55760	SIBP1
AT4G24610	NA
AT1G21880	LYM1
AT1G77760	GNR1
AT5G20410	ATMGD2
AT2G18700	ATTPS11
