genotype	aw	slope	species	treat	group	color
WS10	0.1373626	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
AS17	0.1373626	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS19	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS25	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS25	0.1373626	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS30	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS33	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS47	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS50	0.1373626	AS	Brachypodium	drought	Br(AST)	AST
AS50	0.1373626	AS	Brachypodium	well-watered	Br(ASC)	ASC
ES14	0.1373626	ES	Brachypodium	drought	Br(EST)	EST
ES23	0.1373626	ES	Brachypodium	drought	Br(EST)	EST
ES23	0.1373626	ES	Brachypodium	well-watered	Br(ESC)	ESC
WS1	0.1380957	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	0.1380957	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	0.1380957	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	0.1380957	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	0.1380957	AS	T.dicoccoides	drought	Td(AST)	AST
WS3	0.1380957	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS3	0.1380957	ES	T.dicoccoides	drought	Td(EST)	EST
AS19	0.1380957	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS22	0.1380957	AS	Brachypodium	drought	Br(AST)	AST
AS22	0.1380957	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS25	0.1381168	AS	Brachypodium	drought	Br(AST)	AST
AS30	0.1381168	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS33	0.1381194	AS	Brachypodium	well-watered	Br(ASC)	ASC
AS33	0.1388883	AS	Brachypodium	drought	Br(AST)	AST
AS40	0.1388883	AS	Brachypodium	drought	Br(AST)	AST
AS47	0.1388883	AS	Brachypodium	well-watered	Br(ASC)	ASC
ES1	0.1388883	ES	Brachypodium	drought	Br(EST)	EST
ES11	0.1388883	ES	Brachypodium	drought	Br(EST)	EST
