	A	gs	WUE	Ci	Tr	VPD	Tleaf	AL	AW	AW/AL	GCV	SCV	SA	SI	SD	DW
WT6C	10.65482179	0.172386945	61.807591	319.9470321	2.165162228	1.239511674	19.8461616	34.17834629	1.830490721	0.05355703	6654.184114	2109.899571	49.13697976	12.77049983	23.8	1.4922
WT6T	5.692775613	0.078335057	72.67213222	251.563352	0.753278663	1.348407	18.5741967	31.39865257	1.413680158	0.045023593	6362.773521	2236.920934	34.86198046	17.94252733	42.5	0.9144
WT7C	8.674325189	0.203737446	42.57599853	270.2055294	2.46519399	1.444574265	20.55687089	34.26576949	2.023219497	0.059044916	7378.341749	1877.703619	54.44943428	12.15886064	27.8	1.593
WT7T	6.350180538	0.075950131	83.60986912	228.2288235	1.023368265	1.683011599	20.56576602	32.3701994	1.415568534	0.043730609	4883.983736	2254.333845	35.98869977	16.22491845	37.6	0.6498
AS17C	8.611823388	0.177993085	48.38290986	363.0679995	1.500249463	0.904918784	23.43641376	12.03958454	1.136372873	0.094386386	605.2219804	1656.218297	10.74539142	13.0867526	115.103	0.641667
AS17T	5.341006912	0.072234193	73.94014787	322.0788353	0.701751544	0.991553154	23.38596408	12.65131117	0.996051579	0.078731095	461.2985416	1648.273771	9.897083797	11.03505272	99.0	0.53775
AS19C	10.95372096	0.267408871	40.96244421	396.6930769	1.864306261	0.7465573	23.46785037	13.0905138	1.059176989	0.080911797	532.235945	3633.159865	10.88967983	13.02464168	102.946	1.7625
AS19T	6.355383783	0.189017641	33.62323088	424.6558168	1.348111256	0.754266875	23.29684486	10.6493017	0.7172822	0.067354858	735.5280279	2890.183885	5.999306716	14.315515	136.451	0.48905
AS22C	11.14900225	0.37402543	29.80813965	427.9549274	2.446048077	0.726491504	23.01792259	12.12067904	0.942269049	0.077740616	916.3818891	3818.403647	8.96998586	14.16126964	124.155	0.848333
AS22T	8.140065008	0.199509292	40.80043053	405.9618447	1.360438918	0.749844886	22.11712227	11.76054092	0.774275199	0.0658367	708.9071711	3608.360727	7.151753336	14.05515073	118.513	0.518333333
AS25C	11.15198718	0.281875109	39.56357558	343.9748515	1.987576337	0.760998581	23.80742709	11.7574584	1.205093299	0.102496072	540.8665391	2409.465288	11.12817646	16.91959497	122.676	1.241667
AS25T	7.923821457	0.173038898	45.79214008	316.9904762	1.311254072	0.806622951	23.71208731	12.47058558	1.028854293	0.082502484	531.4202151	2542.55943	10.07698478	13.14569302	101.463	0.525
AS30C	8.2752061	0.189051478	43.772237	331.0539648	1.438814847	0.819216418	21.63717779	12.55947101	1.040054546	0.082810378	662.0962019	2980.391425	10.25929093	12.07735893	118.195	0.703333
AS30T	3.714253463	0.069530723	53.41888165	306.6855445	0.620456989	0.946612203	21.0566899	12.48062575	0.962294193	0.077103041	671.5798989	3299.535494	9.432658398	11.8876364	85.7	0.47975
AS33C	9.066728767	0.345168367	26.26755414	394.0574657	2.008232826	0.64515452	23.68497162	13.19242905	1.07271247	0.081312734	848.2415537	3496.012915	11.11470596	13.59702556	122.369	1.281667
AS33T	7.02154382	0.155795139	45.06908152	387.0083471	1.174195728	0.778638711	23.77653465	12.13061753	0.985123943	0.081209711	677.8031452	3102.69477	9.385635108	17.06872162	139.567	0.453333333
AS47C	12.97958245	0.234715662	55.29917492	314.2037566	1.864562895	0.850223674	24.65551503	12.65545044	0.989025368	0.078150151	949.9708769	4503.0761	9.830484437	13.15761379	74.6	1.623867
AS47T	8.238680227	0.132680184	62.09427797	314.803477	1.116103134	0.866144726	24.00309181	12.69322806	0.799965897	0.063023046	892.1802789	4383.581486	7.975050424	13.07921525	83.5	0.65875
AS50C	6.295840777	0.117862151	53.41698521	335.8714331	1.48039819	1.306304227	23.36960697	12.34137784	1.06894484	0.086614708	720.6478951	3055.98957	10.36117062	12.16750933	86.6	1.081667
AS50T	4.199671425	0.048926906	85.83562233	279.6204724	0.686895076	1.429927254	23.52409744	11.09380566	0.809081076	0.072930886	594.7016915	3186.146146	7.049567583	13.09020925	102.422	0.5125
AS7C	9.647550235	0.289913542	33.27733561	403.7655417	1.497333588	0.565959853	22.94082737	12.77777048	1.649662526	0.129104098	634.5636365	1437.214429	16.55541505	14.04471544	123.954	1.318333
AS7T	9.328833478	0.243524776	38.30753335	395.5256915	1.49103404	0.657482444	23.57107925	10.08901059	1.16888905	0.115857649	506.5286799	1134.396398	9.262148708	12.51649726	113.621	0.615
AS8C	6.667308639	0.146920269	45.38045488	354.074153	1.331952994	0.975399502	21.44054476	11.24834489	1.60184243	0.142406945	745.8367697	1317.608033	14.15136389	13.94780383	113.391	0.643333
