nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC3AG017120	NA	turquoise
TRIDC2BG014800	NA	turquoise
TRIDC2AG035670	NA	turquoise
TRIDC4BG021940	NA	turquoise
TRIDC4BG013910	NA	grey
TRIDC3BG083350	NA	turquoise
TRIDC2AG028560	NA	turquoise
TRIDC2AG037440	NA	turquoise
TRIDC2AG042920	NA	blue
TRIDC5AG059960	NA	turquoise
TRIDC4BG022240	NA	turquoise
TRIDC5AG068830	NA	blue
TRIDC3BG025030	NA	turquoise
TRIDC3BG038850	NA	turquoise
TRIDC2BG038790	NA	grey
TRIDC3BG012770	NA	turquoise
TRIDC2BG054610	NA	turquoise
TRIDC7BG023490	NA	turquoise
TRIDC5BG065490	NA	turquoise
TRIDC4BG017010	NA	turquoise
TRIDC2BG040710	NA	turquoise
TRIDC5AG002350	NA	turquoise
TRIDC4AG027150	NA	turquoise
TRIDC5AG037770	NA	turquoise
TRIDC5BG042550	NA	turquoise
TRIDC6AG055520	NA	turquoise
TRIDC3AG074310	NA	red
TRIDC1BG068400	NA	brown
TRIDC3BG041880	NA	turquoise
TRIDC7BG025210	NA	turquoise
TRIDC2BG048280	NA	turquoise
TRIDC3AG021330	NA	turquoise
TRIDC2BG038440	NA	turquoise
TRIDC5BG075080	NA	brown
TRIDC5AG057060	NA	turquoise
TRIDC5AG022620	NA	turquoise
TRIDC5BG035690	NA	grey
TRIDC1BG007360	NA	red
TRIDC2BG045140	NA	turquoise
TRIDC3BG056640	NA	turquoise
TRIDC6AG024880	NA	turquoise
TRIDC2AG037250	NA	turquoise
TRIDC5BG033070	NA	turquoise
TRIDC7AG073560	NA	blue
TRIDC3BG061260	NA	turquoise
TRIDC1AG017300	NA	turquoise
TRIDC1AG055310	NA	turquoise
TRIDC7BG015290	NA	turquoise
TRIDC4AG038880	NA	turquoise
TRIDC1AG038130	NA	turquoise
TRIDC5BG070780	NA	blue
TRIDC7AG047050	NA	turquoise
TRIDC3AG034200	NA	turquoise
TRIDC7AG048010	NA	blue
TRIDC3AG026770	NA	grey
TRIDC3AG023150	NA	turquoise
TRIDC7BG025950	NA	turquoise
TRIDC7AG065720	NA	turquoise
TRIDC6BG051730	NA	turquoise
TRIDC2AG066330	NA	turquoise
TRIDC5AG031110	NA	turquoise
TRIDC5AG036480	NA	blue
TRIDC3BG040800	NA	turquoise
TRIDC3BG026230	NA	turquoise
TRIDC1BG058900	NA	turquoise
TRIDC3BG053370	NA	turquoise
TRIDC5BG021830	NA	turquoise
TRIDC4AG041950	NA	turquoise
TRIDC6BG054050	NA	turquoise
TRIDC7BG026840	NA	turquoise
TRIDC7AG004740	NA	turquoise
TRIDC5AG020060	NA	turquoise
TRIDC1BG029200	NA	turquoise
TRIDC3BG045410	NA	turquoise
TRIDC2AG047030	NA	red
TRIDC4BG028430	NA	turquoise
TRIDC6BG066440	NA	purple
TRIDC6AG029410	NA	turquoise
TRIDC1AG016470	NA	turquoise
TRIDC7AG076360	NA	blue
TRIDC1BG062180	NA	turquoise
TRIDC6BG067850	NA	turquoise
TRIDC5AG068340	NA	turquoise
TRIDC6BG041950	NA	blue
TRIDC3BG017400	NA	turquoise
TRIDC4BG060740	NA	blue
TRIDC3AG040010	NA	turquoise
TRIDC7AG069500	NA	turquoise
TRIDC2BG032790	NA	turquoise
TRIDC4BG033910	NA	turquoise
TRIDC2AG056930	NA	turquoise
TRIDC5AG046950	NA	turquoise
TRIDC2BG039580	NA	blue
TRIDC1BG041580	NA	turquoise
TRIDC7BG018040	NA	turquoise
TRIDC3BG034150	NA	turquoise
