"MM.blue"	"MM.pink"	"MM.purple"	"MM.black"	"MM.brown"	"MM.magenta"	"MM.green"	"MM.red"	"MM.turquoise"	"MM.yellow"	"MM.grey"
"TRIDC3AG017120"	-0.581901640205894	-0.36424752559156	-0.352947910440024	0.0531850388873575	-0.599809333559638	-0.265568949317977	0.345886561177181	0.250091030873165	0.783093969907834	0.530169582401013	0.184062141741523
"TRIDC2BG014800"	-0.828804603431317	-0.600995117301317	-0.522475445426567	0.378190506245457	-0.456958696763758	-0.0877402801270728	0.556285925942062	0.686224852165967	0.95022043012569	0.537131388583368	-0.0202393810182676
"TRIDC7AG036210"	0.306532681445404	-0.027860879664341	-0.0791442918682732	-0.280418773840158	-0.014064667390745	-0.135097711602883	-0.394298085099941	-0.377693021847357	-0.302523359436558	-0.0928961654975285	-0.0241669062533255
"TRIDC5AG047770"	-0.45045383702648	-0.409925415367457	-0.428193012327713	0.0252696260522888	-0.452163112877188	-0.180666504311804	0.0805627028915148	0.0885146813129235	0.565372195007923	0.387589363137885	0.0273221035279092
"TRIDC2AG035670"	0.550301531390124	0.411572232823875	0.320352041082619	0.00530334495558049	0.7205650567635	0.325077468543468	-0.493554960170762	-0.541862953264457	-0.878182521619643	-0.693251253254249	-0.36683525762957
"TRIDC4BG021940"	-0.8445237868838	-0.605839123880712	-0.522359798858627	0.485373999005754	-0.254225739520868	0.199281034893003	0.525692464270135	0.290236270993585	0.831981907164988	0.418943428537587	-0.211715980396876
"TRIDC4BG013910"	0.165657462939149	-0.0459726383328646	-0.202764078651718	-0.449737892398796	-0.452901895014482	-0.355452397480543	-0.150396311815973	-0.314684219419344	0.065490847583681	0.258718356409419	0.293543197875476
"TRIDC3BG083350"	-0.756975504241216	-0.558446689131859	-0.491558721766749	0.233728689314544	-0.588789404003405	-0.213831623619188	0.462574088038779	0.613221590811485	0.952683276294132	0.610759120775018	0.100226870730147
"TRIDC2AG028560"	-0.560978891913462	-0.466975551397414	-0.391740637269157	0.0359490778319658	-0.58055781468828	-0.253234433112959	0.279902684777666	0.17301140573293	0.732518665182862	0.483723955064496	0.118326887517566
"TRIDC4AG070460"	0.104144351749025	-0.128977550427791	-0.072885147710124	-0.523084666004018	-0.555218265511726	-0.406344364994071	-0.0736155095203396	-0.335498342990839	0.106158429474784	0.189048719618991	0.316986766356981
"TRIDC2AG037440"	-0.854024941306979	-0.617129647207459	-0.523036881995501	0.391415185713091	-0.417388704157106	-0.0103387230069013	0.654464996641562	0.512917537795731	0.929011945040308	0.476230645874836	-0.0668930792879172
"TRIDC2AG042920"	0.893241744024465	0.4601924565157	0.409213993679109	-0.766138447607167	-0.0736334582743069	-0.331272274548492	-0.472645218827279	-0.566652182538966	-0.734274546884867	-0.213482255220419	0.39417715127782
"TRIDC5AG059960"	0.861395622728817	0.576142771034199	0.44203440861806	-0.703751123485175	0.0540556968515481	-0.208973770194808	-0.515359981702105	-0.644186941302892	-0.821026856343287	-0.387347397465041	0.282753069419414
"TRIDC4BG022240"	-0.705931500615582	-0.528749893607712	-0.434041460774842	0.43386911709947	-0.257323635676922	0.096892460424489	0.452386045203766	0.612582696575968	0.761826491917326	0.409833029241914	-0.0820196585559245
"TRIDC1BG070890"	0.103636800536852	0.00680070771857439	-0.131636517350846	-0.104358524156065	0.0745070515871758	0.0184809343142228	-0.338966570272285	-0.498348724237228	-0.213419678501777	-0.179649276715703	-0.195561851160353
"TRIDC3AG075260"	-0.0948157509929525	-0.250266511434615	-0.146758916003781	-0.371225499203388	-0.678613487081783	-0.494044994498746	0.00248483803456752	0.238567068502535	0.389907020072726	0.422457556326354	0.368076617402168
"TRIDC5AG068830"	0.758144313742689	0.376274097233699	0.364178484245959	-0.641422373869565	0.0370825815074054	-0.209369151657604	-0.531809718437913	-0.641872147106009	-0.746242294713092	-0.375028997472784	0.177006303276934
"TRIDC7AG029070"	0.329592278988258	0.145812725111979	0.0704284389036822	-0.270801251041593	0.133262086242918	-0.0136236207880532	-0.470978858096762	-0.688385275909434	-0.467291860182149	-0.348944650432298	-0.134843888565366
"TRIDC3BG025030"	-0.586160352578467	-0.418720553678592	-0.34095079651132	0.275678103463236	-0.340441925403635	-0.107662964889016	0.0703614104391076	0.507913490438102	0.667797685284758	0.404081019497616	-0.0293171134686659
"TRIDC1AG057700"	-0.178018253348969	-0.263644153424919	-0.275950461407246	-0.162186769206407	-0.315385361261418	-0.125848251727129	-0.241566675218775	-0.210278747917624	0.168212421169481	0.0284565685933648	-0.0793694006368804
"TRIDC3BG038850"	0.675697693299408	0.316125173696923	0.130868611160825	-0.484147299574026	0.129492964126363	-0.0817386337475737	-0.483944009462266	-0.650006970928493	-0.688217602115672	-0.30179479021111	0.075080617471068
"TRIDC2BG038790"	0.0909733491326469	-0.129203599718672	-0.233660578755345	-0.417236275278201	-0.4773400077641	-0.383909189913389	-0.149356551619218	-0.315251585262193	0.117256772266957	0.253484325174904	0.264324109871239
"TRIDC3BG012770"	0.490005133359208	0.546280452990731	0.482691437808353	0.0278455691078048	0.652212372644804	0.0722190152551463	-0.440565893159619	-0.399332299560421	-0.757017608492602	-0.620525062139906	-0.229599652189706
"TRIDC2BG054610"	-0.695354967707413	-0.502080662093993	-0.445215712924682	0.292653330452951	-0.444161524690853	-0.118912389591768	0.526154207140245	0.859702653793706	0.853599484252251	0.535710959373715	0.0577414088351661
"TRIDC7BG023490"	-0.755035547888467	-0.564343826960146	-0.491400317746299	0.264167572407084	-0.507388257238255	-0.127631232471056	0.457402336359942	0.368455041195544	0.895798484462339	0.555854703301188	0.0235351072477219
"TRIDC2BG039350"	-0.320592404813873	-0.330411504166994	-0.262663858022737	0.152673313166908	-0.00967002346838286	0.249924593665383	-0.19736976378838	-0.256057660249295	0.147102664723054	-0.0914953262287308	-0.340286867000734
"TRIDC5BG065490"	-0.691616149932466	-0.476840377565449	-0.411003471512929	0.300470420725093	-0.414812641699877	-0.0789977438061153	0.515640531965069	0.841147849060265	0.82374683159436	0.511996542200729	0.0500763158274785
"TRIDC4AG038540"	0.129889896235398	-0.111119734665312	0.0912689069587219	-0.194435782921758	-0.249125307485079	-0.220919084869265	-0.0781961810625142	0.0484828061020121	0.0580387107290651	0.203558675605299	0.262212230609882
"TRIDC5BG070520"	-0.405144677002507	-0.3355888246629	-0.390866949591595	-0.0581885998615611	-0.451538261187666	-0.119707338748011	0.0396662190804526	-0.0479909419896083	0.46633560041292	0.229263496586087	-0.00543962243275388
"TRIDC4BG017010"	-0.737509369082185	-0.552719837077842	-0.489695468356296	0.229470840783153	-0.511089815288833	-0.14205390099896	0.46092811534735	0.332118051739234	0.868138979541858	0.537650296166679	0.0177844236564075
"TRIDC2BG040710"	-0.508022968044744	-0.511089855369523	-0.460059874373744	0.0102101580156046	-0.664398378194382	-0.308301779719195	0.402008097343534	0.281846911791043	0.815458399218661	0.729984662492676	0.253908107493546
"TRIDC2AG023870"	0.286621527928794	0.0490898630778685	-0.080268335889302	-0.358709593798825	-0.080656301847684	-0.113585486359696	-0.425626696130166	-0.487647455873847	-0.306339644897085	-0.158178815134832	-0.0250047185416544
"TRIDC5AG002350"	0.50795274237331	0.581874937109892	0.665643603263121	-0.0887630941683737	0.549618624293558	0.223557297339083	-0.415951480335084	-0.455446018742111	-0.767486777760346	-0.635380523311494	-0.138867275753593
"TRIDC6BG012730"	-0.228628295598393	0.0589315168343093	-0.102554531679596	-0.167284525788748	-0.52175169521136	-0.387491214272109	0.301592576095902	0.699578899098334	0.461082635009373	0.35555818582091	0.378781436419335
"TRIDC2AG047330"	-0.290119815764411	-0.303518342479249	-0.371935916622163	-0.181815532760788	-0.579537554173503	-0.334874417689716	0.204164460313357	-0.10423004983656	0.50302992907667	0.45953899014827	0.221084251434033
"TRIDC4AG027150"	-0.795020149314325	-0.585752926413514	-0.501351225905938	0.317513446936237	-0.524268412332964	-0.154648467115089	0.572475616540944	0.595963231707237	0.972652915619547	0.613445504116443	0.0673047951974072
"TRIDC5AG037770"	-0.733495055420932	-0.552189227419194	-0.497697537814628	0.215639975708477	-0.595494539097555	-0.197327493095604	0.413401619077072	0.688840840266489	0.938374922537593	0.614594035884081	0.117915841297503
"TRIDC5BG042550"	0.511123904741227	0.382258391138708	0.405678818724213	-0.181827790709137	0.476740419432199	0.259594774459065	-0.484750095174006	-0.554967435327508	-0.778733333002392	-0.626243045625679	-0.24980443589225
"TRIDC6AG055520"	-0.644878911844179	-0.463812773093873	-0.388573680898052	0.232783680971558	-0.471730687444625	-0.194267458957013	0.235240276307868	0.487263203965355	0.783265239999788	0.496343475500117	0.0528132099082945
"TRIDC6AG039020"	-0.668700947572419	-0.442549553863371	-0.380999752344283	0.43760274781223	-0.0882721754311495	0.0710783960787896	0.310981504106315	0.729606489070461	0.572189900131896	0.130056846162392	-0.274042789217311
"TRIDC3AG074310"	-0.619759737529173	-0.453506160023404	-0.413422457537647	0.23403541133542	-0.483193836906707	-0.178308136195724	0.382274500703177	0.893637406790697	0.827218645224321	0.59352589189588	0.132323455551157
"TRIDC1BG068400"	-0.467899984659907	-0.217427211030042	-0.223159888495613	0.766617137594871	0.713840524661729	0.760841413389746	-0.110377666472172	-0.119083724389052	-0.0673988341792001	-0.504328909138047	-0.878577739847397
"TRIDC3BG041880"	-0.608513275879422	-0.485744170721174	-0.456322065630443	0.239660087674943	-0.483021985615422	-0.147132705116804	0.336470762316411	0.483207874391416	0.827833649589645	0.687830808088678	0.111077312269289
"TRIDC7BG025210"	-0.866129870969097	-0.624912626982884	-0.541949301653851	0.424223626271247	-0.432270539390417	-0.0686987803292523	0.471268794174471	0.637407772648645	0.963349433093007	0.541281920158626	-0.0727045256571511
"TRIDC2BG048280"	-0.818338414933929	-0.588871106317507	-0.516726482462957	0.323363143147547	-0.461040853662474	-0.0930847541615792	0.436192382963976	0.511298116548255	0.893404566044005	0.454191794734745	-0.0723354536027878
"TRIDC5BG052920"	0.269568586307858	-0.0374899906093304	-0.0328814277714487	-0.326447313930698	-0.271994148562719	-0.277465654461609	-0.217420080572035	-0.311016626306366	-0.0264993154383504	0.301195647940335	0.324940887459775
"TRIDC3AG021330"	-0.737671145762203	-0.526856500825956	-0.421213891139524	0.27322773497028	-0.537599876337515	-0.144665836966339	0.467855012724074	0.692184725035075	0.936885589538244	0.632181507914	0.109826009167914
"TRIDC2BG038440"	-0.732111342170997	-0.530287449689076	-0.469260831085848	0.322436111806842	-0.455446032643443	-0.125794081815714	0.487070980277052	0.880579997115749	0.892354559051735	0.568949206089685	0.0509426844048158
"TRIDC7BG054020"	-0.328383031905283	-0.287977467273878	-0.250146245550724	-0.168975581216279	-0.627021824242439	-0.365750503759181	0.404801547382238	0.0385842086464957	0.59278550352807	0.493266104355668	0.314994153953441
"TRIDC5BG075080"	0.225740796541896	0.23150709149569	0.241244427806039	0.259763516984241	0.763564118382099	0.587584311336463	-0.36686494146362	-0.402366078886378	-0.66133152493871	-0.690298370572657	-0.557054852869132
"TRIDC5AG057060"	-0.401994613004159	-0.320717023950581	-0.258224913365261	0.104090211434999	-0.321784501842405	-0.0613586421931105	0.396916601418091	0.0877180453981924	0.515952100918273	0.286288541836777	0.0803336656811307
"TRIDC5AG022620"	-0.629054855405539	-0.506708495861923	-0.376132641354634	0.35669503200349	-0.301542364926028	0.116559379918718	0.471959722390603	0.235261610007135	0.745587019304361	0.49808064829367	0.00357592794447638
"TRIDC6AG010890"	0.422770726997354	0.194879036444413	0.203953016652818	-0.243986359635082	0.240523246266808	0.299726397390786	-0.378732611464919	-0.51400600734182	-0.556500408315156	-0.397479481873733	-0.108445610032008
"TRIDC5BG035690"	-0.313534977706691	-0.270709439570304	-0.15640160056025	0.131986202164561	-0.328221954707041	-0.130481854195497	0.210633750125919	0.286202913954441	0.517020317405074	0.506914411202747	0.206962551805701
"TRIDC1BG007360"	-0.777346614014939	-0.509315444842535	-0.467461301781216	0.426046762618	-0.342685431411147	-0.0606856640935146	0.327423022136764	0.87859700071794	0.851443166004947	0.482526579495132	-0.0844781560136703
"TRIDC2BG045140"	-0.79406318482881	-0.568050278900918	-0.46840962985673	0.493196840031853	-0.237707863639622	0.095393870621552	0.413537618087204	0.539187496201521	0.8018538376833	0.36190225033305	-0.171032428496497
"TRIDC3BG056640"	-0.862149395301749	-0.633688534515187	-0.564974034782964	0.448097471663719	-0.397832941134876	-0.0125955791165057	0.508526149408565	0.593971483903238	0.950799790447338	0.562419264344792	-0.0975404743642273
