"rownames.datTraits.","Trait.gs","Trait.WUE","Trait.Ci","Trait.Tr","Trait.VPD","Trait.Tleaf","Trait.AL","Trait.AW","Trait.AW/AL","Trait.GCV","Trait.SCV","MEgrey"
"WT6C",0.172386945,-0.144858259209053,-0.0702830101170934,-0.0181651548136233,0.36583470398052,0.403303544970558,0.888373871906456,-0.0779488286585701,-0.0837932306735062,-0.127493773884151,-0.285562023043911,-0.395104985910123
"WT6T",0.078335057,-0.16797465445317,-0.0937142237024694,-0.0549739739235493,0.296107441187095,0.415258919770233,0.22554546059097,-0.0808397978664146,-0.0384940252972772,-0.14129903024142,-0.362982724705378,-0.463162950042024
"WT7C",0.203737446,-0.14758398553037,-0.0206992938057342,-0.0437268892154303,0.366909281886625,0.432333123233934,0.286571924424723,-0.0673013764120886,-0.0778967716843356,-0.136900426495289,-0.289577433285503,-0.453150922868687
"WT7T",0.075950131,-0.125804441161239,-0.0280736888268797,-0.0476148930276115,0.538232795878093,0.536372000872122,0.12505184532822,-0.0809734994374567,0.00289038771126242,-0.113555396631751,-0.238647525936774,-0.424621864016055
"AS17C",0.177993085,0.188904832926584,-0.0474904715056457,0.0692395141813357,-0.126579771142579,0.00418998793328303,-0.0406717696626591,-0.0566179389700952,-0.101867767120628,-0.139609499530598,-0.0369557372244597,0.100984056271713
"AS17T",0.072234193,0.169470810360315,0.0435983231548455,0.251132161729472,-0.131276187777278,0.0123337179648745,-0.0327619246866713,-0.0910629653036642,-0.0943709566452794,-0.139043954086877,-0.0827797946570745,0.130366541049831
"AS19C",0.267408871,0.202353541477434,-0.000741061588206615,0.0137720728469379,-0.116611424229937,0.00797509085988142,-0.0389442278778972,-0.0693124858502386,-0.0951146223117259,-0.139009229126842,0.0132536126111331,0.0626334769129352
"AS19T",0.189017641,0.176671094884431,0.377181915739492,0.101768854691917,-0.0942038074191414,0.0425173807445247,-0.0238067528911191,-0.0455532833614509,-0.0697892330784848,-0.133644538927967,-0.0446493158742282,0.181109468062175
"AS22C",0.37402543,0.253710002268698,0.0213748312999059,0.0289347589077568,-0.112187192097865,0.0173197849604132,-0.0431974363687608,-0.0654945722680656,-0.0938662057588852,-0.132776756582464,0.083555781369959,0.113594476569572
"AS22T",0.199509292,0.115527696637617,0.516838076602606,0.0413497185254495,-0.122072066100044,0.00671488568089383,-0.0529673654868639,-0.0677626578610189,-0.0976759812749713,-0.150765973781093,-0.122445190011266,0.0370292445073422
"AS25C",0.281875109,0.219105756328586,0.0289173505993151,-0.01801213910666,-0.11577116221292,0.0231538059774308,-0.0443826509297607,-0.0838450582953225,-0.0963595893702554,-0.131412508081392,0.0682913495234259,0.112575578955162
"AS25T",0.173038898,0.188609227425851,0.201228141787736,0.0118301196017399,-0.107092198764874,0.0299591581641418,-0.0361018070066194,-0.0737495518535453,-0.0877006579299269,-0.133699486153349,0.010826845661625,0.14767983031722
"AS30C",0.189051478,0.148613240940209,-0.0528418653391591,0.0119354658724465,-0.141697739607835,-0.0142293210559784,-0.0610077324192109,-0.0985781524356251,-0.110642219620743,-0.147937515768824,-0.074914163924828,0.014924439028546
"AS30T",0.069530723,0.101436258021334,0.29104037981862,0.111824573544142,-0.134257846758237,0.00453547615678554,-0.0362564870590695,-0.0918369833868507,-0.0871663161998615,-0.150776176819728,-0.146232837228927,0.0259640379262563
"AS33C",0.345168367,0.189243394367162,-0.00564466960538621,0.0099392260711333,-0.123667901911689,0.00194566359449875,-0.0469551037248737,-0.0868872798068224,-0.101984833270535,-0.14155998775811,0.00086567790621429,0.0332933911101825
"AS33T",0.155795139,0.19804750848355,0.000773827442613173,0.056195241177807,-0.120845092115177,0.00747915734535529,-0.0465639745016851,-0.08106153786409,-0.096954989114757,-0.136238180126465,-0.00367838638107735,0.079617832424566
"AS47C",0.234715662,0.16604003076843,-0.0318118180859354,-0.0391638214313228,-0.12440708669593,0.00545902705248721,-0.0520281190774494,-0.0855379778890899,-0.105158861407931,-0.142868083019642,-0.0106085788175373,0.0214253033448986
"AS47T",0.132680184,0.174145549633681,0.0955873530706162,0.0966889080542949,-0.108489750907421,0.0328378359360173,-0.0391908053343975,-0.0842775148294503,-0.0800640288017248,-0.133646244503778,-0.030460678897692,0.104855621667265
