"y","MEblue","MEpink","MEpurple","MEblack","MEbrown","MEmagenta","MEgreen","MEred","MEturquoise","MEyellow","MEgrey"
"EigengeneSignificance"," 0.7836247"," 0.5672493"," 0.2966024"," 0.1914101","-0.5552782","-0.2600429","-0.2084719"," 0.0228584","-0.3448150","-0.2665440"," 0.1669928"," 0.5023617"
"EigengeneSignificancePvalue","1.205407e-10","3.945993e-05","4.532935e-02","2.025572e-01","6.191792e-05","8.092841e-02","1.644245e-01","8.801444e-01","1.893712e-02","7.335954e-02","2.673259e-01","3.743536e-04"
"ModuleEigengeneName","y","MEblue","MEpink","MEpurple","MEblack","MEbrown","MEmagenta","MEgreen","MEred","MEturquoise","MEyellow","MEgrey"
"WT6C","319.94703210"," -0.14485826"," -0.07028301"," -0.01816515","  0.36583470","  0.40330354","  0.88837387"," -0.07794883"," -0.08379323"," -0.12749377"," -0.28556202"," -0.39510499"
"WT6T","251.56335200"," -0.16797465"," -0.09371422"," -0.05497397","  0.29610744","  0.41525892","  0.22554546"," -0.08083980"," -0.03849403"," -0.14129903"," -0.36298272"," -0.46316295"
"WT7C","270.20552940"," -0.14758399"," -0.02069929"," -0.04372689","  0.36690928","  0.43233312","  0.28657192"," -0.06730138"," -0.07789677"," -0.13690043"," -0.28957743"," -0.45315092"
"WT7T","228.228823500"," -0.125804441"," -0.028073689"," -0.047614893","  0.538232796","  0.536372001","  0.125051845"," -0.080973499","  0.002890388"," -0.113555397"," -0.238647526"," -0.424621864"
"AS17C","363.067999500","  0.188904833"," -0.047490472","  0.069239514"," -0.126579771","  0.004189988"," -0.040671770"," -0.056617939"," -0.101867767"," -0.139609500"," -0.036955737","  0.100984056"
"AS17T","322.07883530","  0.16947081","  0.04359832","  0.25113216"," -0.13127619","  0.01233372"," -0.03276192"," -0.09106297"," -0.09437096"," -0.13904395"," -0.08277979","  0.13036654"
"AS19C"," 3.966931e+02"," 2.023535e-01","-7.410616e-04"," 1.377207e-02","-1.166114e-01"," 7.975091e-03","-3.894423e-02","-6.931249e-02","-9.511462e-02","-1.390092e-01"," 1.325361e-02"," 6.263348e-02"
"AS19T","424.65581680","  0.17667109","  0.37718192","  0.10176885"," -0.09420381","  0.04251738"," -0.02380675"," -0.04555328"," -0.06978923"," -0.13364454"," -0.04464932","  0.18110947"
"AS22C","427.95492740","  0.25371000","  0.02137483","  0.02893476"," -0.11218719","  0.01731978"," -0.04319744"," -0.06549457"," -0.09386621"," -0.13277676","  0.08355578","  0.11359448"
"AS22T","405.961844700","  0.115527697","  0.516838077","  0.041349719"," -0.122072066","  0.006714886"," -0.052967365"," -0.067762658"," -0.097675981"," -0.150765974"," -0.122445190","  0.037029245"
"AS25C","343.97485150","  0.21910576","  0.02891735"," -0.01801214"," -0.11577116","  0.02315381"," -0.04438265"," -0.08384506"," -0.09635959"," -0.13141251","  0.06829135","  0.11257558"
"AS25T","316.99047620","  0.18860923","  0.20122814","  0.01183012"," -0.10709220","  0.02995916"," -0.03610181"," -0.07374955"," -0.08770066"," -0.13369949","  0.01082685","  0.14767983"
"AS30C","331.05396480","  0.14861324"," -0.05284187","  0.01193547"," -0.14169774"," -0.01422932"," -0.06100773"," -0.09857815"," -0.11064222"," -0.14793752"," -0.07491416","  0.01492444"
"AS30T","306.685544500","  0.101436258","  0.291040380","  0.111824574"," -0.134257847","  0.004535476"," -0.036256487"," -0.091836983"," -0.087166316"," -0.150776177"," -0.146232837","  0.025964038"
"AS33C"," 3.940575e+02"," 1.892434e-01","-5.644670e-03"," 9.939226e-03","-1.236679e-01"," 1.945664e-03","-4.695510e-02","-8.688728e-02","-1.019848e-01","-1.415600e-01"," 8.656779e-04"," 3.329339e-02"
"AS33T"," 3.870083e+02"," 1.980475e-01"," 7.738274e-04"," 5.619524e-02","-1.208451e-01"," 7.479157e-03","-4.656397e-02","-8.106154e-02","-9.695499e-02","-1.362382e-01","-3.678386e-03"," 7.961783e-02"
"AS47C","314.203756600","  0.166040031"," -0.031811818"," -0.039163821"," -0.124407087","  0.005459027"," -0.052028119"," -0.085537978"," -0.105158861"," -0.142868083"," -0.010608579","  0.021425303"
"AS47T","314.80347700","  0.17414555","  0.09558735","  0.09668891"," -0.10848975","  0.03283784"," -0.03919081"," -0.08427751"," -0.08006403"," -0.13364624"," -0.03046068","  0.10485562"
"AS50C","335.871433100","  0.107459162","  0.047179962","  0.003535274"," -0.137158916"," -0.008924286"," -0.054281623"," -0.094242174"," -0.107329388"," -0.154144859"," -0.134461699"," -0.014931664"
"AS50T","279.62047240","  0.09758334","  0.34535811","  0.20856005"," -0.12177733","  0.01925919"," -0.03555304"," -0.08545412"," -0.07779494"," -0.14994700"," -0.15441637","  0.05164217"
"AS7C","403.76554170","  0.22481164","  0.05771112","  0.02106396"," -0.12072387","  0.01062413"," -0.04059719"," -0.08417737"," -0.09657862"," -0.13512600","  0.03242413","  0.09549367"
"AS7T","395.525691500","  0.149710939","  0.072506162","  0.071227835"," -0.124086969","  0.005831522"," -0.046022230"," -0.066602426"," -0.098011253"," -0.143677636"," -0.084702762","  0.055211731"
"AS8C","354.07415300","  0.07367559"," -0.06880201","  0.05737191"," -0.15153051"," -0.02552446"," -0.06249049"," -0.10618764"," -0.11606967"," -0.15899457"," -0.17246716"," -0.07550171"
"AS8T","346.84925440","  0.12639268","  0.33204646","  0.82902379"," -0.11553777","  0.02991302"," -0.03141624"," -0.05199198"," -0.06929070"," -0.14221033"," -0.13198449","  0.12926886"
"141C","330.106939200"," -0.131975029"," -0.099172510"," -0.090299121","  0.004375285"," -0.089987710"," -0.022485564"," -0.018866328"," -0.015883192","  0.115589109","  0.026775953"," -0.076228534"
"141T","290.47627720"," -0.12699189"," -0.07606820"," -0.07165148","  0.06217521"," -0.07243679"," -0.02746295"," -0.03965438","  0.37527335","  0.14633260","  0.05222680"," -0.01856827"
"142C","336.16655750"," -0.12609269"," -0.09745713"," -0.09771556","  0.01008826"," -0.09603341"," -0.02810571","  0.03373398"," -0.02097985","  0.13219765","  0.09927802"," -0.00679621"
"142T","284.05200600"," -0.10411288"," -0.06735239"," -0.08117756","  0.08089633"," -0.07369114"," -0.03636594","  0.05879009","  0.71338728","  0.18467767","  0.21827640","  0.07952269"
"143C","339.14802120"," -0.13367525"," -0.10970337"," -0.08394298","  0.01530557"," -0.09981979"," -0.02193036"," -0.01942081"," -0.02288151","  0.14427774","  0.03716110"," -0.01587575"
"143T","309.91254330"," -0.13577451"," -0.08819257"," -0.07692056","  0.05218375"," -0.08641804"," -0.05251404","  0.01197744","  0.26415688","  0.14150720","  0.03673237"," -0.04257899"
"144C","344.09522190"," -0.11240386"," -0.10018727"," -0.08769485","  0.04579412"," -0.09895885"," -0.03387655","  0.01824121"," -0.01880062","  0.16478021","  0.14817252","  0.04209692"
"144T","319.07466970"," -0.12915181"," -0.10167865"," -0.08154083","  0.04994485"," -0.09232286"," -0.05065248"," -0.02805764","  0.11337642","  0.14010727","  0.03412621"," -0.02109449"
"145C","324.152671800"," -0.127243828"," -0.099124298"," -0.097917835","  0.007851825"," -0.097338860"," -0.028648073","  0.025308188"," -0.034167117","  0.124602727","  0.067353527"," -0.023712128"
"145T","320.277523400"," -0.125441452"," -0.084838746"," -0.081163228","  0.053797205"," -0.087062145"," -0.046173272"," -0.047925915","  0.170074543","  0.137426398","  0.073159848"," -0.006876294"
"146C","339.46555430"," -0.08004449"," -0.08556065"," -0.08085894","  0.08728189"," -0.09245169"," -0.01435733"," -0.01664623","  0.01885852","  0.20777809","  0.36951819","  0.10992362"
"146T","301.68256840"," -0.11411161"," -0.10343251"," -0.06740257","  0.06086462"," -0.09199710"," -0.04067427"," -0.03870369","  0.10807144","  0.14842940","  0.12016868","  0.02643851"
"147C","336.37182360"," -0.13865054"," -0.10503388"," -0.09147472","  0.01086600"," -0.09741335"," -0.03618864","  0.03879273"," -0.02092083","  0.12778463","  0.01073071"," -0.02767120"
"147T","308.38779930"," -0.10279006"," -0.08543249"," -0.07145176","  0.06896774"," -0.09117033"," -0.02797449"," -0.04941528","  0.09675564","  0.17991147","  0.23682051","  0.04272857"
"148C","381.893969400"," -0.091652633"," -0.086961897"," -0.076092071","  0.057638988"," -0.087365750"," -0.001320471","  0.676165009","  0.022459919","  0.204388753","  0.302385954","  0.148162331"
