"A"	"gs"	"WUE"	"Ci"	"Tr"	"VPD"	"Tleaf"	"AL"	"AW"	"AW/AL"	"GCV"	"SCV"	"SA"	"SI"	"SD"	"DW"
"MEblue"	-0.424508301861487	-0.202648172459104	-0.147803521539134	0.567249303677176	-0.560676751691032	-0.670807478044073	-0.221288138460967	-0.711500358149154	-0.634110797459122	-0.153438881016904	-0.439477501404919	-0.386942100613127	-0.763022868875065	-0.326557459082729	0.80586150270569	-0.667089874649169
"MEpink"	-0.603388562617877	-0.40033472941759	0.0875629919329022	0.296602387708354	-0.553318262349714	-0.269236310247092	-0.305005262757777	-0.438893324304236	-0.537847320838085	-0.273349529610419	-0.217375400907152	-0.271166132941584	-0.538525325399795	-0.283857471078666	0.549967813232591	-0.551593202855775
"MEpurple"	-0.595584767532227	-0.429705880307065	0.170856348289535	0.191410101877497	-0.516730522465683	-0.109688844798295	-0.271872980018215	-0.370519279033092	-0.398708870519453	-0.120360232364858	-0.187183001946025	-0.392284669892099	-0.436624458293651	-0.299961855452899	0.561888880585519	-0.492414230935382
"MEblack"	0.1410027993967	-0.0189864357539128	0.272270964679392	-0.555278161501165	0.220129210514409	0.614612165360494	-0.289631938301207	0.933238298509103	0.365952994357644	-0.194192156202746	0.837709110910044	0.048634589469325	0.72207763189084	0.283079659546218	-0.705113620845902	0.225326710300644
"MEbrown"	-0.409018509358809	-0.397660478511612	0.349151670698452	-0.260042881730739	-0.411222737729717	0.193938364270853	-0.810860229114631	0.61962208700046	-0.200483073420207	-0.51166556275152	0.825832734987621	-0.404776025684553	0.224343725391276	-0.027943088003071	-0.163829275622847	-0.45338297127228
"MEmagenta"	-0.0241686930135465	-0.132516802740136	0.208780461809037	-0.208471946507526	-0.0444943044795549	0.229837041977185	-0.551339814443043	0.717945018794723	0.120604408773605	-0.287694388250939	0.813338808075694	-0.20942992289352	0.496078794536469	-0.0581553039210782	-0.408132262832151	-0.0987999707394997
"MEgreen"	0.46535743069588	0.303887489143388	-0.012091082131864	0.0228583976911482	0.428465509927894	0.203469824340011	0.373124828542254	0.172485664586246	0.429649468230148	0.259413123054701	-0.0680448660806666	0.17466302092039	0.364314349599241	-0.189426992621859	-0.517930403441249	0.420054104759108
"MEred"	0.154826354402288	-0.0649417158097671	0.239868044960124	-0.344815023755991	0.237822072223458	0.527294389166062	0.437839567487116	0.148947902742524	0.23003882642972	0.117337997966009	-0.0540838449005774	0.51571945161308	0.177264485123536	0.256474424593004	-0.298531228121201	0.428896410199523
"MEturquoise"	0.655234022823571	0.474227011033279	-0.133216798067552	-0.266544018780135	0.730305927370004	0.394204695947604	0.675893454817824	0.232168099910507	0.649298339501802	0.434755234624608	-0.114356718742069	0.525813642762751	0.503350159633961	0.325575957908748	-0.552033498122219	0.791575929041482
"MEyellow"	0.613576670950295	0.582825526726304	-0.406261530068426	0.16699284056842	0.574989544872492	-0.0850744455614005	0.713111611961657	-0.303013253242543	0.387306771810271	0.529146455914018	-0.505492035998605	0.348253354850936	0.0554464634173384	0.189864847603177	-0.0343481434509976	0.493448503295324
"MEgrey"	0.102878006715018	0.208282683986454	-0.324862490886299	0.502361678877447	0.0409550273977266	-0.464256384671952	0.571191406059291	-0.866490869659583	-0.142378998843617	0.35161769225459	-0.904145503513944	0.0720164348311481	-0.55916449202869	-0.170936063390821	0.534376661197276	-0.0146053037804496
