"MEgreen"	"MEyellow"	"MEpink"	"MEbrown"	"MEturquoise"	"MEmagenta"	"MEred"	"MEblue"	"MEblack"	"MEgrey"
"114C"	-0.014669638044482	-0.0897187347617801	-0.0506866154920164	0.13972393893852	-0.0834668866491153	-0.0639994955221338	0.0645212497389429	0.229991845518107	0.0954193358482712	0.0331609294358614
"114T"	-0.0525787178045088	-0.109503123745557	-0.0587359975659626	0.0822204124954067	-0.0856930090168232	-0.0339530537301621	0.193035888953712	0.145446290508692	-0.0446573415493119	0.069129396964496
"115C"	-0.0390373161356132	-0.0993028778002391	-0.0740691959911126	0.0382387927243393	-0.0953731218246809	-0.0764588148310276	-0.00837258707797528	0.152640791430028	0.17031131160788	0.0381972176038307
"115T"	-0.0427715604939504	-0.101409145160101	-0.0282016564305467	0.0151773974598852	-0.0968573731380028	-0.0714277447253575	0.181590854834024	0.138233172491225	0.0317379048534515	0.375547070104792
"118C"	-0.0434930279638218	-0.0878664548906396	-0.0635330419306643	0.0952253820513715	-0.0823965039720357	-0.0785883753594102	-0.00933199860078298	0.183052904282377	-0.00763272448969125	-0.096322787981194
"118T"	-0.0530517599514554	-0.0952576931822283	-0.058655291895322	0.0525233216771455	-0.0847844185227799	-0.0740951153019894	0.0505989549119294	0.153992993532151	-0.0151955524721945	0.157409799846617
"119C"	-0.0417915831409938	-0.0954835260311094	-0.070777055687555	0.0840215518943056	-0.087619684477135	-0.0680626506724046	-0.00672727494141033	0.162326101356915	0.157525147948101	-0.0157736349195076
"119T"	-0.0494796333180298	-0.0925661162453628	-0.0527880092290493	0.0999116857254752	-0.0800816024809415	-0.0657708268487784	0.0582672865465563	0.183686213833598	0.00447095359317812	0.0709344610998054
"120C"	-0.0497080727041459	-0.0984752931244403	-0.0769751693217728	0.0386357615237724	-0.0972076640624262	-0.0713299657661534	0.0017575554189983	0.157543279821257	0.0904797508012403	0.157890195769177
"120T"	-0.0710523077747876	-0.104345482857419	-0.0594660437913882	-0.0541900294608532	-0.106849741501257	-0.0660742785905702	0.037666655603797	0.0930729527085565	-0.0306034591016771	0.0904345892244732
"121C"	0.0344728026448109	-0.0960186827962833	-0.0464283263651182	-0.0343859751811765	-0.110189758369273	-0.0530560075914058	0.0571785083628245	0.136031093165793	0.731083792049037	0.167737686590903
"121T"	-0.00640164491866355	-0.0934528795427304	0.0087587622419314	-0.00291358940846522	-0.102428439657595	-0.0553913058243905	0.404360710713205	0.129611198927587	0.0717449192914458	0.268306323383216
"122C"	-0.0381252976615319	-0.0944035694812284	-0.0688492946646234	0.0923000373204883	-0.0893101689074728	-0.0582656580968801	-0.00132616770333328	0.190051768506342	0.246538232363108	0.085866713229307
"122T"	0.0064240293248012	-0.0963017938015846	0.0325608080921973	-0.0203222241810772	-0.104876933319138	-0.0789630112402696	0.695774052217345	0.130160493592444	0.0945608601398306	0.217641024709071
"123C"	-0.00479136474412394	-0.0706767701243991	-0.0632719484061253	0.237870733358529	-0.0536450452650892	-0.0647958664410466	-0.00719600594064262	0.254049151036463	0.0255884540174937	-0.214559548276389
"123T"	-0.0266255544158244	-0.0949005652575533	-0.0313790693209673	0.0674677775825169	-0.0822326043044851	-0.071568381457719	0.182803938111836	0.155238555590602	-0.021071392633175	-0.087102652000765
"124C"	-0.01927772264658	-0.084144394453523	-0.0733411412495685	0.182593437708121	-0.0709476430851946	-0.0730430629101374	-0.0319952957675112	0.229095189785836	0.395832948495422	-0.0490723772784567
"124T"	-0.0504722203550432	-0.0915800813209244	-0.0554384158561829	0.0548524132628753	-0.0876648990072163	-0.0808888121628518	0.102149031308063	0.153954309136117	-0.012744577957188	-0.000106199914193625
"126C"	-0.0677224264544201	-0.0959447670741063	-0.0779003899033561	0.0230841367737371	-0.0979539070558529	-0.0759032590239879	-0.0309028072215225	0.121250513749625	0.000155710261204971	-0.0368088484708199
"126T"	-0.0718002671205277	-0.105696150396986	-0.0462885224347636	-0.021115356645813	-0.100660040172945	-0.0780633927002411	0.106773217945922	0.100885541299539	-0.0588231133822009	0.11041259668251
"35C"	-0.0483030418282348	-0.100731123309686	-0.0773107084635084	0.103406761382132	-0.0861559394414459	-0.0724976845861873	-0.00478562381191579	0.185752445875051	0.125187390519254	0.185058607590018
"35T"	-0.038596986707894	-0.0977239725429437	-0.0390888166750033	0.0286993338704553	-0.0921857517326674	-0.0683103191791775	0.187717242867135	0.119476462616909	-0.0201528800929975	0.418465132288525
"ES11C"	-0.0242663660096372	-0.0552625020574225	-0.05410520308576	0.131387536153299	0.211703814790364	0.00983913806298423	-0.0712142015574023	-0.0843494485551157	-0.0705985449183668	-0.0685231283291101
"ES11T"	-0.015344655636041	-0.0553216964051939	-0.0483773198902651	0.0797504249116165	0.183725413342727	0.333647489593955	-0.0690699223416508	-0.0911830674763443	-0.0724427033512436	0.0232351515500548
"ES13C"	-0.0466863647238719	-0.0666640114762266	-0.0621886651464628	0.040779725693186	0.150053458415959	-0.00681624597344616	-0.0814386835014238	-0.100540900154296	-0.0706210002060415	-0.0223511112895242
"ES13T"	-0.0397783260949294	-0.0681121885687469	-0.0571854437193193	0.0310396405372868	0.147438090030299	0.271684783850945	-0.0760609161994355	-0.10493713109832	-0.0808768545068889	-0.00932411412086789
"ES14C"	-0.00426635141854387	-0.046391343981168	-0.0423184768046415	0.171903280626622	0.245584670998203	0.132326082768761	-0.0670874158158761	-0.068463716103481	-0.0353056281180403	0.0359854810219242
"ES14T"	-0.024856458282131	-0.0636737218701427	-0.0487190784600813	0.0298677687709477	0.156364518522654	0.597273105380128	-0.0583766355324785	-0.103201153967195	-0.0748900146151098	0.00580201299202712
"ES19C"	-0.0190801535514621	-0.0531795609200553	-0.0568603216126147	0.169040155163824	0.237959075451136	-0.017777069205742	-0.0714042847624285	-0.0699391900173361	-0.0497943311483272	0.0237692600763481
"ES19T"	0.00122710792091967	-0.0475416649579372	-0.0371995911209036	0.173845510819575	0.250202930517302	0.110905853479	-0.0588678741392241	-0.0650170782862115	-0.0479167055564995	0.00370797039978338
"ES1C"	-0.0270724553343053	-0.0609500128395398	-0.0599839220584939	0.0700753611544909	0.174012588954837	-0.0241395477546742	-0.0783389847723558	-0.0928679694887338	-0.0567830239590513	0.0190044711518739
"ES1T"	-0.0103505138249747	-0.0633728126627871	-0.0479188876065189	0.0926379394359386	0.192622937695578	0.311874693434682	-0.0660182284734281	-0.0878428002387414	-0.0603074564288475	0.0427594980561776
"ES21C"	-0.0249847059134923	-0.0578938697033704	-0.0534459731637073	0.15350512729181	0.234072760360376	0.000529401135140541	-0.0743611905663859	-0.07479224532802	-0.0575614635934672	-0.0280655064353686
"ES21T"	-0.0300752833019409	-0.0671676569643578	-0.0504162365168149	0.051531979456046	0.163461682409171	0.197607116259981	-0.0655133469228835	-0.100670908622721	-0.0757476721717953	0.0229778400484556
"ES23C"	-0.0552761728017838	-0.0730937397824321	-0.0654629777985559	0.0229821432443886	0.13522525270448	-0.0354488998496658	-0.0875491964634715	-0.109001725381803	-0.0739904470762161	-0.0427925650954001
"ES23T"	-0.0164287960109301	-0.0611026182744068	-0.0122297216534874	0.0493667698885786	0.16019623705035	0.194141259473925	-0.0317284668746609	-0.0945304872391677	-0.0717291091786846	0.0531609676072942
"ES6C"	-0.0232789925172296	-0.0551682312853731	-0.0473741378767011	0.146199327207082	0.234801689498103	0.0167102244419635	-0.0676091059318471	-0.0764482871399223	-0.0619331383179872	-0.00045266872208668
"ES6T"	-0.0263886833437992	-0.0582087527785203	-0.053959265706763	0.105551862061857	0.198628752547817	0.135666932264548	-0.0702026589125903	-0.0831418860777066	-0.0668360802656299	-0.0300689868813877
"ES9C"	-0.0285621342035359	-0.0624614369990846	-0.0616929141737229	0.0666739667301688	0.170972352115993	-0.00161339105841594	-0.0839017073319623	-0.0967197923330837	-0.036833393756394	-0.0127777172272353
"ES9T"	-0.0199106761273721	-0.0640988420548217	-0.0386226001881753	0.049425468506219	0.165382868767035	0.225291420108668	-0.0532731431125745	-0.099311282007315	-0.0624795948259114	0.0530098506338409
"WS10C"	0.224332850400529	0.232882319789189	0.0531058031409326	-0.179182781002333	-0.088563271708977	-0.00657352885425884	-0.0647343241939863	-0.119189040773701	-0.0485599017257351	-0.143723889300669
"WS10T"	0.939925209255117	0.181919551800902	0.178301862256605	-0.187382208660336	-0.0906186677583263	0.0103502389443891	0.0060278364301597	-0.113390577295875	0.00370311842379421	-0.00174310626671975
"WS1C"	-0.0144336042631317	0.200813550256774	-0.00411002638121543	-0.234608310393583	-0.114099767706317	-0.0862276906263559	-0.101684901956923	-0.147817786026454	-0.0642302313197378	-0.154271069821901
"WS1T"	0.0233002248527256	0.203970917963804	0.199616833752737	-0.198497760444621	-0.0947609257374764	-0.0829625511371277	-0.0673366250945332	-0.129421711429298	-0.0755290280820849	-0.150012912195804
"WS3C"	-0.00263946930970682	0.248651640667124	0.00431306948407095	-0.221749198005554	-0.10755197317766	-0.0795058740434414	-0.097474358930354	-0.14275457743439	-0.0686557696277617	-0.150581728366352
"WS3T"	0.0139073128936699	0.205469532830986	0.0267224144337941	-0.226975721520109	-0.109883824592565	-0.0512414179414143	-0.0987679932255423	-0.145466767319061	-0.0780764855494537	-0.135709697883194
"WS4C"	-0.0579794068908191	0.249647895372806	-0.0528748958045552	-0.200880970568569	-0.101115906418213	-0.0884025760418397	-0.112794882610908	-0.137261494972139	-0.0846986651691892	-0.229079266213454
"WS4T"	0.00923070566705121	0.233305877314248	0.359796593817767	-0.197977569850227	-0.0970013253471847	-0.0865556093533728	-0.0461436873172124	-0.132715921734722	-0.0745902876431765	-0.157075092028264
"WS6C"	0.00758710357235564	0.308594542777241	0.00896509714926148	-0.200692458795709	-0.0997378182352102	-0.0848888581695008	-0.0931041283551639	-0.134709768636553	-0.0670739225714106	-0.192255934268227
"WS6T"	-0.0206985216947879	0.211034871663253	0.203755238283429	-0.238349636734511	-0.115507750304796	-0.0874376256027949	-0.058087823324163	-0.150650465499897	-0.0782853215758246	-0.115250864112015
"WS8C"	-0.015384389957413	0.254856540623005	-0.018039440177254	-0.220989645862386	-0.109182239890032	-0.0854771435504129	-0.101885160331765	-0.142746785236589	-0.0697713550147708	-0.178848490010937
"WS8T"	0.0471606256146802	0.230948649068261	0.700822891935197	-0.194783852831642	-0.0930454771374727	-0.0878264721704159	-0.0133470555485817	-0.128692248698144	-0.067711425273344	-0.117925486392147
"WS9C"	0.0349510377484208	0.202469382841919	-0.00176192101239316	-0.221013357060566	-0.108154382511858	-0.0577910141770599	-0.0991745389016113	-0.141594604140014	-0.0582237559873925	-0.179876239777792
"WS9T"	0.0349736155013898	0.210602588512901	0.371312356045092	-0.215506216794483	-0.104604627682724	-0.0766551411268484	-0.0430337798965319	-0.136172450052862	-0.0714054769998934	-0.109148624480605
