nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC5AG047770	NA	turquoise
TRIDC7AG036210	NA	turquoise
TRIDC3AG017120	NA	blue
TRIDC2BG014800	NA	blue
TRIDC2AG035670	NA	blue
TRIDC2BG038790	NA	turquoise
TRIDC3AG075260	NA	turquoise
TRIDC1BG068400	NA	blue
TRIDC4BG013910	NA	turquoise
TRIDC2AG028560	NA	brown
TRIDC4BG021940	NA	turquoise
TRIDC5BG070520	NA	turquoise
TRIDC1BG070890	NA	turquoise
TRIDC4BG017010	NA	blue
TRIDC3BG083350	NA	blue
TRIDC7AG029070	NA	turquoise
TRIDC2AG047330	NA	turquoise
TRIDC3BG038850	NA	turquoise
TRIDC3BG025030	NA	blue
TRIDC1AG057700	NA	turquoise
TRIDC4AG070460	NA	turquoise
TRIDC2BG039350	NA	turquoise
TRIDC2AG023870	NA	turquoise
TRIDC5BG042550	NA	turquoise
TRIDC5AG002350	NA	turquoise
TRIDC2BG054610	NA	blue
TRIDC3BG012770	NA	turquoise
TRIDC6BG012730	NA	turquoise
TRIDC3BG061260	NA	blue
TRIDC4BG022240	NA	blue
TRIDC7BG023490	NA	blue
TRIDC7BG054020	NA	turquoise
TRIDC5AG059960	NA	turquoise
TRIDC5BG035690	NA	blue
TRIDC7BG073240	NA	turquoise
TRIDC3BG041880	NA	blue
TRIDC3AG074310	NA	blue
TRIDC5AG068830	NA	turquoise
TRIDC3AG026770	NA	turquoise
TRIDC2AG042920	NA	turquoise
TRIDC6BG048030	NA	turquoise
TRIDC6AG039020	NA	turquoise
TRIDC7AG065720	NA	blue
TRIDC2AG037440	NA	blue
TRIDC2BG040710	NA	brown
TRIDC5BG065490	NA	blue
TRIDC5BG052920	NA	turquoise
TRIDC4AG038540	NA	blue
TRIDC6BG067850	NA	turquoise
TRIDC6AG055520	NA	turquoise
TRIDC2BG045140	NA	turquoise
TRIDC1BG062180	NA	blue
TRIDC3AG024350	NA	blue
TRIDC7BG026840	NA	blue
TRIDC3BG053370	NA	blue
TRIDC7BG015290	NA	blue
TRIDC3BG059300	NA	turquoise
TRIDC5BG075080	NA	brown
TRIDC2BG039580	NA	turquoise
TRIDC7AG043680	NA	turquoise
TRIDC4BG028430	NA	blue
TRIDC2BG039030	NA	turquoise
TRIDC4BG015120	NA	turquoise
TRIDC4AG027150	NA	blue
TRIDC2AG019600	NA	turquoise
TRIDC7AG052730	NA	turquoise
TRIDC6AG024880	NA	blue
TRIDC2BG032790	NA	blue
TRIDC3AG022070	NA	turquoise
TRIDC7AG073560	NA	turquoise
TRIDC7BG025210	NA	blue
TRIDC5AG077090	NA	blue
TRIDC6AG010890	NA	blue
TRIDC3BG026230	NA	blue
TRIDC5AG057060	NA	blue
TRIDC3BG040330	NA	turquoise
TRIDC4AG038880	NA	blue
TRIDC6AG038200	NA	turquoise
TRIDC1AG037640	NA	turquoise
TRIDC2BG048280	NA	blue
TRIDC7AG047050	NA	blue
TRIDC2BG038440	NA	blue
TRIDC4AG012650	NA	turquoise
TRIDC4BG052850	NA	turquoise
TRIDC3BG035000	NA	turquoise
TRIDC4BG060740	NA	turquoise
TRIDC2AG066330	NA	brown
TRIDC1AG044300	NA	brown
TRIDC2BG082450	NA	turquoise
TRIDC1BG029200	NA	blue
TRIDC1AG016470	NA	blue
TRIDC3BG027260	NA	turquoise
TRIDC3BG060830	NA	turquoise
TRIDC5AG036480	NA	turquoise
TRIDC5BG033070	NA	turquoise
TRIDC3BG057790	NA	blue
TRIDC3BG063600	NA	turquoise
TRIDC4AG016540	NA	turquoise
TRIDC3BG018680	NA	turquoise
TRIDC5BG070780	NA	turquoise
TRIDC5AG037770	NA	blue
TRIDC5AG067120	NA	blue
TRIDC6BG026340	NA	blue
TRIDC5AG013480	NA	turquoise
TRIDC6BG048590	NA	blue
TRIDC6BG066440	NA	turquoise
TRIDC2AG026670	NA	turquoise
TRIDC7AG004740	NA	blue
TRIDC4BG033910	NA	blue
TRIDC1BG014180	NA	blue
TRIDC3BG087220	NA	blue
TRIDC2AG037250	NA	blue
TRIDC5BG071900	NA	blue
TRIDC1BG007360	NA	blue
TRIDC1AG017300	NA	turquoise
TRIDC1AG012280	NA	turquoise
TRIDC1BG062150	NA	turquoise
TRIDC2AG053510	NA	turquoise
TRIDC4AG012450	NA	turquoise
TRIDC3BG040800	NA	blue
TRIDC3BG034150	NA	blue
TRIDC2BG020140	NA	brown
TRIDC5BG082810	NA	turquoise
TRIDC3BG045410	NA	blue
TRIDC3AG058000	NA	blue
TRIDC5AG022620	NA	blue
TRIDC2AG016520	NA	turquoise
TRIDC1BG054950	NA	blue
TRIDC2AG030120	NA	turquoise
TRIDC6BG004360	NA	turquoise
TRIDC2AG071790	NA	turquoise
TRIDC5BG071190	NA	brown
TRIDC4AG041950	NA	turquoise
TRIDC2AG072020	NA	turquoise
TRIDC5AG016980	NA	blue
