"MM.pink"	"MM.green"	"MM.blue"	"MM.red"	"MM.turquoise"	"MM.yellow"	"MM.brown"	"MM.black"	"MM.grey"
"TRIDC5AG047770"	-0.223106340345522	-0.0375226390255053	0.222286546442961	0.0252824749119203	0.624461844980163	-0.396311816451606	-0.617030370179662	-0.49567397120752	-0.286172822857855
"TRIDC7AG036210"	-0.358969197975284	-0.273628151000495	-0.373817235188344	-0.259972859486008	0.774937989424686	-0.197859348391508	-0.0864565730621116	-0.258865287704008	-0.169349748338932
"TRIDC3AG017120"	0.439745679121047	0.164495375162816	0.482588398830295	0.373389714450912	0.360466844501179	-0.2463018782388	-0.70647212056605	-0.42839301305045	-0.342890433366288
"TRIDC2BG014800"	0.502912577719573	0.500137221341236	0.844221138732893	0.542143436325666	-0.59162357886646	-0.0915260285676737	-0.564556121644454	-0.17200534018714	-0.102492316915138
"TRIDC2AG035670"	-0.426272071340241	-0.527743700644251	-0.847829973808799	-0.525607946730389	0.63086088696862	-0.0635978168107491	0.535109974964273	0.0416163935124722	-0.0498444901241077
"TRIDC2BG038790"	-0.286757664566859	-0.265357539977846	-0.203611780768613	-0.175667278624916	0.910478667889804	-0.259191887095521	-0.308373134868521	-0.388332874727255	-0.246993662672559
"TRIDC3AG075260"	-0.00287398940946949	-0.0433352392617361	0.166977945918408	0.00634297687350357	0.81257597118287	-0.244720372902103	-0.557366436447974	-0.44932039275816	-0.216101140023074
"TRIDC1BG068400"	-0.407970383346779	-0.492394773927117	-0.869643391111601	-0.550284739794862	0.0690928295215522	-0.0146131421351624	0.805998828156275	0.361749196577853	0.107047936063724
"TRIDC4BG013910"	-0.216151684784478	-0.200779479339456	-0.129897825629413	-0.0860449478237787	0.737229314552657	-0.266265977009876	-0.351830205531106	-0.371473186722389	-0.35701620938977
"TRIDC2AG028560"	0.0923458282247558	0.246292329946445	0.729113314946364	0.346427895347619	0.116470959884724	-0.326828543003143	-0.865831427460468	-0.497327472689517	-0.198541592830085
"TRIDC4BG021940"	0.192001118136006	0.161776030632034	0.407846091385364	0.277292159230104	-0.848612122979499	-0.125983440170946	0.0364192100198382	-0.00949744789590191	0.105031982406183
