	A	gs	WUE	Ci	Tr	VPD	Tleaf	AL	AW	AW/AL	GCV	SCV	SA	SI	SD	DW
114C	11.75877307	0.289772498	40.57932742	324.6486593	2.752090027	1.233968873	25.99327374	18.7371725	2.509790344	0.133947123	1576.526267	4277.283073	36.93442825	18.6195286	83.29136667	5.805
114T	5.087673953	0.064950781	78.33122017	273.5765257	0.80605954	1.267971881	25.68993187	23.19033568	2.202226978	0.094963135	1678.770061	5401.359284	40.1105849	23.6563739	96.3056375	3.1625
115C	11.95594227	0.330976861	36.12319682	366.3993963	3.03193337	1.022079656	25.94541867	20.62511686	3.930782943	0.190582336	1340.788624	5940.386727	63.67447342	15.84995294	70.79776	5.1175
115T	5.96295885	0.072352409	82.41548461	286.7426591	0.91989398	1.277842352	25.83545494	19.85328382	2.1926785	0.110444122	1524.635173	10691.38874	34.18984964	22.5386288	79.12688	3.2875
118C	13.37014937	0.295268054	45.28139492	297.6226718	2.583984326	0.999387279	23.92378916	21.47004	2.194090759	0.102193138	1793.872825	5455.75566	36.99792121	15.61477223	57.262875	6.916666667
118T	2.200610529	0.040964682	53.71970187	324.6671434	0.509515219	1.241372982	23.97736497	19.84101459	1.136336108	0.057272077	2030.009038	9478.246515	17.70763514	18.6671588	62.46855	4.926666667
119C	13.35562101	0.271092464	49.26592506	324.7068389	2.536086253	1.017484141	23.97448699	18.43946484	2.436595677	0.13214026	1231.816743	2972.261619	35.28756274	23.63636365	104.11425	4.0725
119T	7.800862401	0.085327267	91.42285523	240.5020223	1.177465791	1.195509696	24.28867302	19.4110616	1.52368732	0.078495826	1234.417063	5040.610306	23.22924115	21.1144506	86.76186667	3.875
120C	15.40438507	0.315426953	48.83661623	321.8352086	3.016684245	1.024672417	25.26381458	22.37838529	2.678200853	0.11967802	2023.509842	6755.086018	47.07190475	17.33119005	62.46860833	5.33
120T	5.981989482	0.172785256	34.62094874	323.5825722	2.240464367	1.176633294	24.90612539	20.38951853	1.954102171	0.095838564	1222.667886	9014.04077	31.29277801	20.6582633	69.4095	3.0875
121C	12.15307323	0.31922712	38.07030309	335.7487054	3.323050254	1.013676837	24.09133233	18.69083886	2.398744457	0.128337977	2403.377234	4691.008948	35.21297017	16.93254983	66.63314	4.45
121T	8.692717267	0.153550122	56.61159458	324.8508033	1.578469915	1.098955972	24.14689567	18.02020893	1.680343164	0.093247707	3036.948253	9478.469673	23.78196233	19.0251338	55.52760833	2.88
122C	14.73306458	0.41950758	35.11990078	343.7156441	4.115498368	0.979617346	25.20111322	18.90530658	1.754774882	0.092819171	2598.388448	5420.010841	26.05523624	24.80880231	90.86333636	5.005
122T	8.542620954	0.173814183	49.14800846	329.2665295	2.032725676	1.256190825	25.08052335	21.40639118	1.186778753	0.055440394	2116.794545	6915.843968	19.95276563	22.8472405	85.1844	3.485
123C	12.42384896	0.325506903	38.16769739	335.4289793	3.316286016	1.268849626	24.9792312	17.88172286	2.6356462	0.147393303	1456.182029	4775.261122	37.0157329	20.88658696	85.37371	4.7525
123T	10.03177382	0.141716751	70.78749503	312.5428762	1.739805557	1.242161472	24.63854218	18.79085943	1.725899879	0.091847842	997.9336835	4586.354392	25.47135938	20.9020905	89.53826	3.1125
124C	13.2367093	0.367863774	35.98263875	351.7358472	3.623519907	1.101978565	24.15879765	17.61821971	2.841937071	0.161306711	2460.49617	4697.185695	39.32478529	18.85617586	76.35048889	5.6575
124T	8.338205832	0.123925304	67.28412637	299.8401437	1.480182379	1.306092745	23.78802141	17.01776371	1.096430497	0.064428589	1880.874443	5136.17013	14.65458342	15.8316881	67.674325	3.18
