"y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"EigengeneSignificance"," 0.92699695","-0.09485752","-0.12167426","-0.48989431","-0.26186795","-0.65489173"," 0.36843106"," 0.85399391"," 0.54942235"," 0.24959737"
"EigengeneSignificancePvalue","8.457411e-24","4.950568e-01","3.807795e-01","1.699624e-04","5.577002e-02","7.769453e-08","6.121343e-03","2.248639e-16","1.688033e-05","6.873334e-02"
"ModuleEigengeneName","y","MEpink","MEgreen","MEblue","MEred","MEturquoise","MEyellow","MEbrown","MEblack","MEgrey"
"114C","1576.52626700","   0.20899146","   0.02940445","   0.22608731","   0.01941629","  -0.06983321","  -0.00821780","  -0.11496785","  -0.03587751","  -0.02334640"
"114T"," 1.678770e+03","-1.127162e-03"," 1.585637e-01"," 1.461719e-01","-4.169285e-02","-7.461963e-02","-4.802688e-02","-1.283351e-01","-4.722175e-02","-1.293780e-01"
"115C","1340.78862400","   0.07258019","  -0.01436434","   0.14711795","  -0.02263263","  -0.08861882","  -0.04086951","  -0.11592093","  -0.06680421","   0.01757893"
"115T","1524.63517300","   0.03232044","   0.19168030","   0.12981775","   0.48144997","  -0.09030506","  -0.04073442","  -0.12850361","  -0.02513930","  -0.17041404"
"118C","1793.87282500","   0.01282678","  -0.04477708","   0.17894412","  -0.04586913","  -0.07065509","  -0.02740902","  -0.10866176","  -0.05715352","   0.06806873"
"118T","2030.00903800","   0.01289083","   0.02757098","   0.14810179","   0.06438719","  -0.07554905","  -0.04492559","  -0.12577934","  -0.03574670","  -0.11606797"
"119C","1231.81674300","   0.03102434","  -0.02061959","   0.16330233","   0.02516848","  -0.07623816","  -0.03753597","  -0.10266772","  -0.07549253","   0.06839114"
"119T"," 1.234417e+03"," 7.499603e-03"," 3.205175e-02"," 1.799261e-01"," 1.056643e-01","-6.762057e-02","-4.036199e-02","-1.226500e-01","-3.427225e-02","-3.956664e-02"
"120C","2023.50984200","   0.03044653","  -0.01215858","   0.15125687","   0.19043536","  -0.08860497","  -0.04584194","  -0.11786802","  -0.08776328","  -0.08233636"
"120T","1222.66788600","  -0.01109475","   0.01649885","   0.08010201","  -0.04179222","  -0.10492941","  -0.06583865","  -0.12748864","  -0.04827287","  -0.10343112"
"121C","2403.37723400","   0.90859295","   0.04599796","   0.12636654","   0.16389592","  -0.10654035","   0.03657928","  -0.11231278","  -0.03988277","  -0.09608237"
"121T"," 3.036948e+03"," 1.060008e-01"," 4.208031e-01"," 1.208233e-01"," 2.334033e-01","-9.744363e-02","-2.716477e-03","-1.183018e-01"," 1.854095e-02","-1.387482e-01"
"122C","2598.38844800","   0.04971512","  -0.02669678","   0.18878687","   0.11256389","  -0.07797869","  -0.03139221","  -0.11483719","  -0.07263179","  -0.01908737"
"122T","2116.79454500","   0.12726490","   0.71987329","   0.12086465","   0.09218511","  -0.10097403","   0.02568204","  -0.12598613","   0.05103688","  -0.12300772"
"123C"," 1.456182e+03","-3.228079e-02","-3.650371e-02"," 2.602701e-01"," 1.690171e-05","-3.305584e-02"," 1.215903e-02","-9.076266e-02","-6.222665e-02"," 6.724713e-01"
"123T","997.93368350"," -0.01041653","  0.16657041","  0.15210909"," -0.05054495"," -0.07192048"," -0.01913559"," -0.11708406"," -0.02147214","  0.46538233"
"124C"," 2.460496e+03"," 4.692323e-02","-5.307215e-02"," 2.377710e-01","-9.448585e-03","-5.345259e-02","-1.635617e-02","-9.723393e-02","-7.657711e-02"," 7.926607e-02"
"124T"," 1.880874e+03"," 3.702643e-03"," 7.181809e-02"," 1.490711e-01","-3.910413e-02","-7.839584e-02","-4.287648e-02","-1.128257e-01","-4.900007e-02","-9.361870e-03"
"126C","1516.95030300","  -0.01207221","  -0.05191948","   0.11768473","  -0.07168290","  -0.09026153","  -0.06446978","  -0.10862437","  -0.08646015","  -0.03901342"
"126T","914.59222340"," -0.02684308","  0.08671804","  0.09260464"," -0.05675501"," -0.09626629"," -0.06777635"," -0.12972151"," -0.03616438"," -0.19298780"
"35C","1071.00899100","   0.02229872","  -0.01203707","   0.18418518","   0.39358542","  -0.07386345","  -0.04574585","  -0.11671804","  -0.08091119","  -0.03630045"
"35T","866.616949700"," -0.004737867","  0.214077156","  0.114557885","  0.528794902"," -0.084781852"," -0.033806274"," -0.120033396"," -0.031971823"," -0.144481102"
"ES11C","733.91290000"," -0.05679409"," -0.07739949"," -0.06155727"," -0.07478827","  0.21055647"," -0.02362174"," -0.02177433"," -0.04824919"," -0.01298404"
"ES11T","542.059169700"," -0.048059627"," -0.063384259"," -0.073324662"," -0.006985007","  0.183328003"," -0.018525608"," -0.027972771"," -0.037150414"," -0.063558855"
"ES13C","400.61640000"," -0.04909806"," -0.07838295"," -0.08418096"," -0.05898926","  0.14673437"," -0.04644136"," -0.03426142"," -0.06093299"," -0.04313322"
