"rownames.datTraits.","Trait.gs","Trait.WUE","Trait.Ci","Trait.Tr","Trait.VPD","Trait.Tleaf","Trait.AL","Trait.AW","Trait.AW/AL","MEgrey"
"114C",5.805,0.208991460239844,0.029404449762855,0.226087311891458,0.0194162945839107,-0.0698332124748076,-0.00821779956151136,-0.11496784580005,-0.0358775112020083,-0.0233463954154265
"114T",3.1625,-0.00112716234888888,0.15856370055055,0.14617194118077,-0.0416928538727274,-0.0746196316652344,-0.0480268771020264,-0.12833508949459,-0.0472217502970074,-0.12937803622448
"115C",5.1175,0.0725801884946122,-0.0143643352597069,0.147117947624097,-0.0226326267325621,-0.0886188196055915,-0.040869511470596,-0.115920929638398,-0.0668042100440884,0.0175789265522388
"115T",3.2875,0.0323204447543504,0.191680302820697,0.129817750763367,0.48144997214364,-0.0903050571328719,-0.0407344247988101,-0.128503606640471,-0.0251392954288662,-0.170414040428538
"118C",6.916666667,0.0128267808127408,-0.0447770835965609,0.178944123302116,-0.0458691275769971,-0.070655090734521,-0.0274090194119937,-0.108661761481107,-0.0571535202386633,0.06806873069846
"118T",4.926666667,0.012890827530755,0.0275709787990221,0.148101794197627,0.064387188147319,-0.0755490534879397,-0.0449255901630017,-0.125779337398766,-0.0357467049867513,-0.116067970093137
"119C",4.0725,0.0310243393305935,-0.0206195920196721,0.163302329232908,0.0251684798673811,-0.0762381584890988,-0.0375359665279107,-0.102667716909186,-0.0754925268037268,0.0683911387017351
"119T",3.875,0.00749960288613293,0.0320517492305603,0.179926090534586,0.105664298693112,-0.067620569653546,-0.0403619872213222,-0.122650031449473,-0.0342722511754645,-0.0395666370017082
"120C",5.33,0.0304465292108916,-0.012158575597595,0.15125687422379,0.190435360114766,-0.0886049653705538,-0.0458419399213538,-0.117868018122032,-0.0877632816339233,-0.0823363570251928
"120T",3.0875,-0.0110947464911654,0.0164988460547741,0.0801020076976165,-0.0417922175423938,-0.104929406970004,-0.0658386545581639,-0.1274886433874,-0.0482728688474608,-0.103431118388446
"121C",4.45,0.908592947429412,0.0459979611715625,0.126366540014182,0.163895922350779,-0.106540346518997,0.036579284519612,-0.112312778220443,-0.0398827679327575,-0.0960823654228573
"121T",2.88,0.10600083217777,0.420803147089197,0.12082334733858,0.233403269948579,-0.0974436262988929,-0.00271647723932139,-0.118301788290592,0.0185409514979154,-0.138748187056217
"122C",5.005,0.0497151208864045,-0.026696778927711,0.188786870764054,0.112563889983959,-0.0779786852098269,-0.0313922101256621,-0.114837187187276,-0.0726317852214031,-0.019087371980088
"122T",3.485,0.127264902106686,0.719873292182037,0.120864653307205,0.0921851115118739,-0.100974030788956,0.0256820391633192,-0.125986126080331,0.0510368769252746,-0.123007721923824
"123C",4.7525,-0.0322807904619913,-0.0365037059457779,0.260270089159937,1.69017133797895e-05,-0.0330558435787947,0.0121590254062729,-0.0907626563715336,-0.0622266478798288,0.672471326492508
"123T",3.1125,-0.0104165344146992,0.166570413682191,0.152109089283965,-0.0505449511474895,-0.0719204805175169,-0.0191355927028804,-0.1170840578513,-0.0214721397489729,0.465382333001022
"124C",5.6575,0.0469232316647053,-0.053072153738864,0.237771022726612,-0.00944858479284245,-0.0534525937432404,-0.0163561652626768,-0.0972339318544807,-0.0765771145265709,0.0792660720676364
"124T",3.18,0.00370264297850514,0.0718180887448848,0.149071084341061,-0.0391041250014291,-0.0783958405710449,-0.042876478081916,-0.112825704488404,-0.0490000650839976,-0.00936186955126747
"126C",10.95,-0.0120722146095707,-0.0519194759110979,0.117684726508002,-0.0716828962423064,-0.0902615263375049,-0.0644697781328505,-0.108624367458492,-0.0864601527675922,-0.0390134159681042
"126T",8.6,-0.0268430826758842,0.0867180386788004,0.0926046427650738,-0.0567550094293653,-0.0962662889168106,-0.0677763480179031,-0.129721508787014,-0.0361643757220089,-0.192987798068997
"35C",6.9475,0.0222987213406356,-0.0120370731594653,0.184185179724678,0.393585422689692,-0.0738634523109273,-0.0457458459482122,-0.116718042192655,-0.0809111912207118,-0.0363004476930477
"35T",3.18,-0.0047378671052376,0.214077155513888,0.11455788464372,0.528794901882371,-0.0847818522609403,-0.0338062736750984,-0.120033395641254,-0.0319718230084252,-0.144481101969883
"ES11C",1.425,-0.056794086957151,-0.0773994908864763,-0.0615572679236568,-0.0747882661393957,0.21055646520114,-0.023621740369711,-0.0217743251000024,-0.0482491927970168,-0.0129840376988472
