"A"	"gs"	"WUE"	"Ci"	"Tr"	"VPD"	"Tleaf"	"AL"	"AW"	"AW/AL"	"GCV"	"SCV"	"SA"	"SI"	"SD"	"DW"
"MEgreen"	-0.244776158218711	-0.181831477863294	0.090399994391207	-0.28183249953678	-0.171166264478471	0.276698209975421	-0.306983516003398	0.281378606169165	-0.13104118532824	-0.320637480175678	0.401291917874154	-0.128270119180154	0.0323498370857645	-0.0745688396515187	-0.201495910720184	-0.233361669313606
"MEyellow"	-0.117679936391116	-0.165309355353258	0.169656354706711	-0.486976521797243	-0.151958086095423	0.311485168924145	-0.909368543159686	0.803069517251408	-0.026433576638516	-0.652596906565206	0.928966871827215	-0.407738706870441	0.457108290970724	-0.258612752143251	-0.443459807654715	-0.427957626860048
"MEpink"	-0.300994919700242	-0.339938274415348	0.446584410598123	-0.443744445020314	-0.33844867555766	0.274292899885425	-0.537610330510774	0.528899899530884	-0.22607396476595	-0.582411688816221	0.587577782088548	-0.145600178727196	0.0720331266666828	-0.0788785885035416	-0.421227654393741	-0.323782701551427
"MEbrown"	0.171043321613361	0.188848165543155	-0.127228765693167	0.491790552587087	0.141028097321847	-0.407868427391046	0.795695516762617	-0.841290404653868	-0.0325518814385164	0.661204475590142	-0.890595964657251	0.162946585332647	-0.484845450623778	0.0701332999681128	0.465764432320641	0.290289134368245
"MEturquoise"	-0.318512047234964	-0.31278227078856	0.161408276740233	0.113402025179163	-0.375109631614632	-0.314259135155967	0.164036499083657	-0.801517894477344	-0.582062833135013	0.214331336095581	-0.607135435960673	-0.376363456892181	-0.727843653129152	-0.60152618107905	0.519648842009127	-0.440185752051843
"MEmagenta"	-0.464271255687262	-0.389823502000989	0.163085049841821	-0.13004405922372	-0.442018912284792	-0.198353702464118	0.110942849279668	-0.570836137667645	-0.51400369911706	-0.0168799052728805	-0.417380133047301	-0.287880035025743	-0.557457182445929	-0.394310657066582	0.594539771328154	-0.430052411082222
"MEred"	0.0217710282881787	-0.0143020930822354	0.00614663843368868	0.150470412802827	0.027618518031452	0.0654645733231303	0.428080038628789	-0.00489215013111328	0.0710735955735294	-0.0298908016337762	-0.157364112621065	0.626466077593528	-0.0227542689748558	0.593809790696408	-0.0521874488031135	0.266713192267714
"MEblue"	0.477335692933435	0.499909034308877	-0.308233347021747	0.435799707923573	0.515741561357571	-0.135109843730938	0.742849424736983	-0.145583014460054	0.52769383028243	0.504919871243335	-0.398261548970573	0.616574916413792	0.16974149504325	0.691059140831743	0.00375188858895314	0.763668247289209
"MEblack"	0.487363890654081	0.574170253762827	-0.357731976031057	0.351566598180212	0.576624687904704	-0.205385249966024	0.375335335372607	-0.0394706093660952	0.429624965639451	0.401054762955423	-0.104027722317389	0.271128720726733	0.184125691273041	0.37448569937581	-0.0550224921148628	0.43641158257577
"MEgrey"	-0.0860262731151031	-0.0989803401445132	0.0758547404229198	0.18425281755925	-0.0714228327129425	-0.0717305947685108	0.656381758810375	-0.403699918068573	-0.0226992800332254	0.230873306270352	-0.540861409665807	0.603148415920849	-0.279187689915739	0.298055466059044	0.156452490668443	0.268508843024477
