bsid	atid
Brast10G177600	AT3G09510
Brast10G063300	AT4G03180
Brast10G148100	AT3G47640
Brast10G036900	AT3G47570
Brast10G058300	AT5G18980
Brast10G030700	AT1G27450
Brast10G016100	AT5G37020
Brast10G153300	AT3G16520
Brast10G175300	AT5G18640
Brast10G008100	AT2G18390
Brast10G151100	AT5G10380
Brast10G073100	AT3G09510
Brast10G104500	AT5G10730
Brast10G012000	AT1G15340
Brast10G039800	AT5G67150
Brast10G044300	AT3G50400
Brast10G093900	AT2G15980
Brast10G001600	AT3G01570
Brast10G167200	AT4G12470
Brast10G117700	AT1G09070
Brast10G083000	AT3G22490
Brast10G015600	AT2G34650
Brast10G104600	AT5G08160
Brast10G069900	AT1G80570
Brast10G153900	AT2G15530
Brast10G090200	AT1G55120
Brast10G156800	AT4G37900
Brast10G059100	AT4G02480
Brast10G144600	AT1G09310
Brast10G020500	AT5G25610
Brast10G053000	AT3G62400
Brast10G061700	AT3G21400
Brast10G023000	AT3G22790
Brast10G160400	AT3G06190
Brast10G131400	AT3G02100
Brast10G036000	AT1G49850
Brast10G157600	AT5G47430
Brast10G013600	AT1G30190
Brast10G007700	AT1G09970
Brast10G126800	AT5G65910
Brast10G096400	AT5G35430
Brast10G017200	AT5G45540
Brast10G068500	AT1G80570
Brast10G134500	AT5G56510
Brast10G057300	AT5G06730
Brast10G033000	AT4G00160
Brast10G039600	AT4G00690
Brast10G053400	AT4G05460
Brast10G127900	AT1G18640
Brast10G091200	AT5G13010
Brast10G102500	AT5G55125
Brast10G031700	AT4G37190
Brast10G154400	AT2G26560
Brast10G162700	AT5G67390
Brast10G075200	AT5G39380
Brast10G106200	AT2G34320
Brast10G169600	AT3G09220
Brast10G091400	AT3G14470
Brast10G134800	AT3G22430
Brast10G107300	AT2G25290
Brast10G012200	AT2G17450
Brast10G064800	AT3G30841
Brast10G116900	AT3G26690
Brast10G185300	AT3G05740
Brast10G150700	AT5G10290
Brast10G192500	AT1G22900
Brast10G022500	AT3G22750
Brast10G136200	AT3G02340
Brast10G071900	AT4G24460
Brast10G087800	AT1G10240
Brast10G161800	AT5G35450
Brast10G168900	AT5G05390
Brast10G164500	AT1G21240
Brast10G121300	AT3G12480
Brast10G179100	AT1G19100
Brast10G055600	AT1G02730
Brast10G062800	AT5G14620
Brast10G046200	AT3G28880
Brast10G053200	AT4G02060
Brast10G145000	AT3G47910
Brast10G121200	AT4G08310
Brast10G100400	AT2G15240
Brast10G010300	AT1G55520
Brast10G014500	AT1G72250
Brast10G019000	AT3G54950
Brast10G021200	AT5G10530
Brast10G078200	AT1G69390
Brast10G087700	AT1G08060
Brast10G085600	AT1G27435
Brast10G024800	AT4G14580
Brast10G131000	AT5G06560
Brast10G118100	AT5G07360
Brast10G156700	AT1G32127
Brast10G047000	AT5G19485
Brast10G029500	AT2G15000
Brast10G029300	AT2G23460
Brast10G086800	AT5G52480
Brast10G146300	AT2G42520
Brast10G090500	AT3G62120
Brast10G008300	AT5G49555
Brast10G095700	AT5G48220
Brast10G133100	AT5G06440
Brast10G148500	AT1G26940
Brast10G038000	AT4G00315
Brast10G117400	AT3G02060
Brast10G143700	AT3G15390
Brast10G142500	AT2G03560
Brast10G193500	AT4G31360
Brast10G019700	AT1G56010
Brast10G007800	AT2G22780
Brast10G050900	AT3G17170
Brast10G074200	AT5G67390
Brast10G014200	AT2G44860
Brast10G082900	AT2G39210
Brast10G153200	ATCG00680
Brast10G107900	AT4G27540
Brast10G058900	AT4G15890
Brast10G149100	AT3G59100
Brast10G186600	AT2G47300
Brast10G181300	AT3G59420
Brast10G034700	AT5G16080
Brast10G097900	AT4G38180
Brast10G140400	ATCG00680
Brast10G185900	AT3G14470
Brast10G189900	AT1G59620
Brast10G040100	AT3G53580
Brast10G026800	AT1G80260
Brast10G081700	AT5G39970
Brast10G120900	AT3G47680
Brast10G123500	AT1G25230
Brast10G019500	AT4G20380
Brast10G148200	AT1G74520
Brast10G066400	AT1G05260
Brast10G180600	AT3G52600
Brast10G060500	AT2G24960
Brast10G091900	AT1G04290
Brast10G126100	AT1G09320
Brast10G184000	AT4G35920
Brast10G185600	AT3G62580
Brast10G004600	AT5G09570
Brast10G174900	AT1G23900
Brast10G088400	AT2G45350
Brast10G001700	AT3G63520
Brast10G144100	AT1G09310
Brast10G072300	AT3G14470
Brast10G026900	AT1G04300
Brast10G060100	AT1G07470
Brast10G193600	AT3G55350
Brast10G091300	AT3G27210
Brast10G084200	AT3G52890
Brast10G039500	AT5G08050
Brast10G183900	AT3G22700
Brast10G131100	AT1G50380
Brast10G161600	AT3G07040
Brast10G140200	AT3G47890
Brast10G049700	AT5G49470
Brast10G143000	AT5G61520
Brast10G193400	AT5G02500
Brast10G006600	AT3G49760
Brast10G076800	AT1G18640
Brast10G181800	AT3G59420
Brast10G005700	AT4G34610
Brast10G197500	AT2G29060
Brast10G083800	AT1G21930
Brast10G012300	AT3G22190
Brast10G088600	AT3G02890
Brast10G160500	AT3G06190
Brast10G124800	AT1G50020
Brast10G105800	AT4G22910
Brast10G049600	AT2G31400
Brast10G007100	AT1G58520
Brast10G094800	AT2G28910
Brast10G171900	AT5G51230
Brast10G166100	AT4G15030
Brast10G172200	AT5G53970
Brast10G011800	AT5G22030
Brast10G020400	AT5G10530
Brast10G074900	AT1G13960
Brast10G171500	AT3G05140
Brast10G151000	AT1G34760
Brast10G086600	AT5G17510
Brast10G004800	AT2G16430
Brast10G085200	AT5G55125
Brast10G090300	AT3G46710
Brast10G067600	AT2G20790
Brast10G053300	AT4G05460
Brast10G147100	AT2G02960
Brast10G071700	AT3G18830
Brast10G035300	AT1G47230
Brast10G197400	AT3G09310
Brast10G198500	AT2G37650
Brast10G172700	AT4G03090
Brast10G149300	AT5G45540
Brast10G059500	AT4G11650
Brast10G140500	AT3G23090
Brast10G198800	AT2G37650
Brast10G029200	AT3G18950
Brast10G086500	AT5G27390
Brast10G150400	AT1G44080
Brast10G117000	AT3G12280
Brast10G156600	AT3G42880
Brast10G147800	AT3G15040
Brast10G061200	AT5G47910
Brast10G089100	AT4G33840
Brast10G190000	AT5G35450
Brast10G129700	AT3G03960
Brast10G062900	AT5G18650
Brast10G092200	AT3G02890
Brast10G072700	AT3G12350
Brast10G046800	AT1G07780
Brast10G072400	AT3G14470
Brast10G004900	AT2G16430
Brast10G068800	AT3G09510
Brast10G105100	AT2G42990
Brast10G177900	AT1G18750
Brast10G043400	AT3G46510
Brast10G054700	AT4G25800
Brast10G127800	AT4G14850
Brast10G029900	AT2G23520
Brast10G143600	AT5G04370
Brast10G041100	AT4G36130
Brast10G105500	AT2G24100
Brast10G012900	AT4G02340
Brast10G039200	AT5G61040
Brast10G153400	AT5G20850
Brast10G187900	AT1G48000
Brast10G197800	AT2G29060
Brast10G018900	AT2G13290
Brast10G149400	AT1G08050
Brast10G123100	AT5G04560
Brast10G136800	AT4G14723
Brast10G011400	AT5G62310
Brast10G109800	AT2G19830
Brast10G184800	AT3G04710
Brast10G031100	AT5G41220
Brast10G183100	AT3G62580
Brast10G177500	AT1G49490
Brast10G101700	AT2G02040
Brast10G138300	ATCG00020
Brast10G113600	AT5G05970
Brast10G049100	AT3G09100
Brast10G098800	AT1G65680
Brast10G163300	AT3G18830
Brast10G003000	AT1G74790
Brast10G034100	AT1G27730
Brast10G089600	AT4G10710
Brast10G162300	AT3G03900
Brast10G109300	AT5G13390
Brast10G154600	AT2G26560
Brast10G001900	AT1G07985
Brast10G012100	AT2G35910
Brast10G011900	AT3G11760
Brast10G154800	AT3G25520
Brast10G178100	AT4G16070
Brast10G038700	AT5G07920
Brast10G049900	AT1G33540
Brast10G071300	AT2G35760
Brast10G160600	AT3G06190
Brast10G153600	AT4G00850
Brast10G025300	AT1G03030
Brast10G055300	AT2G18750
Brast10G027100	AT5G46850
Brast10G068600	AT3G51230
Brast10G038100	AT1G69370
Brast10G164200	AT3G57650
Brast10G137100	AT1G48910
Brast10G120800	AT1G54990
Brast10G025000	AT1G04240
Brast10G132900	AT3G47570
Brast10G199300	AT2G29060
Brast10G106900	AT4G16280
Brast10G087500	AT3G04080
Brast10G032500	AT5G10530
Brast10G102900	AT2G24960
Brast10G082000	AT1G74790
Brast10G042300	AT5G02500
Brast10G048500	AT2G39580
Brast10G171400	AT3G58670
Brast10G112100	AT4G29900
Brast10G092500	AT4G32640
Brast10G052400	AT3G07040
Brast10G158800	AT5G15790
Brast10G076200	AT3G45650
Brast10G125000	AT1G58390
Brast10G178800	AT5G20400
Brast10G027600	AT2G16050
Brast10G095800	AT1G60640
Brast10G006200	AT2G22880
Brast10G041700	AT2G28790
Brast10G038900	AT1G68530
Brast10G025700	AT2G30580
Brast10G123600	AT1G14700
Brast10G095400	AT1G12000
Brast10G065800	AT5G15802
Brast10G199800	AT2G29200
Brast10G007400	AT5G49660
Brast10G169700	AT3G09220
Brast10G121400	AT1G48520
Brast10G128200	AT1G24380
Brast10G165500	AT3G51000
Brast10G049400	AT5G57500
Brast10G139300	AT5G28840
Brast10G175600	AT5G18590
Brast10G028400	AT4G34210
Brast10G148600	AT1G26940
Brast10G076600	AT1G74250
Brast10G042400	AT2G14110
Brast10G040800	AT4G29990
Brast10G014700	AT3G59030
Brast10G030200	AT3G18990
Brast10G008700	AT4G19640
Brast10G087300	AT3G04080
Brast10G159800	ATCG01100
Brast10G143100	AT4G22180
Brast10G009800	AT5G17230
Brast10G001000	AT5G45030
Brast10G170100	AT5G35450
Brast10G135500	AT1G03103
Brast10G109100	AT5G51040
Brast10G050800	AT4G01950
Brast10G060900	AT4G15790
Brast10G014600	AT1G65030
Brast10G159000	AT3G06190
Brast10G132500	AT5G26340
Brast10G010000	AT3G07040
Brast10G132200	AT4G10400
Brast10G145900	AT3G47890
Brast10G008900	AT5G45170
Brast10G084900	AT5G13250
Brast10G093400	AT3G02830
Brast10G171200	AT3G14120
Brast10G007500	AT4G32300
Brast10G147200	AT3G02570
Brast10G139700	AT3G04720
Brast10G172800	AT2G47980
Brast10G159200	AT3G06190
Brast10G195200	AT5G59780
Brast10G122600	AT2G22900
Brast10G003500	AT1G74780
Brast10G057800	AT5G06730
Brast10G123400	AT1G67950
Brast10G068000	AT3G08020
Brast10G021000	AT5G10530
Brast10G152800	AT4G37210
Brast10G108200	AT5G13930
Brast10G010200	AT3G60530
Brast10G013200	AT1G78390
Brast10G187600	AT1G56580
Brast10G076900	AT1G80370
Brast10G056500	AT4G16070
Brast10G093800	AT3G19420
Brast10G151200	AT2G01470
Brast10G041200	AT4G29990
Brast10G052800	AT3G36659
Brast10G122000	AT3G02550
Brast10G040000	AT3G09470
Brast10G129000	AT4G28650
Brast10G196300	AT2G28790
Brast10G085400	AT5G13180
Brast10G059200	AT3G46020
Brast10G157000	AT4G34190
Brast10G022700	AT4G14770
Brast10G006300	AT3G04710
Brast10G164100	AT3G07810
Brast10G152300	AT3G06980
Brast10G033700	AT1G22900
Brast10G165000	AT5G64700
Brast10G077200	AT1G69120
Brast10G103000	AT1G12820
Brast10G169000	AT3G09220
Brast10G030300	AT3G07040
Brast10G189800	AT3G17340
Brast10G122100	AT3G02550
Brast10G066100	AT4G03100
Brast10G101900	AT2G33540
Brast10G012700	AT1G80670
Brast10G066300	AT1G33530
Brast10G083900	AT4G16630
Brast10G138000	AT4G23240
Brast10G182500	AT2G07725
Brast10G093700	AT5G35450
Brast10G062300	AT3G62950
Brast10G012800	AT2G27210
Brast10G145300	AT3G47890
Brast10G078600	AT1G53850
Brast10G150500	AT5G64840
Brast10G048000	AT4G24680
Brast10G082100	AT1G60720
Brast10G185200	AT4G35920
Brast10G169200	AT3G12840
Brast10G032800	AT3G50140
Brast10G096800	AT2G34320
Brast10G182900	AT1G21240
Brast10G197600	AT2G29060
Brast10G099800	AT4G34220
Brast10G130900	AT3G23780
Brast10G028900	AT3G50380
Brast10G025200	AT3G04730
Brast10G109600	AT3G48740
