CHROM BIN_START BIN_END WEIGHTED_FST
chr1H 1 1000000 0.226952
chr1H 250001 1250000 0.236087
chr1H 500001 1500000 0.182056
chr1H 750001 1750000 0.165712
chr1H 1000001 2000000 0.17192
chr1H 1250001 2250000 0.15494
chr1H 1500001 2500000 0.19914
chr1H 1750001 2750000 0.2346
chr1H 2000001 3000000 0.237273
chr1H 2250001 3250000 0.273319
chr1H 2500001 3500000 0.251874
chr1H 2750001 3750000 0.173234
chr1H 3000001 4000000 0.18337
chr1H 3250001 4250000 0.204548
chr1H 3500001 4500000 0.228699
chr1H 3750001 4750000 0.252428
chr1H 4000001 5000000 0.26918
chr1H 4250001 5250000 0.299628
chr1H 4500001 5500000 0.335251
chr1H 4750001 5750000 0.298444
chr1H 5000001 6000000 0.25129
chr1H 5250001 6250000 0.175603
chr1H 5500001 6500000 0.220635
chr1H 5750001 6750000 0.261767
chr1H 6000001 7000000 0.286417
chr1H 6250001 7250000 0.290055
chr1H 6500001 7500000 0.324657
chr1H 6750001 7750000 0.29191
chr1H 7000001 8000000 0.318893
chr1H 7250001 8250000 0.318
chr1H 7500001 8500000 0.272035
chr1H 7750001 8750000 0.282213
chr1H 8000001 9000000 0.275109
chr1H 8250001 9250000 0.272461
chr1H 8500001 9500000 0.275276
chr1H 8750001 9750000 0.220347
chr1H 9000001 10000000 0.170422
chr1H 9250001 10250000 0.176388
chr1H 9500001 10500000 0.23704
chr1H 9750001 10750000 0.259531
chr1H 10000001 11000000 0.192554
chr1H 10250001 11250000 0.178475
chr1H 10500001 11500000 0.113385
chr1H 10750001 11750000 0.113557
chr1H 11000001 12000000 0.128664
chr1H 11250001 12250000 0.15269
chr1H 11500001 12500000 0.229483
chr1H 11750001 12750000 0.243094
chr1H 12000001 13000000 0.244327
chr1H 12250001 13250000 0.285942
chr1H 12500001 13500000 0.237632
chr1H 12750001 13750000 0.256098
chr1H 13000001 14000000 0.261376
chr1H 13250001 14250000 0.197723
chr1H 13500001 14500000 0.295506
chr1H 13750001 14750000 0.289581
chr1H 14000001 15000000 0.329271
chr1H 14250001 15250000 0.386331
chr1H 14500001 15500000 0.352228
chr1H 14750001 15750000 0.291602
chr1H 15000001 16000000 0.157284
chr1H 15250001 16250000 0.147768
chr1H 15500001 16500000 0.111821
chr1H 15750001 16750000 0.0266257
chr1H 16000001 17000000 0.0840165
chr1H 16250001 17250000 0.0323391
chr1H 16500001 17500000 0.0119633
chr1H 16750001 17750000 0.0128153
chr1H 17000001 18000000 0.0234473
chr1H 17250001 18250000 0.0461436
chr1H 17500001 18500000 0.116836
chr1H 17750001 18750000 0.164114
chr1H 18000001 19000000 0.208692
chr1H 18250001 19250000 0.180037
chr1H 18500001 19500000 0.184446
chr1H 18750001 19750000 0.182814
chr1H 19000001 20000000 0.16277
chr1H 19250001 20250000 0.154064
chr1H 19500001 20500000 0.177726
chr1H 19750001 20750000 0.185966
chr1H 20000001 21000000 0.219575
chr1H 20250001 21250000 0.311153
chr1H 20500001 21500000 0.255142
chr1H 20750001 21750000 0.256403
chr1H 21000001 22000000 0.222181
chr1H 21250001 22250000 0.203966
chr1H 21500001 22500000 0.195108
chr1H 21750001 22750000 0.175887
chr1H 22000001 23000000 0.238372
chr1H 22250001 23250000 0.2621
chr1H 22500001 23500000 0.225579
chr1H 22750001 23750000 0.152096
chr1H 23000001 24000000 0.106441
chr1H 23250001 24250000 0.0831966
chr1H 23500001 24500000 0.103964
chr1H 23750001 24750000 0.183066
chr1H 24000001 25000000 0.217867
chr1H 24250001 25250000 0.227449
