xid	tdid	identity	evalue	specie
Brahy.D02G0571700	TRIDC6BG007620	59.891	0	bhd
HORVU2Hr1G075280	TRIDC2AG043990	93.358	0	hv
Brahy.D05G0351100	TRIDC2AG078360	91.7	0	bhd
HORVU5Hr1G111020	TRIDC5AG066460	75.054	0	hv
Brahy.D05G0260700	TRIDC2AG064970	89.517	0	bhd
Brahy.D05G0182300	TRIDC2BG053060	87.291	0	bhd
Brahy.D05G0027100	TRIDC4AG055540	75.423	0	bhd
Brahy.D05G0161600	TRIDC7AG043670	61.737	0	bhd
Brahy.D05G0262700	TRIDC2AG064600	78.481	0	bhd
HORVU2Hr1G026370	TRIDC2BG022420	96.53	0	hv
HORVU5Hr1G116380	TRIDC4AG054370	92.325	0	hv
Brahy.S08G0082700	TRIDC1AG045790	98.795	0	bhs
HORVU2Hr1G046420	TRIDC2BG033420	97.655	0	hv
Brahy.S08G0268500	TRIDC6AG011330	90.714	0	bhs
HORVU2Hr1G022560	TRIDC7AG013940	77.095	0	hv
HORVU5Hr1G067310	TRIDC5AG036950	96.76	0	hv
HORVU2Hr1G079780	TRIDC2BG049560	96.646	0	hv
Brahy.D05G0049400	TRIDC5BG011750	83.85	0	bhd
HORVU2Hr1G042460	TRIDC2AG027670	97.445	0	hv
Brahy.D05G0240300	TRIDC2AG059200	68.67	0	bhd
Brahy.D02G0676400	TRIDC3BG050010	74.093	0	bhd
Brahy.S08G0008500	TRIDC1AG062600	69.608	0	bhs
HORVU2Hr1G036870	TRIDC2AG023930	98.246	0	hv
HORVU5Hr1G010690	TRIDC7AG043460	83.402	0	hv
HORVU2Hr1G033610	TRIDC2AG022670	79.29	0	hv
HORVU5Hr1G001360	TRIDC5AG001760	84.759	0	hv
Brahy.D05G0346600	TRIDC2AG077940	87.344	0	bhd
Brahy.D02G0736800	TRIDC3AG052840	86.202	0	bhd
HORVU2Hr1G038950	TRIDC2AG032830	89.728	0	hv
HORVU2Hr1G080020	TRIDC6AG031090	91.847	0	hv
HORVU2Hr1G028380	TRIDC2BG023680	94.139	0	hv
Brahy.D05G0233900	TRIDC2AG060160	86.612	0	bhd
Brahy.D05G0310300	TRIDC2AG073910	95.388	0	bhd
HORVU2Hr1G023560	TRIDC2AG016520	96.346	0	hv
HORVU2Hr1G018720	TRIDC2BG016100	97.132	0	hv
Brahy.D05G0365700	TRIDC2BG090900	94.444	0	bhd
HORVU2Hr1G068970	TRIDC2AG040740	99.761	0	hv
HORVU5Hr1G114650	TRIDC5AG069250	92.505	0	hv
HORVU2Hr1G085730	TRIDC2BG054360	89.55	0	hv
HORVU5Hr1G122660	TRIDC2BG071240	48.322	0	hv
Brahy.D05G0297400	TRIDC1AG013070	57.739	0	bhd
Brahy.D05G0182700	TRIDC6AG033190	60.193	0	bhd
HORVU5Hr1G125000	TRIDC4AG047890	88.472	0	hv
Brahy.D05G0051100	TRIDC2AG006420	82.091	0	bhd
HORVU2Hr1G088270	TRIDC3AG059030	31.712	0	hv
Brahy.D02G0101500	TRIDC3AG020330	74.959	0	bhd
Brahy.D05G0263100	TRIDC2AG064490	86.978	0	bhd
Brahy.D05G0049700	TRIDC3BG037120	58.477	0	bhd
HORVU5Hr1G046490	TRIDC5BG025780	96.092	0	hv
HORVU2Hr1G081180	TRIDC2AG048010	89.07	0	hv
HORVU5Hr1G006220	TRIDC5BG002980	91.626	0	hv
HORVU2Hr1G030040	TRIDC2AG020750	94.851	0	hv
Brahy.D05G0157500	TRIDC2AG047200	79.58	0	bhd
HORVU2Hr1G067390	TRIDC2BG042960	90.016	0	hv
HORVU5Hr1G012570	TRIDC4AG003550	89.716	0	hv
HORVU2Hr1G010400	TRIDC2BG008950	89.008	0	hv
Brahy.D05G0121500	TRIDC2AG043120	81.7	0	bhd
HORVU5Hr1G060110	TRIDC5BG034470	96.267	0	hv
Brahy.D05G0124700	TRIDC2BG046290	84.097	0	bhd
Brahy.D05G0057400	TRIDC2AG007810	93.093	0	bhd
Brahy.D05G0122600	TRIDC2AG043200	83.626	0	bhd
HORVU2Hr1G086990	TRIDC2BG055150	97.342	0	hv
HORVU5Hr1G011570	TRIDC5BG008970	94.242	0	hv
HORVU2Hr1G016750	TRIDC2AG011410	96.209	0	hv
Brahy.D05G0290600	TRIDC1BG055600	78.641	0	bhd
HORVU2Hr1G029780	TRIDC2AG020570	96.787	0	hv
Brahy.D05G0205000	TRIDC6AG034950	73.548	0	bhd
HORVU2Hr1G050280	TRIDC2BG035250	95.064	0	hv
Brahy.D05G0304100	TRIDC2BG049880	65.363	0	bhd
HORVU2Hr1G022340	TRIDC2BG018810	89.164	0	hv
HORVU2Hr1G082880	TRIDC2BG051700	94.398	0	hv
HORVU5Hr1G024400	TRIDC5BG016390	84.789	0	hv
Brahy.D05G0060100	TRIDC2BG008740	67.008	0	bhd
HORVU2Hr1G076510	TRIDC2AG044550	93.949	0	hv
Brahy.D05G0008400	TRIDC2BG002400	71.648	0	bhd
Brahy.D05G0361500	TRIDC2BG088860	72.11	0	bhd
Brahy.D05G0205800	TRIDC2AG055380	62.319	0	bhd
HORVU5Hr1G124490	TRIDC7BG000180	78.321	0	hv
HORVU2Hr1G078890	TRIDC2AG046130	95.301	0	hv
Brahy.D05G0215700	TRIDC2AG054460	91.958	0	bhd
Brahy.D05G0128100	TRIDC2BG089010	47.951	0	bhd
HORVU5Hr1G058950	TRIDC5AG031920	97.708	0	hv
Brahy.D05G0256400	TRIDC2AG057090	93.103	0	bhd
Brahy.D05G0213100	TRIDC2AG054870	93.403	0	bhd
HORVU5Hr1G066250	TRIDC5BG038430	94.855	0	hv
Brahy.S08G0262800	TRIDC1AG003020	65.521	0	bhs
HORVU2Hr1G070890	TRIDC2BG044530	95.464	0	hv
Brahy.D05G0296700	TRIDC2AG081370	66.781	0	bhd
HORVU5Hr1G020990	TRIDC5BG014220	93.077	0	hv
HORVU2Hr1G073110	TRIDC2AG042660	96.562	0	hv
