atid	symbol	tdid	chr	start	end
AT4G33080		TRIDC1AG013150	chr1A	86500001	88500000
AT5G26170	ATWRKY50	TRIDC1AG013170	chr1A	86500001	88500000
AT5G57040	GLXI-like;11	TRIDC1AG013120	chr1A	86500001	88500000
AT1G25682	CWC16a	TRIDC1BG006890	chr1B	40500001	42500000
AT1G69890		TRIDC1BG007220	chr1B	40500001	42500000
AT1G73965	CLE13	TRIDC1BG006950	chr1B	40500001	42500000
AT2G30050		TRIDC1BG007100	chr1B	40500001	42500000
AT2G42780		TRIDC1BG007030	chr1B	40500001	42500000
AT3G04710	TPR10	TRIDC1BG006970	chr1B	40500001	42500000
AT3G09220	LAC7	TRIDC1BG007060	chr1B	40500001	42500000
AT3G13060	ECT5	TRIDC1BG007160	chr1B	40500001	42500000
AT3G60410		TRIDC1BG007110	chr1B	40500001	42500000
AT3G63380	ACA12	TRIDC1BG007040	chr1B	40500001	42500000
AT4G13460	SDG22	TRIDC1BG006880	chr1B	40500001	42500000
AT4G14465	AHL20	TRIDC1BG006900	chr1B	40500001	42500000
AT5G01150		TRIDC1BG007130	chr1B	40500001	42500000
AT5G20030		TRIDC1BG007010	chr1B	40500001	42500000
AT5G22770	alpha-ADR	TRIDC1BG006930	chr1B	40500001	42500000
AT5G51860	AGL72	TRIDC1BG007240	chr1B	40500001	42500000
AT5G59740		TRIDC1BG007230	chr1B	40500001	42500000
AT5G62980	FOLB2	TRIDC1BG007170	chr1B	40500001	42500000
ATCG00770	RPS8	TRIDC1BG007120	chr1B	40500001	42500000
AT1G10050		TRIDC2AG014940	chr2A	75000001	77000000
AT1G65260	PTAC4	TRIDC2AG014970	chr2A	75000001	77000000
AT2G32480	ARASP	TRIDC2AG015320	chr2A	75000001	77000000
AT2G33847		TRIDC2AG015310	chr2A	75000001	77000000
AT2G40840	DPE2	TRIDC2AG015240	chr2A	75000001	77000000
AT3G07040	RPM1	TRIDC2AG015210	chr2A	75000001	77000000
AT3G26760		TRIDC2AG015140	chr2A	75000001	77000000
AT3G26760		TRIDC2AG014960	chr2A	75000001	77000000
AT3G26760		TRIDC2AG015160	chr2A	75000001	77000000
AT3G26770		TRIDC2AG015100	chr2A	75000001	77000000
AT3G26770		TRIDC2AG014990	chr2A	75000001	77000000
AT3G26770		TRIDC2AG015120	chr2A	75000001	77000000
AT4G20860	AtBBE22	TRIDC2AG015190	chr2A	75000001	77000000
AT4G21065		TRIDC2AG015260	chr2A	75000001	77000000
AT4G27270		TRIDC2AG015280	chr2A	75000001	77000000
AT4G27270		TRIDC2AG015270	chr2A	75000001	77000000
AT4G38190	ATCSLD4	TRIDC2AG015090	chr2A	75000001	77000000
AT5G19500		TRIDC2AG015250	chr2A	75000001	77000000
AT5G42510		TRIDC2AG014980	chr2A	75000001	77000000
AT5G44400	AtBBE26	TRIDC2AG015170	chr2A	75000001	77000000
AT5G56440		TRIDC2AG015030	chr2A	75000001	77000000
AT1G08550	AVDE1	TRIDC2AG040580	chr2A	463500001	465500000
AT1G43722		TRIDC2AG040560	chr2A	463500001	465500000
AT1G67480		TRIDC2AG040630	chr2A	463500001	465500000
AT2G31740		TRIDC2AG040550	chr2A	463500001	465500000
AT2G43710	AtSSI2	TRIDC2AG040600	chr2A	463500001	465500000
AT3G01860		TRIDC2AG040610	chr2A	463500001	465500000
AT3G07170	IRP1	TRIDC2AG040520	chr2A	463500001	465500000
AT3G25070	AtRIN4	TRIDC2AG040570	chr2A	463500001	465500000
AT1G08190	ATVAM2	TRIDC2AG076960	chr2A	749000001	751000000
AT1G10240	FRS11	TRIDC2AG076920	chr2A	749000001	751000000
AT1G10820		TRIDC2AG076860	chr2A	749000001	751000000
AT1G21240	WAK3	TRIDC2AG076730	chr2A	749000001	751000000
AT1G26761		TRIDC2AG077000	chr2A	749000001	751000000
AT1G68560	ATXYL1	TRIDC2AG076680	chr2A	749000001	751000000
