bhdid	piN	piS	pin/pis
Brahy.D01G0002000	0.001107376	0.002121336	0.522018076
Brahy.D01G0010900	0.005277108	0.007648694	0.689935746
Brahy.D01G0011900	0.003838322	0.015265538	0.251437043
Brahy.D01G0045300	0.000973789	0.000991511	0.982125618
Brahy.D01G0074700	0.000573459	0.00172961	0.331553861
Brahy.D01G0108400	0.000558927	0.000128721	4.342149092
Brahy.D01G0123900	0.001711232	0.00309875	0.552233009
Brahy.D01G0131200	0.000626276	0.003268212	0.191626354
Brahy.D01G0211700	0.001207088	0.001304282	0.925480972
Brahy.D01G0216200	0.001166688	0.002941586	0.396618493
Brahy.D01G0224100	0.008849162	0.017011138	0.520198109
Brahy.D01G0236300	0.000596046	0.001958451	0.304345752
Brahy.D01G0241600	0.004580762	0.005127074	0.893445733
Brahy.D01G0248700	0.000229836	0.001303409	0.176334125
Brahy.D01G0261500	0.011129787	0.028128052	0.395682801
Brahy.D01G0269700	0.00227033	0.001382994	1.641605134
Brahy.D01G0284900	0.003463492	0.004513231	0.76740862
Brahy.D01G0285000	0.003686633	0.003108666	1.185921171
Brahy.D01G0285100	0.001039598	0.005206562	0.199670796
Brahy.D01G0286900	0.000532801	0.0015479	0.344208519
Brahy.D01G0304000	4.82e-05	0.000406124	0.11860183
Brahy.D01G0306200	0.001049026	0.001633816	0.64207142
Brahy.D01G0310300	0.001648364	0.003648252	0.451822899
Brahy.D01G0321200	0.001584491	0.00550034	0.288071524
Brahy.D01G0332800	0.00430327	0.006623047	0.649741704
Brahy.D01G0336700	0.02384799	0.032383561	0.736422724
Brahy.D01G0339600	0.004174042	0.018554288	0.224963709
Brahy.D01G0394300	7.04e-05	0.000340241	0.207024197
Brahy.D01G0395900	0.009521718	0.006931592	1.373669659
Brahy.D01G0406800	0.001437426	0.001268709	1.132983486
Brahy.D01G0414100	0.000111332	0.001080839	0.103004874
Brahy.D01G0425900	0.001294692	0.000962438	1.345221672
Brahy.D01G0505600	0.000162232	0.000456413	0.355451006
Brahy.D01G0512100	0.006405707	0.009861913	0.649539956
Brahy.D01G0517100	0.003283519	0.007400184	0.443707812
Brahy.D01G0538500	0.004303775	0.011850476	0.363173153
Brahy.D01G0552500	0.000812172	0.000133098	6.102075924
Brahy.D01G0569300	0.002816786	0.004151465	0.678504111
Brahy.D01G0574600	0.002994044	0.001860009	1.609693791
Brahy.D01G0598700	0.003948441	0.003590597	1.099661297
Brahy.D01G0624100	0.001479028	0.00342114	0.43232034
Brahy.D01G0632700	0.000929222	0.000423358	2.19488368
Brahy.D01G0653100	0.003547404	0.00488469	0.72622903
Brahy.D01G0677700	0.000962962	0.000951921	1.011598949
Brahy.D01G0709200	0.001329218	0.001831503	0.72575266
Brahy.D01G0721000	0.000217774	0.001244712	0.174959386
Brahy.D01G0753700	0.009369728	0.050574863	0.185264524
Brahy.D01G0768000	0.000257096	0.000276561	0.92961617
Brahy.D01G0770700	0.002113535	0.002082493	1.014905901
Brahy.D01G0803400	0.00062373	0.000576584	1.081767506
Brahy.D01G0811100	0.000114762	0.000372278	0.308269318
Brahy.D01G0827900	0.001532865	0.00371801	0.41228121
Brahy.D01G0839200	0.000729353	0.000832449	0.876153548
Brahy.D01G0856200	0.000469179	0.001231676	0.380927581
Brahy.D01G0870700	7.36e-05	0.000244122	0.301321779
Brahy.D01G0913000	0.002516268	0.003387107	0.742895969
Brahy.D01G0913100	0.000182402	0.000244061	0.747361253
