file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_AS17.vcf	Brahy.D05G0003600.v1.1	0	0	15	6	862.833333333332	268.166666666667	0	0	0.017384585667375	0.0223741454319453	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0004300.v1.1	0	0	18	158	3410.49999999998	1203.5	0	0	0.005277818501686	0.131283755712505	-7.35483870967742	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0006900.v1.1	0.147692307692308	0.0740740740740742	8.88603988603989	5	1763.5	624.5	8.3749536542278e-05	0.000118613409245915	0.00503886582707109	0.00800640512409928	0.0152387445834739	0.142011834319526	0.0713305898491086
temp_vcf4_SM_AS17.vcf	Brahy.D05G0010200.v1.1	0	0	76	148	7829.6666666668	2445.33333333333	0	0	0.00970667120779923	0.0605234460196293	-15	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0011900.v1.1	0	0	0	4	926.833333333331	285.166666666667	0	0	0	0.0140268848626534	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0012500.v1.1	0	0	4	1	2106.50000000001	638.5	0	0	0.00189888440541181	0.00156617071260767	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0013600.v1.1	0	0	9	7	1933.00000000001	562.999999999999	0	0	0.00465597516813242	0.0124333925399645	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0017800.v1.1	0	0	9	3	816.333333333332	245.666666666667	0	0	0.0110249081257656	0.0122116689280868	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0019000.v1.1	0.0833333333333333	0	19	11.9583333333333	2358.31944444445	740.680555555558	3.5335897148982e-05	0	0.0080565845499679	0.0161450617862701	0.00257616487455197	0.0798611111111109	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0020600.v1.1	0	0	0	0	721.5	214.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0026400.v1.1	0	0	0	0	1574.33333333334	519.666666666666	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0028700.v1.1	0	0	3	0	732.833333333332	260.166666666667	0	0	0.00409370025017058	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0030900.v1.1	0	0	0	1	405.833333333334	131.166666666667	0	0	0	0.00762388818297332	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0032700.v1.1	0.0974358974358975	0	3.95	5	772.333333333332	244.666666666667	0.000126157830085323	0	0.00511437203280104	0.0204359673024523	0.0105555555555556	0.095	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0034300.v1.1	1.50571602310733	0.511111111111111	7.22463768115942	7.55	2074.47777777778	640.522222222222	0.000725828948006508	0.000797959997918365	0.00348262958444345	0.0117872569257724	0.112694997343613	0.471938318280473	0.5
temp_vcf4_SM_AS17.vcf	Brahy.D05G0034400.v1.1	0	0	1	1	435	153	0	0	0.00229885057471264	0.00653594771241831	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0036400.v1.1	0	0	3	0	1235	364	0	0	0.00242914979757085	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0039900.v1.1	0.0666666666666667	0	1	3.96666666666667	1772.83333333334	519.166666666665	3.76045877597065e-05	0	0.000564068816395598	0.00764044943820227	0.0128888888888889	0.0644444444444445	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0040000.v1.1	0	0	0	0	1268.5	435.499999999999	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0040200.v1.1	0	0	3	0	1066.5	328.499999999999	0	0	0.00281293952180029	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0043900.v1.1	0	0	6	4	1946.33333333334	573.666666666666	0	0	0.00308271964377461	0.00697269029633935	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0045800.v1.1	0	0	0	0	972.666666666665	278.333333333334	0	0	0	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0049300.v1.1	0	0	1	4	1034.66666666667	351.333333333333	0	0	0.000966494845360826	0.0113851992409867	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0049700.v1.1	0	0	10	7	1449.66666666667	563.333333333333	0	0	0.00689813750287421	0.0124260355029586	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0050600.v1.1	16.5169888009969	6.43882174048052	17.9865812395449	16.4482224173294	3454.20242623115	1146.15596537723	0.00478170841279226	0.00561775354749501	0.0052071589965183	0.0143507715478459	0.315242310398536	0.401750111884141	0.418228011739892
temp_vcf4_SM_AS17.vcf	Brahy.D05G0060600.v1.1	0	0.166666666666667	0	2.91666666666667	1012	278	0	0.000599520383693045	0	0.0104916067146283	0.050925925925926	*	0.152777777777778
temp_vcf4_SM_AS17.vcf	Brahy.D05G0060800.v1.1	0.0909090909090908	0	2.95454545454545	2	939.666666666665	278.333333333333	9.67461059692348e-05	0	0.00314424844400013	0.00718562874251497	0.0173553719008264	0.0867768595041321	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0061200.v1.1	0	0	5	3	850.666666666665	286.333333333333	0	0	0.00587774294670848	0.0104772991850989	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0063800.v1.1	0	0	0	0	352.333333333333	112.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0070300.v1.1	0.05	0	1	0.975	610.316666666667	199.683333333333	8.19246839072613e-05	0	0.00163849367814522	0.00488273099073533	0.024375	0.0487500000000001	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0071900.v1.1	1.74795031055901	0.461538461538462	2.55333333333333	1.82435897435897	649.125555555555	238.874444444445	0.00269277691441838	0.00193213829387179	0.00393349685816646	0.00763731331160989	0.207223550295858	0.32924	0.42603550295858
temp_vcf4_SM_AS17.vcf	Brahy.D05G0083500.v1.1	0	0	2	19	2476.33333333333	748.666666666668	0	0	0.000807645712747341	0.0253784505788067	-2.72727272727273	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0085100.v1.1	0	0	1	0	1146	363	0	0	0.000872600349040141	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0085900.v1.1	0	0	1	2	277	92	0	0	0.0036101083032491	0.0217391304347826	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0089000.v1.1	0	0	6	10	4102.66666666664	1315.33333333333	0	0	0.00146246343841405	0.00760263558033454	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0089300.v1.1	0	0	3	2	1045.33333333333	310.666666666666	0	0	0.00286989795918368	0.00643776824034335	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0090700.v1.1	0	0	3	8	1383.33333333334	401.666666666666	0	0	0.00216867469879518	0.0199170124481328	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0091700.v1.1	0	0	2	0	975.499999999998	302.5	0	0	0.00205023065094824	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0094100.v1.1	0	0	0	1	382	137	0	0	0	0.0072992700729927	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0102400.v1.1	0	0	3	0	739.166666666666	238.833333333334	0	0	0.00405862457722661	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0103100.v1.1	0	0	24	8	2719	1022	0	0	0.00882677454946672	0.00782778864970643	-15	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0108000.v1.1	0	0	0	0	1199.5	357.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0110200.v1.1	0.0465116279069768	0	1.97674418604651	1	963.17441860465	329.825581395349	4.82899327562688e-05	0	0.00205232214214142	0.00303190551736295	0.0151433207138994	0.0454299621416983	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0111200.v1.1	0	0	10	12	491.333333333334	177.666666666667	0	0	0.0203527815468114	0.0675422138836773	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0113900.v1.1	0	0	0	0	406.666666666667	118.333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0114600.v1.1	0	0	7	5	1908.83333333334	581.166666666666	0	0	0.00366716144241682	0.00860338399770577	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0115100.v1.1	0	0	0	0	257.833333333333	81.1666666666666	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0115300.v1.1	0	0	0	0	258.166666666667	80.8333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0115600.v1.1	0	0	1	0	997.333333333331	343.666666666666	0	0	0.00100267379679145	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0119700.v1.1	0	0	0	0	665.333333333333	252.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0121600.v1.1	0	0	0	0	486	177	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0122600.v1.1	0	0	5	4	1576.33333333334	460.666666666666	0	0	0.00317191795305561	0.00868306801736615	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0123900.v1.1	0	0	0	0	167.333333333333	48.6666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0124100.v1.1	0.102418207681366	0	6.94736842105263	5	1801	541.999999999999	5.68674112611691e-05	0	0.00385750606388263	0.00922509225092252	0.00767099936075007	0.0997229916897509	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0125700.v1.1	0	0	1	0	559	161	0	0	0.00178890876565295	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0127400.v1.1	0	0	0	2	1714.33333333334	547.666666666666	0	0	0	0.0036518563603165	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0128000.v1.1	0	0	0	1	901.666666666665	310.333333333334	0	0	0	0.00322234156820623	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0128800.v1.1	0	0	5	2	648	210	0	0	0.00771604938271605	0.00952380952380952	0	*	*
