file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_AS17.vcf	Brahy.S08G0000800.v1.1	0	0	3	0	696.5	185.5	0	0	0.00430725053840632	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0001100.v1.1	0	0	6	34	2786.33333333333	789.666666666668	0	0	0.00215336762770667	0.0430561418319966	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0001500.v1.1	0	0	0	1	434.666666666667	171.333333333333	0	0	0	0.00583657587548638	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0005400.v1.1	0	0	1	2	683.333333333333	216.666666666667	0	0	0.00146341463414634	0.00923076923076922	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0005700.v1.1	0	0	5	2	1844.33333333334	600.666666666667	0	0	0.00271100668714982	0.00332963374028857	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0007600.v1.1	0.05	0	10.975	8	1507.85833333334	517.141666666665	3.31596138010312e-05	0	0.00727853522932635	0.0154696488711991	0.0024375	0.0487500000000001	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0009000.v1.1	0	0	4	2	851.833333333332	294.166666666667	0	0	0.0046957542555273	0.00679886685552408	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0009800.v1.1	0.674122807017544	0.125	19.8421052631579	10.725	460.330263157895	145.669736842105	0.00146443295383844	0.000858105483745676	0.0431040643016598	0.073625450505379	0.0236032180574792	0.212705159279778	0.1171875
temp_vcf4_SM_AS17.vcf	Brahy.S08G0011100.v1.1	0	0	2	1	577	221	0	0	0.00346620450606586	0.00452488687782805	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0011800.v1.1	0	0	7	3	914.999999999998	291	0	0	0.00765027322404373	0.0103092783505155	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0012200.v1.1	0	0	0	2	187	65	0	0	0	0.0307692307692308	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0012500.v1.1	0	0	9	7	674.833333333333	234.166666666667	0	0	0.0133366263274883	0.0298932384341637	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0012700.v1.1	0	0	1	0	552.666666666667	218.333333333333	0	0	0.00180940892641737	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0014000.v1.1	0	0	2	1	863.666666666665	258.333333333334	0	0	0.00231570822076419	0.00387096774193548	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0014100.v1.1	0	0	2	0	398	145	0	0	0.0050251256281407	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0015800.v1.1	0	0.443076923076923	0	0.307692307692308	1183.5	406.499999999999	0	0.00108998013057054	0	0.000756930646229541	0.42603550295858	*	0.42603550295858
temp_vcf4_SM_AS17.vcf	Brahy.S08G0016800.v1.1	0	0	6	20	2759	823.000000000003	0	0	0.00217470097861544	0.0243013365735115	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0017200.v1.1	0	0	1	3	625.833333333333	232.166666666667	0	0	0.00159786950732357	0.0129217516152189	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0017800.v1.1	0	0	3	3	2755.99999999999	814.000000000003	0	0	0.00108853410740203	0.00368550368550367	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0019600.v1.1	0	0	3	5	1171.66666666667	382.333333333332	0	0	0.00256045519203414	0.013077593722755	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0020300.v1.1	0	0	1	0	932.166666666665	282.833333333333	0	0	0.00107276953334526	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S08G0022400.v1.1	0	0	5	1	1332.16666666667	404.833333333332	0	0	0.00375328412360815	0.00247015232606011	0	*	*
