bhdid	ns_bh	bsid	ns_bs	atid	description
Brahy.D01G0211700	0.925480972	Brast02G213900	0.70151081	AT1G69440	AGO7
Brahy.D01G0248700	0.176334125	Brast06G027800	0.539279938	AT3G63470	scpl40
Brahy.D01G0285000	1.185921171	Brast06G060700	0.383020718	AT5G15650	ATRGP2
Brahy.S06G0063000	1.19657155	Brast06G060700	0.383020718	AT5G15650	ATRGP2
Brahy.D01G0285100	0.199670796	Brast06G060800	0.462292617	AT1G13680	
Brahy.S06G0063100	0.329165853	Brast06G060800	0.462292617	AT1G13680	
Brahy.D01G0332800	0.649741704	Brast06G103700	0.123016634	AT4G05200	CRK25
Brahy.D01G0394300	0.207024197	Brast07G237300	2.428768736	AT5G40820	ATATR
Brahy.D01G0425900	1.345221672	Brast07G214400	0.229028547	AT1G16300	GAPCP-2
Brahy.D01G0505600	0.355451006	Brast07G153000	1.215472082	AT1G69850	AIT1
Brahy.D01G0512100	0.649539956	Brast07G147200	0.704480427	AT2G19450	ABX45
Brahy.S07G0163900	0.902938963	Brast07G147200	0.704480427	AT2G19450	ABX45
Brahy.D01G0569300	0.678504111	Brast07G104900	0.137094022	AT4G11000	
Brahy.S07G0113400	0.539317145	Brast07G104900	0.137094022	AT4G11000	
Brahy.S06G0034400	1.079964899	Brast06G033000	0.447042707	AT4G11000	
Brahy.S07G0114500	0.928929159	Brast07G105800	0.835825719	AT4G11000	
Brahy.D01G0753700	0.185264524	Brast06G198200	1.050386214	AT1G25450	CER60
Brahy.D01G0803400	1.081767506	Brast06G232800	0.705606933	AT1G21230	WAK5
Brahy.S07G0252900	0.033573764	Brast07G228000	0.304382147	AT1G21230	WAK5
Brahy.D01G0839200	0.876153548	Brast02G198500	0.148603507	AT2G28630	KCS12
Brahy.D01G0994300	0.455430291	Brast02G066000	0.684242325	AT2G26250	FDH
Brahy.D01G1037000	0.391077322	Brast02G031600	0.528560318	AT2G46660	CYP78A6
Brahy.D02G0004400	0.677681193	Brast01G414700	0.497356664	AT5G05660	ATNFXL2
Brahy.D02G0148500	0.564005156	Brast01G294600	0.790836685	AT2G19130	
Brahy.D02G0215600	0.363179916	Brast08G013300	1.808810624	AT1G18530	CML15
Brahy.D02G0329700	0.528952261	Brast08G101100	0.882683487	AT2G38090	
Brahy.D02G0378300	0.658025328	Brast08G137200	0.993608919	AT4G33030	SQD1
Brahy.D02G0508100	0.376225272	Brast08G231700	2.293596702	AT3G55950	ATCRR3
Brahy.S10G0202100	0.07889166	Brast10G182100	0.034817486	AT3G55950	ATCRR3
Brahy.D02G0602500	0.048987389	Brast01G201100	0.285845774	AT2G26900	BASS2
Brahy.D02G0603100	0.836136714	Brast01G200400	0.506369473	AT1G80300	ATNTT1
Brahy.D02G0617900	0.888340559	Brast01G188900	1.732163155	AT5G03170	ATFLA11
Brahy.D02G0623700	0.401432889	Brast01G184400	0.502036031	AT4G21700	
Brahy.S01G0196100	0.683807088	Brast01G184400	0.502036031	AT4G21700	
Brahy.D02G0660900	0.104451845	Brast01G151300	0.845198953	AT1G51940	AtLYK3
