file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_ES11.vcf	Brast03G002000.v0.1.stacei	0	0	6	4	1761.83333333334	506.166666666665	0	0	0.00340554346797842	0.00790253539677316	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G002300.v0.1.stacei	0	0	0	0	716.333333333333	222.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G004100.v0.1.stacei	0.506871320072765	0	1.84484228473998	1.88276836158192	764.663121745873	282.336878254127	0.000662868792358497	0	0.00241262097291661	0.00666851731599608	0.124657695005388	0.124657695005388	*
temp_vcf4_SM_ES11.vcf	Brast03G005200.v0.1.stacei	0	0	1.6969696969697	30.8894562988937	3528.16143049318	1067.06054962505	0	0	0.000480978472896148	0.0289481757241872	-2.29394874015381	*	*
temp_vcf4_SM_ES11.vcf	Brast03G005600.v0.1.stacei	0	0	0	0	195.666666666667	62.3333333333334	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G005800.v0.1.stacei	0	0	1	1	881.499999999999	273.5	0	0	0.00113442994895065	0.0036563071297989	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G005900.v0.1.stacei	0	0	1	0	970.999999999998	301	0	0	0.00102986611740474	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G006000.v0.1.stacei	0	0	0	0	356.333333333333	147.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G008000.v0.1.stacei	0	0.0840898232202579	0	1.95652173913043	643.833333333333	214.166666666667	0	0.000392637306865017	0	0.00913551006597868	0.0415879017013232	*	0.0831758034026464
temp_vcf4_SM_ES11.vcf	Brast03G010700.v0.1.stacei	0.04	0	4	3.98	656.166666666666	204.833333333334	6.09601219202439e-05	0	0.00609601219202439	0.0194304312449145	0.00490000000000002	0.0392000000000001	*
temp_vcf4_SM_ES11.vcf	Brast03G014500.v0.1.stacei	0	0	2	2	886.166666666665	298.833333333333	0	0	0.00225691179236412	0.00669269380925823	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G015500.v0.1.stacei	2.63011563106465	1.13099216614241	13.0045622167443	13.0154468813944	754.836259396205	235.283740603794	0.00348435253119462	0.00480692870336053	0.0172283221094158	0.0553180889082843	0.126974321961289	0.151250879274345	0.138873798651688
temp_vcf4_SM_ES11.vcf	Brast03G017300.v0.1.stacei	0	0	0	0	812.666666666666	273.333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G018600.v0.1.stacei	0	0	0	0	1226.83333333333	438.166666666666	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G018900.v0.1.stacei	0.331870061457419	0.767166625028797	0.205882352941176	0.800776287932251	1446.5	461.499999999999	0.000229429700281658	0.00166233288196923	0.000142331388137695	0.00173515988717715	0.362517662390964	0.326989619377163	0.380281683897865
temp_vcf4_SM_ES11.vcf	Brast03G019200.v0.1.stacei	0	0	0	0	323.5	114.5	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G019700.v0.1.stacei	0	0	0	0	5829.00000000005	1994.99999999997	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G022700.v0.1.stacei	0	0	0	0	1007.33333333333	354.666666666666	0	0	0	0	*	*	*
temp_vcf4_SM_ES11.vcf	Brast03G026500.v0.1.stacei	4.24416048093139	0.285238059521131	12.1573807066883	5.70986562457151	2878.39204353948	825.883818529478	0.00147449006832039	0.000345373105903697	0.0042236708977762	0.00691364268976497	0.168400684492328	0.241073339955652	0.140085508777224
temp_vcf4_SM_ES11.vcf	Brast03G027600.v0.1.stacei	0.193153153153153	0	0	0.893333333333333	1022.59555555555	366.404444444444	0.000188885187407467	0	0	0.00243810725245934	0.190577777777778	0.190577777777778	*
temp_vcf4_SM_ES11.vcf	Brast03G028900.v0.1.stacei	0	0	4	1	2258.66666666667	672.333333333334	0	0	0.00177095631641086	0.0014873574615766	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G029300.v0.1.stacei	0	0	1	0	1860	735.000000000001	0	0	0.00053763440860215	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G030200.v0.1.stacei	0	0	1	0	520.666666666667	175.333333333333	0	0	0.00192061459667093	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G033300.v0.1.stacei	0	0	0	1	804.166666666666	293.833333333333	0	0	0	0.00340328984685196	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G033400.v0.1.stacei	0	0	2	0	296	96.9999999999999	0	0	0.00675675675675676	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G034200.v0.1.stacei	0.0694980694980695	0	8.96428571428572	4	2236.5	715.500000000001	3.10744777545582e-05	0	0.00400817604036919	0.00559049615653388	0.005298273155416	0.068877551020408	*
temp_vcf4_SM_ES11.vcf	Brast03G034300.v0.1.stacei	0.17631501616221	0	2.90361445783133	2	984.833333333331	299.166666666667	0.000179030309184847	0	0.00294833080842579	0.00668523676880222	0.0348381477718101	0.174190738859051	*
temp_vcf4_SM_ES11.vcf	Brast03G034900.v0.1.stacei	0	0	1	0	669.333333333333	203.666666666667	0	0	0.00149402390438247	0	0	*	*
temp_vcf4_SM_ES11.vcf	Brast03G035200.v0.1.stacei	0.30025974025974	0.0799086757990869	11.785917096602	6	2398.250995671	712.749004329006	0.000125199464443767	0.000112113346092029	0.00491438015365214	0.00841811067228148	0.0207361520758864	0.147218350480688	0.0788140364045788
temp_vcf4_SM_ES11.vcf	Brast03G039500.v0.1.stacei	0	0	0	1	1109.16666666666	396.833333333333	0	0	0	0.00251994960100799	0	*	*
