file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_AS17.vcf	Brahy.D05G0004000.v1.1	0	0	2	2	715	245	0	0	0.0027972027972028	0.00816326530612244	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0006500.v1.1	0	0	1	0	810.333333333332	278.666666666667	0	0	0.00123406005758947	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0007300.v1.1	0	0	13	17	930.999999999999	266	0	0	0.0139634801288937	0.0639097744360901	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0007400.v1.1	0	0	10	8	1145.16666666667	408.833333333332	0	0	0.00873235336923302	0.0195678760701183	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0008500.v1.1	3.2061467671268	1.15238095238095	3.47344497607655	2.44047619047619	1271.34642598231	387.36420907641	0.00252185140226399	0.00297492882764922	0.00273209953250373	0.00630021084367862	0.343602740193829	0.437501030196195	0.354780801209373
temp_vcf4_SM_AS17.vcf	Brahy.D05G0012700.v1.1	0	0	0	0	482.333333333334	162.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0014300.v1.1	0	0	0	1	1008.5	356.5	0	0	0	0.00280504908835905	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0021400.v1.1	0	0	8	8	1280	424	0	0	0.00625	0.0188679245283019	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0024800.v1.1	0	0	7	1	685	212	0	0	0.0102189781021898	0.00471698113207547	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0025800.v1.1	0	0	7	2	1076.5	363.5	0	0	0.00650255457501163	0.00550206327372765	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0025900.v1.1	0	0	3	3	779.833333333332	243.166666666667	0	0	0.0038469758495405	0.0123372172721042	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0026500.v1.1	0	0	0	5	493.166666666667	142.833333333333	0	0	0	0.0350058343057176	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0027000.v1.1	0	0	0	0	1662.83333333334	467.166666666665	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0029100.v1.1	0	0	0	0	1729.33333333334	529.666666666665	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0030400.v1.1	0	0	9	5	2380.5	712.500000000001	0	0	0.00378071833648393	0.00701754385964911	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0033800.v1.1	0	0	5	5	1228.33333333333	418.666666666666	0	0	0.00407055630936228	0.0119426751592357	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0036000.v1.1	0	0	1	1	1096.66666666667	355.333333333333	0	0	0.000911854103343466	0.00281425891181989	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0036300.v1.1	0	0	2	0	1053	351	0	0	0.00189933523266857	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0039200.v1.1	0	0	0	0	1300.5	433.499999999999	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0042600.v1.1	0	0	2	2	1761.16666666667	527.833333333332	0	0	0.0011356108640106	0.00378907483422799	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.D05G0043400.v1.1	1.50604632096741	2.7283020553178	32.6554119366078	72.0964995009338	4229.17417278493	1255.70386837235	0.000356108842870303	0.00217272728390512	0.00772146300966937	0.0574152085669575	-2.31925398768931	0.432906692218589	0.226843100189036
