bhdid	ns_bh	bsid	ns_bs	atid	gene name	description	
Brahy.D04G0176000	1.262199724	Brast10G171800	1.248614552	AT1G04110	AtSDD1	affecting stomatal development and distribution	
Brahy.S07G0166000	0.146734732	Brast07G148900	1.667777584	AT1G10970	ATZIP4	copper	
Brahy.S05G0241300	0.268565201	Brast05G218900	1.524978334	AT1G13110	CYP71B7	immune response	
Brahy.S06G0063700	1.259071255	Brast06G061400	0.5997213	AT1G13700	PGL1	involved in the oxidative pentose-phosphate pathway (OPPP)	
Brahy.S05G0161200	0.580039026	Brast05G143300	2.137372727	AT1G14690	MAP65-7		
Brahy.S07G0194300	1.652405349	Brast07G173800	0.309776497	AT1G15520	ABCG40	ABC transporter family involved in ABA transport and resistance to lead	
Brahy.S05G0114500	0.774659185	Brast05G101200	1.855586051	AT1G15520	ABCG40	ABC transporter family involved in ABA transport and resistance to lead	
Brahy.D01G0425900	1.345221672	Brast07G214400	0.229028547	AT1G16300	GAPCP-2		
Brahy.D02G0215600	0.363179916	Brast08G013300	1.808810624	AT1G18530	CML15	Plant-pathogen interaction	
Brahy.D01G0803400	1.081767506	Brast06G232800	0.705606933	AT1G21230	WAK5		
Brahy.S04G0156000	1.801816577	Brast04G146200	1.136742507	AT1G21240	WAK3	"immune response, induced by SA"	
Brahy.D03G0542300	0.502742043	Brast03G270000	1.387762941	AT1G21240	WAK3	"immune response, induced by SA"	
Brahy.D05G0365500	0.842007904	Brast09G269600	1.042682929	AT1G22610	MCTP6	"immune response, induced by SA"	
Brahy.D01G0753700	0.185264524	Brast06G198200	1.050386214	AT1G25450	CER60	Plant-pathogen interaction	
Brahy.D03G0405500	1.587830832	Brast03G164300	3.088007219	AT1G28100			
Brahy.S03G0232000	0.394875245	Brast03G210400	3.030075084	AT1G32250		Plant-pathogen interaction	Calmodulin like protein localized in the plant vacuolar compartment with a function of binding and modifying the activity of a tonoplast transporter (AtNHX1) from within the vacuole in a Ca+2- and pH-dependent manner
Brahy.D03G0466300	1.297400105	Brast03G210400	3.030075084	AT1G32250		Plant-pathogen interaction	Calmodulin like protein localized in the plant vacuolar compartment with a function of binding and modifying the activity of a tonoplast transporter (AtNHX1) from within the vacuole in a Ca+3- and pH-dependent manner
Brahy.D03G0463600	1.804095149	Brast03G208300	1.646631342	AT1G32640	ATMYC2	"Positively regulates flavonoid biosynthesis, resistance to insects, and response to oxidative stress."	
Brahy.D04G0381800	1.660736467	Brast05G007600	0.014792986	AT1G34300			
Brahy.D03G0518300	0.640845431	Brast03G251700	1.914932192	AT1G37130	ATNR2	Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica.	
Brahy.S03G0122100	0.628674708	Brast03G110700	1.652876064	AT1G44800	SIAR1		
Brahy.S09G0179500	1.62169389	Brast09G173700	0.145422407	AT1G48410	AGO1	immune response	Encodes an RNA Slicer that selectively recruits microRNAs and siRNAs.
Brahy.S01G0231500	0.945797922	Brast01G216300	1.692034461	AT1G53300	TTL1	The TTL family is required for osmotic stress tolerance and male sporogenesis.	
Brahy.S04G0262000	5.154708017	Brast04G242300	0.339962765	AT1G53440		immune response	
