atid	symbol	hvid	chr	start	end
AT1G52870		HORVU1Hr1G022840	chr1H	98750001	99750000
AT3G03050	ATCSLD3	HORVU1Hr1G022900	chr1H	98750001	99750000
AT1G14880	AtPCR1	HORVU2Hr1G002720	chr2H	5250001	6250000
AT2G19130		HORVU2Hr1G002830	chr2H	5250001	6250000
AT2G46950	CYP709B2	HORVU2Hr1G002570	chr2H	5250001	6250000
AT2G46950	CYP709B2	HORVU2Hr1G002650	chr2H	5250001	6250000
AT3G09220	LAC7	HORVU2Hr1G002520	chr2H	5250001	6250000
AT3G48700	ATCXE13	HORVU2Hr1G002620	chr2H	5250001	6250000
AT4G23180	CRK10	HORVU2Hr1G002690	chr2H	5250001	6250000
AT4G34500		HORVU2Hr1G002660	chr2H	5250001	6250000
AT4G36910	CBSX1	HORVU2Hr1G002600	chr2H	5250001	6250000
AT4G37680	HHP4	HORVU2Hr1G002630	chr2H	5250001	6250000
AT4G38280		HORVU2Hr1G002710	chr2H	5250001	6250000
AT4G39490	CYP96A10	HORVU2Hr1G002580	chr2H	5250001	6250000
AT5G10530	LecRK-IX.1	HORVU2Hr1G002750	chr2H	5250001	6250000
AT5G13930	ATCHS	HORVU2Hr1G002640	chr2H	5250001	6250000
AT5G48930	HCT	HORVU2Hr1G002500	chr2H	5250001	6250000
AT1G03560		HORVU2Hr1G116650	chr2H	737750001	738750000
AT1G17630	CWM1	HORVU2Hr1G116530	chr2H	737750001	738750000
AT1G63380		HORVU2Hr1G116450	chr2H	737750001	738750000
AT2G45560	CYP76C1	HORVU2Hr1G116670	chr2H	737750001	738750000
AT3G14470		HORVU2Hr1G116370	chr2H	737750001	738750000
AT4G21445	CRR9	HORVU2Hr1G116660	chr2H	737750001	738750000
AT4G32300	SD2-5	HORVU2Hr1G116440	chr2H	737750001	738750000
AT5G13780	A10	HORVU2Hr1G116630	chr2H	737750001	738750000
AT5G13780	A10	HORVU2Hr1G116620	chr2H	737750001	738750000
AT5G13780	A10	HORVU2Hr1G116570	chr2H	737750001	738750000
AT5G13780	A10	HORVU2Hr1G116600	chr2H	737750001	738750000
AT5G13930	ATCHS	HORVU2Hr1G116390	chr2H	737750001	738750000
AT5G54260	ATMRE11	HORVU2Hr1G116540	chr2H	737750001	738750000
AT1G10330		HORVU3Hr1G024810	chr3H	95750001	96750000
AT2G19130		HORVU3Hr1G024650	chr3H	95750001	96750000
AT3G24255		HORVU3Hr1G024720	chr3H	95750001	96750000
AT3G25720		HORVU3Hr1G024700	chr3H	95750001	96750000
AT4G32360		HORVU3Hr1G024630	chr3H	95750001	96750000
AT5G06570		HORVU3Hr1G024660	chr3H	95750001	96750000
AT5G67570	DG1	HORVU3Hr1G024640	chr3H	95750001	96750000
AT1G09620		HORVU3Hr1G032730	chr3H	169000001	170000000
AT1G15370	LOLITA	HORVU3Hr1G032710	chr3H	169000001	170000000
AT1G61110	ac025	HORVU3Hr1G032680	chr3H	169000001	170000000
AT2G28130	ASAP1	HORVU3Hr1G032750	chr3H	169000001	170000000
AT2G31580	ICA1	HORVU3Hr1G032740	chr3H	169000001	170000000
AT2G42760		HORVU3Hr1G032760	chr3H	169000001	170000000
AT5G26610		HORVU3Hr1G032700	chr3H	169000001	170000000
AT1G16470	PAB1	HORVU3Hr1G068630	chr3H	519250001	520250000
AT1G51870		HORVU3Hr1G068540	chr3H	519250001	520250000
AT2G19900	ATDP-ME1	HORVU3Hr1G068570	chr3H	519250001	520250000
AT2G36890	ATMYB38	HORVU3Hr1G068550	chr3H	519250001	520250000
AT3G18990	REM39	HORVU3Hr1G068580	chr3H	519250001	520250000
AT3G28345	ABCB15	HORVU3Hr1G068650	chr3H	519250001	520250000
AT3G53310		HORVU3Hr1G068640	chr3H	519250001	520250000
AT4G29130	ATHXK1	HORVU3Hr1G068620	chr3H	519250001	520250000
AT4G29540	AtLpxA	HORVU3Hr1G068520	chr3H	519250001	520250000
AT5G25880	ATDP-ME3	HORVU3Hr1G068600	chr3H	519250001	520250000
AT5G28060	RPS24B	HORVU3Hr1G068610	chr3H	519250001	520250000
AT1G71450	FUF1	HORVU4Hr1G015350	chr4H	58750001	59750000
AT1G71500	LIL8	HORVU4Hr1G015330	chr4H	58750001	59750000
AT2G26330	ER	HORVU4Hr1G015470	chr4H	58750001	59750000
AT2G30020	AP2C1	HORVU4Hr1G015370	chr4H	58750001	59750000
AT3G50210		HORVU4Hr1G015340	chr4H	58750001	59750000
