tdid	atid	chr	start	end
TRIDC1AG013170	AT5G26170	chr1A	86500001	88500000
TRIDC1AG013150	AT4G33080	chr1A	86500001	88500000
TRIDC1AG013120	AT5G57040	chr1A	86500001	88500000
TRIDC2BG043660	AT4G33650	chr2B	419000001	421000000
TRIDC3BG002240	AT1G66920	chr3B	6000001	8000000
TRIDC3BG002390	AT1G67000	chr3B	6000001	8000000
TRIDC3BG002130	AT5G20280	chr3B	6000001	8000000
TRIDC3BG002270	AT1G67000	chr3B	6000001	8000000
TRIDC3BG002360	AT1G66920	chr3B	6000001	8000000
TRIDC3BG085950	AT1G21240	chr3B	829500001	831500000
TRIDC2BG019790	AT4G14280	chr2B	131500001	133500000
TRIDC2BG043740	AT5G47920	chr2B	419000001	421000000
TRIDC2AG076940	AT3G17670	chr2A	749000001	751000000
TRIDC2BG043730	AT3G48530	chr2B	419000001	421000000
TRIDC1BG007100	AT2G30050	chr1B	40500001	42500000
TRIDC2BG043690	AT2G28160	chr2B	419000001	421000000
TRIDC3BG085760	AT3G14470	chr3B	829500001	831500000
TRIDC1BG007130	AT5G01150	chr1B	40500001	42500000
TRIDC2BG043700	AT1G67440	chr2B	419000001	421000000
TRIDC3BG085710	AT3G46710	chr3B	829500001	831500000
TRIDC2BG043650	AT1G67480	chr2B	419000001	421000000
TRIDC3BG001900	AT5G01110	chr3B	6000001	8000000
TRIDC1BG006900	AT4G14465	chr1B	40500001	42500000
TRIDC3BG002190	AT4G32300	chr3B	6000001	8000000
TRIDC1BG007040	AT3G63380	chr1B	40500001	42500000
TRIDC3BG001970	AT5G22500	chr3B	6000001	8000000
TRIDC1BG007220	AT1G69890	chr1B	40500001	42500000
TRIDC1BG007060	AT3G09220	chr1B	40500001	42500000
TRIDC2AG077000	AT1G26761	chr2A	749000001	751000000
TRIDC2AG015250	AT5G19500	chr2A	75000001	77000000
TRIDC2AG040610	AT3G01860	chr2A	463500001	465500000
TRIDC1BG007120	ATCG00770	chr1B	40500001	42500000
TRIDC2BG006350	AT5G24080	chr2B	29000001	31000000
TRIDC3BG001880	AT1G22700	chr3B	6000001	8000000
TRIDC3BG085960	AT1G21250	chr3B	829500001	831500000
TRIDC2AG076910	AT3G18630	chr2A	749000001	751000000
TRIDC3BG001810	AT2G24450	chr3B	6000001	8000000
TRIDC3BG002450	AT5G38260	chr3B	6000001	8000000
TRIDC3BG002470	AT5G38260	chr3B	6000001	8000000
TRIDC3BG002180	AT4G32300	chr3B	6000001	8000000
TRIDC3BG001730	AT3G04630	chr3B	6000001	8000000
TRIDC2AG076980	AT5G54960	chr2A	749000001	751000000
TRIDC3BG001920	AT5G38260	chr3B	6000001	8000000
TRIDC2AG015090	AT4G38190	chr2A	75000001	77000000
TRIDC3BG001650	AT1G65680	chr3B	6000001	8000000
TRIDC2AG076640	AT5G11720	chr2A	749000001	751000000
TRIDC5BG037490	AT2G24130	chr5B	405500001	407500000
TRIDC3BG085820	AT3G46640	chr3B	829500001	831500000
TRIDC3BG085920	AT5G59520	chr3B	829500001	831500000
TRIDC3BG002490	AT3G47570	chr3B	6000001	8000000
TRIDC2AG076800	AT2G02220	chr2A	749000001	751000000
TRIDC2AG076920	AT1G10240	chr2A	749000001	751000000
TRIDC3BG001790	ATCG00130	chr3B	6000001	8000000
TRIDC5BG003960	AT2G26580	chr5B	21000001	23000000
TRIDC2AG076960	AT1G08190	chr2A	749000001	751000000
TRIDC5BG003760	AT3G54750	chr5B	21000001	23000000
TRIDC2AG076860	AT1G10820	chr2A	749000001	751000000
TRIDC3BG001770	AT5G61290	chr3B	6000001	8000000
TRIDC2AG076990	AT5G01320	chr2A	749000001	751000000
TRIDC2AG076690	AT5G11720	chr2A	749000001	751000000
TRIDC3BG001950	AT5G37300	chr3B	6000001	8000000
TRIDC2AG076880	AT3G04720	chr2A	749000001	751000000
TRIDC2AG040550	AT2G31740	chr2A	463500001	465500000
TRIDC3BG085790	AT3G29575	chr3B	829500001	831500000
TRIDC2AG076730	AT1G21240	chr2A	749000001	751000000
TRIDC2BG006490	AT4G23200	chr2B	29000001	31000000
TRIDC3BG001960	AT5G22500	chr3B	6000001	8000000
TRIDC2AG076900	AT5G24830	chr2A	749000001	751000000
TRIDC3BG001750	ATMG00510	chr3B	6000001	8000000
TRIDC2AG076790	AT2G02220	chr2A	749000001	751000000
TRIDC2AG076660	AT5G11720	chr2A	749000001	751000000
TRIDC7BG053740	AT1G18250	chr7B	598500001	600500000
TRIDC3BG002170	AT4G32300	chr3B	6000001	8000000
TRIDC2AG076700	AT3G29765	chr2A	749000001	751000000
TRIDC5BG003990	AT2G26730	chr5B	21000001	23000000
TRIDC2AG076630	AT5G61160	chr2A	749000001	751000000
TRIDC2BG006310	AT3G07040	chr2B	29000001	31000000
TRIDC2AG076890	AT3G57040	chr2A	749000001	751000000
TRIDC2BG006360	AT1G06640	chr2B	29000001	31000000
TRIDC2AG076970	AT4G01990	chr2A	749000001	751000000
TRIDC7BG053770	AT1G50640	chr7B	598500001	600500000
TRIDC2AG076680	AT1G68560	chr2A	749000001	751000000
TRIDC2AG076850	AT4G31080	chr2A	749000001	751000000
TRIDC2AG076760	AT4G39900	chr2A	749000001	751000000
TRIDC7BG053810	AT5G65560	chr7B	598500001	600500000
TRIDC5BG000840	AT1G47290	chr5B	5000001	7000000
TRIDC2AG014970	AT1G65260	chr2A	75000001	77000000
TRIDC5BG003900	AT5G05400	chr5B	21000001	23000000
TRIDC2AG076740	AT2G02220	chr2A	749000001	751000000
TRIDC2AG015320	AT2G32480	chr2A	75000001	77000000
TRIDC2AG014990	AT3G26770	chr2A	75000001	77000000
TRIDC5BG001140	AT3G14470	chr5B	5000001	7000000
TRIDC2AG040570	AT3G25070	chr2A	463500001	465500000
TRIDC2AG015030	AT5G56440	chr2A	75000001	77000000
TRIDC2AG076950	AT2G03690	chr2A	749000001	751000000
TRIDC7BG053850	AT1G28460	chr7B	598500001	600500000
TRIDC2AG014960	AT3G26760	chr2A	75000001	77000000
TRIDC7BG053690	AT1G72300	chr7B	598500001	600500000
TRIDC7BG053800	AT5G13780	chr7B	598500001	600500000
TRIDC2AG076620	AT5G11720	chr2A	749000001	751000000
TRIDC5BG001030	AT3G14470	chr5B	5000001	7000000
TRIDC2AG040520	AT3G07170	chr2A	463500001	465500000
TRIDC5BG001150	AT4G00960	chr5B	5000001	7000000
TRIDC2AG014980	AT5G42510	chr2A	75000001	77000000
TRIDC2AG076830	AT3G21865	chr2A	749000001	751000000
TRIDC2BG068150	AT4G17790	chr2B	660500001	662500000
TRIDC2AG077040	AT4G01990	chr2A	749000001	751000000
TRIDC2AG077050	AT5G06740	chr2A	749000001	751000000
TRIDC5BG037520	AT5G17420	chr5B	405500001	407500000
TRIDC5BG003890	AT2G04160	chr5B	21000001	23000000
TRIDC2BG068230	AT2G35410	chr2B	660500001	662500000
TRIDC5BG001240	AT4G34610	chr5B	5000001	7000000
TRIDC5BG003670	AT3G54750	chr5B	21000001	23000000
TRIDC2BG068220	AT1G32700	chr2B	660500001	662500000
TRIDC5BG001260	AT3G45140	chr5B	5000001	7000000
TRIDC5BG001100	AT3G46290	chr5B	5000001	7000000
TRIDC2AG015240	AT2G40840	chr2A	75000001	77000000
TRIDC2AG040600	AT2G43710	chr2A	463500001	465500000
TRIDC7BG053860	AT5G48810	chr7B	598500001	600500000
TRIDC2AG015170	AT5G44400	chr2A	75000001	77000000
TRIDC5BG003940	AT5G62310	chr5B	21000001	23000000
TRIDC5BG001160	AT1G21210	chr5B	5000001	7000000
TRIDC5BG037460	AT5G10820	chr5B	405500001	407500000
