file	product	piN	piS	pin/pis
temp_vcf4_SM_ES11.vcf	Brast03G018100.v0.1.stacei	0.001769931	0.004342267	0.407605225
temp_vcf4_SM_ES11.vcf	Brast03G020600.v0.1.stacei	0.000615225	0.000597759	1.029220019
temp_vcf4_SM_ES11.vcf	Brast03G024800.v0.1.stacei	0.001183602	0.001289522	0.917861651
temp_vcf4_SM_ES11.vcf	Brast03G025000.v0.1.stacei	0.00015694	0.000437564	0.358668401
temp_vcf4_SM_ES11.vcf	Brast03G032400.v0.1.stacei	0.000153535	0.000315	0.487414098
temp_vcf4_SM_ES11.vcf	Brast03G153800.v0.1.stacei	0.000205984	0.001662004	0.123937202
temp_vcf4_SM_ES11.vcf	Brast03G164900.v0.1.stacei	0.000138986	0.001031145	0.134787972
temp_vcf4_SM_ES11.vcf	Brast03G166800.v0.1.stacei	0.000547963	0.000749442	0.731160336
temp_vcf4_SM_ES11.vcf	Brast03G168000.v0.1.stacei	0.000438723	0.000722286	0.607408679
temp_vcf4_SM_ES11.vcf	Brast03G170000.v0.1.stacei	0.000797775	0.001621418	0.492023088
temp_vcf4_SM_ES11.vcf	Brast03G179800.v0.1.stacei	0.003046834	0.011080476	0.274973228
temp_vcf4_SM_ES11.vcf	Brast03G187000.v0.1.stacei	0.000373113	0.002346674	0.158996708
temp_vcf4_SM_ES11.vcf	Brast03G192800.v0.1.stacei	0.000403797	0.000597789	0.675483943
temp_vcf4_SM_ES11.vcf	Brast03G198700.v0.1.stacei	0.003266137	0.002196067	1.487266486
temp_vcf4_SM_ES11.vcf	Brast03G200400.v0.1.stacei	0.000225214	0.000513205	0.438838522
temp_vcf4_SM_ES11.vcf	Brast03G202400.v0.1.stacei	0.000835295	0.008838381	0.094507657
temp_vcf4_SM_ES11.vcf	Brast03G202800.v0.1.stacei	0.00039529	0.000844207	0.468238951
temp_vcf4_SM_ES11.vcf	Brast03G205100.v0.1.stacei	0.000241325	0.001396017	0.172867029
temp_vcf4_SM_ES11.vcf	Brast03G206600.v0.1.stacei	0.001875929	0.021166838	0.088625842
temp_vcf4_SM_ES11.vcf	Brast03G208300.v0.1.stacei	0.000997439	0.000605745	1.646631342
temp_vcf4_SM_ES11.vcf	Brast03G208700.v0.1.stacei	0.000212351	0.003792233	0.055996252
temp_vcf4_SM_ES11.vcf	Brast03G229200.v0.1.stacei	0.000986771	0.002665563	0.370192208
temp_vcf4_SM_ES11.vcf	Brast03G239700.v0.1.stacei	0.000609665	0.000439478	1.387246591
temp_vcf4_SM_ES11.vcf	Brast03G244600.v0.1.stacei	9.07E-05	0.000215792	0.420286994
temp_vcf4_SM_ES11.vcf	Brast03G246500.v0.1.stacei	0.000574639	0.001761649	0.32619357
temp_vcf4_SM_ES11.vcf	Brast03G251700.v0.1.stacei	0.000709891	0.000370713	1.914932192
temp_vcf4_SM_ES11.vcf	Brast03G253300.v0.1.stacei	0.000325668	0.001840132	0.176980626
temp_vcf4_SM_ES11.vcf	Brast03G253900.v0.1.stacei	0.000419579	0.001595716	0.262940954
temp_vcf4_SM_ES11.vcf	Brast03G255600.v0.1.stacei	0.002142921	0.004793044	0.447089752
temp_vcf4_SM_ES11.vcf	Brast03G257000.v0.1.stacei	0.000763713	0.002774952	0.275216631
temp_vcf4_SM_ES11.vcf	Brast03G263500.v0.1.stacei	0.001287035	0.00053687	2.397295718
temp_vcf4_SM_ES11.vcf	Brast03G264300.v0.1.stacei	0.000578668	0.000231955	2.494743746
temp_vcf4_SM_ES11.vcf	Brast03G265100.v0.1.stacei	0.000154346	0.000923787	0.16708019
temp_vcf4_SM_ES11.vcf	Brast03G265600.v0.1.stacei	0.00054706	0.000873113	0.626562588
temp_vcf4_SM_ES11.vcf	Brast03G266800.v0.1.stacei	0.002507561	0.002679723	0.935753814
temp_vcf4_SM_ES11.vcf	Brast03G267100.v0.1.stacei	0.000457959	0.00172319	0.265762604
temp_vcf4_SM_ES11.vcf	Brast03G274300.v0.1.stacei	0.00084476	0.000172203	4.905613542
temp_vcf4_SM_ES11.vcf	Brast03G283100.v0.1.stacei	0.001189753	0.001307363	0.910040744
temp_vcf4_SM_ES11.vcf	Brast03G295900.v0.1.stacei	0.001595076	0.004589964	0.347513856
temp_vcf4_SM_ES11.vcf	Brast03G297500.v0.1.stacei	0.000345518	0.00059877	0.57704598
temp_vcf4_SM_ES11.vcf	Brast03G297800.v0.1.stacei	0.000347186	0.000380578	0.912258913
temp_vcf4_SM_ES13.vcf	Brast03G080400.v0.1.stacei	0.000234045	0.000380714	0.614753208
temp_vcf4_SM_ES13.vcf	Brast03G141100.v0.1.stacei	0.00054056	0.000902527	0.598940059
temp_vcf4_SM_ES13.vcf	Brast03G141200.v0.1.stacei	0.000761771	0.004837305	0.157478434
temp_vcf4_SM_ES13.vcf	Brast03G156800.v0.1.stacei	0.003036918	0.003312643	0.91676608
temp_vcf4_SM_ES13.vcf	Brast03G179900.v0.1.stacei	0.006197379	0.002676187	2.315749241
temp_vcf4_SM_ES13.vcf	Brast03G206600.v0.1.stacei	0.00039056	0.004663686	0.083744871
temp_vcf4_SM_ES13.vcf	Brast03G209400.v0.1.stacei	0.004167581	0.003185296	1.308381105
temp_vcf4_SM_ES13.vcf	Brast03G209600.v0.1.stacei	0.000935926	0.001584686	0.590606505
temp_vcf4_SM_ES13.vcf	Brast03G210400.v0.1.stacei	0.011255585	0.003714623	3.030075084
temp_vcf4_SM_ES13.vcf	Brast03G214100.v0.1.stacei	0.001206636	0.002455066	0.491488312
temp_vcf4_SM_ES13.vcf	Brast03G253900.v0.1.stacei	3.65E-05	0.000109176	0.33429276
temp_vcf4_SM_ES14.vcf	Brast03G014800.v0.1.stacei	0.000253439	0.001156577	0.219128252
temp_vcf4_SM_ES14.vcf	Brast03G020600.v0.1.stacei	2.02E-05	4.60E-05	0.438260273
temp_vcf4_SM_ES14.vcf	Brast03G036400.v0.1.stacei	3.53E-05	8.62E-05	0.408940281
temp_vcf4_SM_ES14.vcf	Brast03G037000.v0.1.stacei	0.000182661	0.000290366	0.629070099
temp_vcf4_SM_ES14.vcf	Brast03G052200.v0.1.stacei	0.000950495	0.005669948	0.167637351
temp_vcf4_SM_ES14.vcf	Brast03G058400.v0.1.stacei	0.002457528	0.004424928	0.555382716
temp_vcf4_SM_ES14.vcf	Brast03G059500.v0.1.stacei	7.58E-05	0.000342167	0.221503828
temp_vcf4_SM_ES14.vcf	Brast03G061600.v0.1.stacei	0.007257665	0.008836808	0.821299463
temp_vcf4_SM_ES14.vcf	Brast03G095600.v0.1.stacei	0.002605903	0.005517521	0.47229605
temp_vcf4_SM_ES14.vcf	Brast03G102900.v0.1.stacei	0.000428594	0.001312548	0.326535945
temp_vcf4_SM_ES14.vcf	Brast03G103600.v0.1.stacei	0.003029064	0.007593871	0.398882703
temp_vcf4_SM_ES14.vcf	Brast03G106800.v0.1.stacei	0.00277428	0.00477556	0.580932841
temp_vcf4_SM_ES14.vcf	Brast03G107300.v0.1.stacei	0.001507622	0.002007845	0.750865728
temp_vcf4_SM_ES14.vcf	Brast03G110700.v0.1.stacei	0.004562246	0.001910483	2.388005904
temp_vcf4_SM_ES14.vcf	Brast03G121700.v0.1.stacei	0.000940033	0.002755382	0.341162594
temp_vcf4_SM_ES14.vcf	Brast03G121800.v0.1.stacei	0.001374908	0.001641372	0.837657851
temp_vcf4_SM_ES14.vcf	Brast03G161400.v0.1.stacei	0.000711248	0.001153904	0.616384702
temp_vcf4_SM_ES14.vcf	Brast03G180300.v0.1.stacei	0.000209905	0.001601519	0.131065942
temp_vcf4_SM_ES14.vcf	Brast03G263700.v0.1.stacei	0.000844129	0.004460555	0.189243046
