product	piN	piS	pin/pis
Brahy.D01G0108400	0.000558927	0.000128721	4.342149092
Brahy.D01G0269700	0.00227033	0.001382994	1.641605134
Brahy.D01G0285000	0.003686633	0.003108666	1.185921171
Brahy.D01G0395900	0.009521718	0.006931592	1.373669659
Brahy.D01G0406800	0.001437426	0.001268709	1.132983486
Brahy.D01G0425900	0.001294692	0.000962438	1.345221672
Brahy.D01G0552500	0.000812172	0.000133098	6.102075924
Brahy.D01G0574600	0.002994044	0.001860009	1.609693791
Brahy.D01G0598700	0.003948441	0.003590597	1.099661297
Brahy.D01G0632700	0.000929222	0.000423358	2.19488368
Brahy.D01G0677700	0.000962962	0.000951921	1.011598949
Brahy.D01G0770700	0.002113535	0.002082493	1.014905901
Brahy.D01G0803400	0.00062373	0.000576584	1.081767506
Brahy.D01G1048700	0.005732342	0.001127525	5.084003593
Brahy.D02G0009900	0.001942684	0.001191818	1.630017851
Brahy.D02G0151300	0.001310761	0.000390448	3.357069348
Brahy.D02G0259200	0.000618405	0.000533621	1.158885652
Brahy.D02G0286700	0.007268012	0.00439124	1.655116221
Brahy.D02G0342100	0.002857072	0.002169497	1.316927966
Brahy.D02G0353400	0.002038255	0.00177288	1.149685826
Brahy.D02G0366500	0.003758407	0.00356544	1.054121524
Brahy.D02G0367000	0.010213903	0.007330917	1.39326392
Brahy.D02G0480400	0.001911976	0.000619718	3.085236582
Brahy.D02G0482100	0.015644346	0.005301855	2.950730828
Brahy.D02G0516100	0.005806048	0.003613028	1.606975887
Brahy.D02G0571900	0.003496555	0.002365801	1.477958226
Brahy.D02G0601400	0.010020414	0.005188327	1.931337931
Brahy.D02G0636900	0.026980071	0.020493536	1.31651613
Brahy.D02G0659000	0.005863743	0.002883966	2.03322213
Brahy.D02G0705300	0.000856397	0.000745264	1.149118378
Brahy.D02G0712100	0.000318488	0.000284916	1.11783153
Brahy.D02G0767700	0.002523178	0.001818894	1.387204376
Brahy.D02G0812200	0.001690669	0.001631344	1.036365495
Brahy.D03G0012600	0.00063972	0.000559368	1.143646692
Brahy.D03G0016700	0.000688626	0.000568087	1.212184716
Brahy.D03G0033000	0.004872649	0.004263972	1.142748786
Brahy.D03G0119900	0.002858266	0.001520285	1.880085769
Brahy.D03G0143600	0.003993965	0.002120819	1.883217887
Brahy.D03G0146400	0.006382767	0.00318695	2.002782395
Brahy.D03G0200100	0.006588212	0.002581848	2.551743001
Brahy.D03G0223100	0.001207938	0.001008024	1.198322187
Brahy.D03G0231700	0.002087279	0.001544056	1.351815498
Brahy.D03G0233000	0.006335649	0.004859422	1.303786545
Brahy.D03G0233400	0.001140351	0.00073097	1.560052375
Brahy.D03G0234700	0.002613927	0.00025914	10.08693425
Brahy.D03G0284200	0.024846689	0.015431578	1.610119808
Brahy.D03G0290700	0.000568733	0.000402716	1.412242306
Brahy.D03G0290800	0.003120848	0.002764849	1.128758848
Brahy.D03G0296000	0.001178329	0.000147397	7.994257294
Brahy.D03G0298100	0.006451295	0.00536751	1.2019158
Brahy.D03G0300000	0.001006207	0.000938902	1.071685628
Brahy.D03G0311100	0.011744023	0.010913656	1.07608515
Brahy.D03G0367500	0.000813367	0.000508977	1.598042374
Brahy.D03G0384900	0.000256859	0.000255771	1.00425368
Brahy.D03G0395200	0.000983506	0.000725	1.356560527
Brahy.D03G0400100	0.00094485	0.000691238	1.366895674
Brahy.D03G0401900	0.003584426	0.001917198	1.869617069
Brahy.D03G0405500	0.00384746	0.002423092	1.587830832
Brahy.D03G0427900	0.002356449	0.001792391	1.314695681
Brahy.D03G0430900	0.010973907	0.009717341	1.129311699
Brahy.D03G0431000	0.004208739	0.003905074	1.077761487
Brahy.D03G0433200	0.001527716	0.001480811	1.031675718
Brahy.D03G0445900	0.000752883	0.000188216	4.000098156
Brahy.D03G0462700	0.001084249	0.001028336	1.054372252
Brahy.D03G0463600	0.003481947	0.001930024	1.804095149
Brahy.D03G0466300	0.001492693	0.001150527	1.297400105
Brahy.D03G0476400	0.00390748	0.003278768	1.19175252
Brahy.D03G0490400	0.003745416	0.001260436	2.971525295
Brahy.D03G0506800	0.00085918	0.000714661	1.202219903
Brahy.D03G0528500	0.003114473	0.002397809	1.298882911
Brahy.D03G0529900	0.002186415	0.00079452	2.751869319
Brahy.D03G0530400	0.001704402	0.001278093	1.333550752
Brahy.D03G0559800	0.010494581	0.009580608	1.095398245
Brahy.D03G0576300	0.001080356	0.0007354	1.469073623
Brahy.D03G0586500	0.003099703	0.002328516	1.331192388
Brahy.D03G0589400	0.000554105	0.000417311	1.32779777
Brahy.D03G0623200	0.010682699	0.009626738	1.109690449
Brahy.D03G0628800	0.004495103	0.004102596	1.095672803
Brahy.D03G0674200	0.001135436	0.000632692	1.79461033
Brahy.D03G0674600	0.001223721	0.000815231	1.501072913
Brahy.D03G0683800	0.000963283	0.000684757	1.406751812
Brahy.D03G0718000	0.013572133	0.005183817	2.618173304
Brahy.D03G0775100	0.000792222	0.000601795	1.316430838
Brahy.D03G0819200	0.002280956	0.002191958	1.040601727
Brahy.D03G0825300	0.004887423	0.003200992	1.526846117
Brahy.D04G0022900	0.001743193	0.000744948	2.340021271
Brahy.D04G0040000	0.002685508	0.00240537	1.116463772
Brahy.D04G0071600	0.009366679	0.007604932	1.231658392
Brahy.D04G0078000	0.012143829	0.009694629	1.252634795
Brahy.D04G0117800	0.001091087	0.000968723	1.126314872
Brahy.D04G0121800	0.002079948	0.001783529	1.166198296
Brahy.D04G0143800	0.003907447	0.001422311	5.994981178
Brahy.D04G0153000	0.002483392	0.001157884	2.144766839
Brahy.D04G0176000	0.002141486	0.00169663	1.262199724
Brahy.D04G0180200	0.001519399	0.000305818	4.96830554
Brahy.D04G0207300	0.000388048	0.000162902	2.382088644
Brahy.D04G0214800	0.003030555	0.002104847	1.439797921
Brahy.D04G0219800	0.002306423	0.001169364	1.972373432
Brahy.D04G0219900	0.000267449	0.000247039	1.082618522
Brahy.D04G0246600	0.011029254	0.010427665	1.057691545
Brahy.D04G0249600	0.001273052	0.000764362	1.665509981
Brahy.D04G0277000	0.009174847	0.003390483	2.706058855
Brahy.D04G0291000	0.002805698	0.002282919	1.228995686
