Species_1	Start_2	End_2	Species_2	Start_1	End_1	fill	type
1	131031	1802230	1	115464	2473079	cccccc	1
1	1307951	10981191	1	202409	12346875	cccccc	1
1	10949989	18603698	1	14879868	27868210	cccccc	1
1	18543160	26049057	1	26722773	36432585	cccccc	1
1	18286709	25782473	1	27711363	36400290	cccccc	1
1	25887810	143048860	1	36352423	146865062	cccccc	1
1	143588711	175054323	1	147210723	167762358	cccccc	1
1	409638918	444332631	1	388994910	426684044	cccccc	1
1	445030223	635114243	1	426775339	605035068	cccccc	1
1	634326987	649819051	1	605602498	624915874	cccccc	1
1	649971828	698732521	1	624971567	687977912	cccccc	1
1	700370819	708678040	1	689274526	702761701	cccccc	1
1	709519135	742649867	1	705490770	744864572	cccccc	1
1	747541369	751555216	1	746708256	751787295	cccccc	1
1	744575128	746755573	1	752140311	754982982	cccccc	1
1	742794596	745303231	1	753705192	756850695	cccccc	1
1	753654257	762830345	1	757199564	770598445	cccccc	1
1	754647170	762529120	1	758251986	769955307	cccccc	1
1	762948938	767297727	1	770762703	774885612	cccccc	1
1	24516	1218154	1	72777	2018678	cccccc	2
1	131031	18548666	1	1838192	33598160	cccccc	2
1	2084530	11266023	1	2122147	14690171	cccccc	2
1	11021587	13778238	1	19470307	22549893	cccccc	2
1	18639842	26040524	1	32601413	48838999	cccccc	2
1	18670735	22306737	1	41258316	49866386	cccccc	2
1	26196864	120914604	1	51097018	179695507	cccccc	2
1	128266221	133424743	1	181009177	183940004	cccccc	2
1	121687401	129964353	1	182183697	187533947	cccccc	2
1	533468845	634329886	1	448185780	548625686	cccccc	2
1	635241113	649819051	1	548664981	569673426	cccccc	2
1	649971828	698732521	1	569762978	658081222	cccccc	2
1	698868826	709196472	1	658991096	685942315	cccccc	2
1	709519135	742633407	1	686112530	760159857	cccccc	2
1	751885640	753397331	1	760189479	763496838	cccccc	2
1	742794596	751555216	1	763880475	780532010	cccccc	2
1	753654257	763217682	1	781475135	798750630	cccccc	2
1	763693944	767058314	1	799096457	803286345	cccccc	2
1	147210723	167762358	1	200464156	215910794	cccccc	3
1	168176412	322989272	1	216213363	344600814	cccccc	3
1	426775339	751522139	1	397801089	773630505	cccccc	3
1	752140311	755018519	1	774599517	776820066	cccccc	3
1	753605783	774458597	1	776031549	803286345	cccccc	3
1	697440	130057627	1	72777	179686277	gradient	3
1	553745	2608240	1	1583859	2689451	gradient	3
1	130232196	139089359	1	181018705	187744916	gradient	3
1	388989762	426684044	1	379351324	397655625	gradient	3
1	175163340	296742185	1	168176412	305877752	gradient	1
1	371441830	404620879	1	324337973	347729361	gradient	1
1	404881650	409021517	1	384127713	387572808	gradient	1
1	132408852	291657447	1	190046538	331853918	gradient	2
1	365675505	527530544	1	364620269	448077082	gradient	2
1	346889911	374781505	1	317229616	358364783	gradient	3
1	384127713	387572808	1	377114919	379045938	gradient	3
