hvid	atid	chr	start	end
HORVU7Hr1G066300	AT3G54670	chr7H	336000001	337000000
HORVU7Hr1G029400	AT5G25265	chr7H	54500001	55500000
HORVU2Hr1G002830	AT2G19130	chr2H	5250001	6250000
HORVU7Hr1G029160	AT5G59190	chr7H	54500001	55500000
HORVU7Hr1G029420	AT2G13100	chr7H	54500001	55500000
HORVU6Hr1G020720	AT3G20500	chr6H	58750001	59750000
HORVU6Hr1G048180	AT1G47380	chr6H	290250001	291250000
HORVU6Hr1G079410	AT1G73360	chr6H	537250001	538250000
HORVU6Hr1G079360	AT3G17740	chr6H	537250001	538250000
HORVU6Hr1G064470	AT3G14810	chr6H	436750001	437750000
HORVU6Hr1G020690	AT3G47570	chr6H	58750001	59750000
HORVU4Hr1G074840	AT1G69500	chr4H	595750001	596750000
HORVU4Hr1G070090	AT4G30150	chr4H	573500001	574500000
HORVU4Hr1G074960	AT1G14020	chr4H	595750001	596750000
HORVU6Hr1G023770	AT1G72300	chr6H	80750001	81750000
HORVU4Hr1G054600	AT2G47500	chr4H	456500001	457500000
HORVU4Hr1G074830	AT5G15300	chr4H	595750001	596750000
HORVU4Hr1G069990	AT4G37640	chr4H	573500001	574500000
HORVU4Hr1G075150	AT2G02800	chr4H	595750001	596750000
HORVU6Hr1G064480	AT1G20370	chr6H	436750001	437750000
HORVU6Hr1G023730	AT1G72300	chr6H	80750001	81750000
HORVU7Hr1G029200	AT1G80530	chr7H	54500001	55500000
HORVU1Hr1G022900	AT3G03050	chr1H	98750001	99750000
HORVU2Hr1G116540	AT5G54260	chr2H	737750001	738750000
HORVU3Hr1G024640	AT5G67570	chr3H	95750001	96750000
HORVU3Hr1G024630	AT4G32360	chr3H	95750001	96750000
HORVU3Hr1G032730	AT1G09620	chr3H	169000001	170000000
HORVU2Hr1G116650	AT1G03560	chr2H	737750001	738750000
HORVU2Hr1G116390	AT5G13930	chr2H	737750001	738750000
HORVU4Hr1G075040	AT2G40690	chr4H	595750001	596750000
HORVU4Hr1G015450	AT5G49900	chr4H	58750001	59750000
HORVU4Hr1G054610	AT1G09160	chr4H	456500001	457500000
HORVU3Hr1G068620	AT4G29130	chr3H	519250001	520250000
