file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_SM_AS17.vcf	Brahy.S10G0000600.v1.1	0	0	10	6	1995.83333333334	704.166666666667	0	0	0.00501043841336115	0.00852071005917159	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0000700.v1.1	0	0	1	6	1443.5	458.499999999999	0	0	0.000692760651195011	0.0130861504907307	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0002300.v1.1	0	0	5	3	343.833333333333	100.166666666667	0	0	0.0145419292292777	0.0299500831946756	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0002600.v1.1	0	0	0	0	320.166666666667	87.8333333333333	0	0	0	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0004000.v1.1	0	0	3	0	1197.16666666667	413.833333333333	0	0	0.00250591674787693	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0004700.v1.1	0	0	1	2	2194.5	679.500000000001	0	0	0.000455684666210981	0.00294334069168506	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0005500.v1.1	0	0	7	4	3146.33333333332	966.666666666673	0	0	0.00222481195041849	0.00413793103448273	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0006200.v1.1	0	0	4	5	1003.83333333333	301.166666666667	0	0	0.00398472521999005	0.0166021029330382	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0008500.v1.1	0	0	0	0	372.5	131.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0010100.v1.1	0	0	4	4	884.833333333332	291.166666666667	0	0	0.00452062535317386	0.0137378362907842	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0015200.v1.1	0	0.159420289855073	10	11.9166666666667	702.833333333333	260.166666666667	0	0.000612762164721611	0.0142281242589519	0.0458039718129404	0.00664251207729469	*	0.152777777777778
temp_vcf4_SM_AS17.vcf	Brahy.S10G0016000.v1.1	0	0	6	2	1561.16666666667	472.833333333332	0	0	0.00384327959859079	0.00422982023264013	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0020500.v1.1	0	0	4	0	1439	468.999999999999	0	0	0.00277970813064628	0	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0021000.v1.1	1.17105508870215	0	1.75714285714286	4	1806.67142857143	578.328571428571	0.000648183765007077	0	0.000972585733827794	0.00691648346219401	0.141505102040816	0.37734693877551	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0023100.v1.1	0	0	3	2	770.333333333333	249.666666666667	0	0	0.00389441800086543	0.00801068090787716	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0024500.v1.1	0	0	3	1	361.833333333334	100.166666666667	0	0	0.00829111008751727	0.00998336106489186	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0025100.v1.1	0	0	4	2	893.999999999999	267	0	0	0.00447427293064877	0.00749063670411984	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0025200.v1.1	0	0	1	0	1170.16666666667	344.833333333333	0	0	0.000854579119783507	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0025400.v1.1	0	0	1	0	820.166666666666	244.833333333334	0	0	0.00121926437715912	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0025800.v1.1	0	0	2	0	1394.33333333333	426.666666666666	0	0	0.00143437724121444	0	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0026900.v1.1	0	0	0	0	350.5	114.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0027900.v1.1	0	0	5	2	2571.33333333333	758.66666666667	0	0	0.00194451646357273	0.00263620386643233	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0029000.v1.1	0	0	1	0	1612.66666666667	574.333333333333	0	0	0.000620090946672177	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0031800.v1.1	0	0	0	0	2009.00000000001	604	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0033300.v1.1	0.428571428571429	0	5	2.75	2327.16666666667	729.833333333335	0.000184160178430751	0	0.00214853541502542	0.00376798355788992	0.046875	0.375	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0033400.v1.1	0	0	2	10	2563.33333333333	808.666666666669	0	0	0.000780234070221066	0.0123660346248969	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0033500.v1.1	0	0	2	0	852.333333333332	281.666666666667	0	0	0.00234649980445835	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0037500.v1.1	0	0	1	2	888.666666666665	287.333333333334	0	0	0.00112528132033008	0.00696055684454755	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0038000.v1.1	0	0	1	1	874.333333333332	286.666666666667	0	0	0.00114372855508959	0.00348837209302325	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0039600.v1.1	0	0	1	1	1078.83333333333	337.166666666667	0	0	0.000926927236211958	0.00296589223924864	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0040800.v1.1	0	0	0	0	730.666666666666	298.333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0040900.v1.1	3.74535191191538	1.01794507057665	4.93861758877239	3.46153846153846	1481.43631867162	471.399134428545	0.00252818961214194	0.00215941226071757	0.00333366849896105	0.00734311586238851	0.309205228917847	0.455822147481794	0.495750626956679
temp_vcf4_SM_AS17.vcf	Brahy.S10G0041300.v1.1	0	0	4	4	940.333333333332	304.666666666667	0	0	0.00425381070542362	0.0131291028446389	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0041400.v1.1	0	0	0	0	1076	360.999999999999	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0042600.v1.1	0	0	0	1	182.5	63.5	0	0	0	0.015748031496063	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0044300.v1.1	0	0	0	0	360.333333333333	104.666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0047500.v1.1	0	0	2	1	1498.83333333334	445.166666666665	0	0	0.00133437117758256	0.00224634968176714	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0048400.v1.1	2.80982858992012	1.87607310563832	1.95743145743146	3.75927164622817	374.976911976912	159.023088023088	0.00749333759005709	0.0117974888361239	0.00522013861363278	0.0236397852221457	0.333469898222499	0.326712322670115	0.366877887271954
temp_vcf4_SM_AS17.vcf	Brahy.S10G0050500.v1.1	0.0740740740740742	0	1.96296296296296	2	1102.35802469136	343.641975308642	6.7196021995498e-05	0	0.00178069458288069	0.00582001077779774	0.0178326474622771	0.0713305898491086	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0054800.v1.1	0	0	4	3	747.833333333333	230.166666666667	0	0	0.00534878537998663	0.0130340333091962	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0056200.v1.1	10.6266191895065	3.02998946393951	11.4357414462066	11.5321936979937	2184.50137818187	660.652467971983	0.00486455137801326	0.00458635910835348	0.00523494357129884	0.0174557641983755	0.369064225088782	0.492463969279103	0.490761458055832
temp_vcf4_SM_AS17.vcf	Brahy.S10G0057000.v1.1	0	0	0	1	334.166666666667	124.833333333333	0	0	0	0.00801068090787717	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0061200.v1.1	0	0	12	3	962.666666666665	288.333333333334	0	0	0.0124653739612189	0.0104046242774566	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0061300.v1.1	0	0	2	5	1475.33333333334	498.666666666666	0	0	0.00135562584726615	0.0100267379679145	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0065400.v1.1	0	0	0	0	266.666666666667	105.333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0066700.v1.1	0	0	0	0	232.333333333333	79.6666666666667	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0066800.v1.1	0	0	0	0	236.166666666667	75.8333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0066900.v1.1	0	0	0	0	236.5	72.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0067000.v1.1	0	0	0	0	233.166666666667	78.8333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0067200.v1.1	0	0	0	0	230	79	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0067500.v1.1	0	0	0	0	231.166666666667	77.8333333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0067700.v1.1	0.451612903225806	0	4.32258064516129	0	1354.45161290323	406.548387096774	0.000333428598647232	0	0.00319138801562351	0	0.0874089490114464	0.437044745057232	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0071500.v1.1	0	0	1	1	1169.5	366.5	0	0	0.000855066267635743	0.00272851296043656	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0074700.v1.1	0	0	2	7	1213.5	457.5	0	0	0.00164812525751957	0.0153005464480874	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0076200.v1.1	0	0	1	2	1030.5	349.5	0	0	0.000970402717127609	0.00572246065808298	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0077100.v1.1	0	0	1	2	896.166666666666	309.833333333333	0	0	0.00111586386460852	0.00645508337816031	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0077300.v1.1	0	0	0	1	462.000000000001	126	0	0	0	0.00793650793650795	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0080100.v1.1	0	0	3	0	501.833333333334	146.166666666667	0	0	0.00597808037196944	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0086300.v1.1	0	0	12	8	2248.66666666667	781.333333333335	0	0	0.00533649570115624	0.0102389078498293	-3	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0086600.v1.1	0	0	1	1	445.333333333334	139.666666666667	0	0	0.00224550898203593	0.0071599045346062	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0089500.v1.1	0	0	2	1	1444.83333333334	448.166666666665	0	0	0.00138424270388741	0.00223131275567126	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0091900.v1.1	0	0	0	0	246.5	83.5	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0094300.v1.1	0	0	2	1	445.166666666667	172.833333333333	0	0	0.00449269936353425	0.00578592092574734	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0095200.v1.1	0	0	2	0	790.666666666665	256.333333333334	0	0	0.00252951096121417	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0096300.v1.1	0	0	1	0	438.166666666667	134.833333333333	0	0	0.00228223659186002	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0097000.v1.1	0	0	2	1	527.166666666667	198.833333333333	0	0	0.00379386658235852	0.00502933780385583	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0098800.v1.1	0	0	1	1	1756.16666666667	607.833333333333	0	0	0.000569422036632816	0.00164518782561009	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0099500.v1.1	0	0	1	0	2101.16666666667	673.833333333334	0	0	0.000475926072816688	0	0	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0101300.v1.1	0	0	0	0	444.166666666667	140.833333333333	0	0	0	0	*	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0102800.v1.1	0	0	2	19	4040.49999999995	1305.5	0	0	0.00049498824402921	0.0145538108004596	-5.33333333333333	*	*
temp_vcf4_SM_AS17.vcf	Brahy.S10G0103600.v1.1	0	0	1	1	934.999999999998	298	0	0	0.00106951871657754	0.00335570469798658	0	*	*
