tdid	hsid	brid	atid	slope
TRIDC3BG061260	HORVU3Hr1G082730	Brahy.S01G0079700	AT1G44575	AS
TRIDC1BG058110	HORVU5Hr1G085310	Brahy.S06G0124600	AT3G16520	AS
TRIDC5AG075860	HORVU4Hr1G087760	Brahy.D01G1065400	AT2G45180	AS
TRIDC5AG051930	HORVU2Hr1G056800	Brahy.D04G0543200	AT3G45070	AS
TRIDC6BG054420	HORVU6Hr1G076510	Brahy.S04G0015000	AT1G24140	AS
TRIDC6BG046760	HORVU6Hr1G066050	Brahy.D03G0714400	AT3G61460	AS
TRIDC4BG058150	HORVU4Hr1G084510	Brahy.D01G1046700	AT5G24010	AS
TRIDC2BG024310	HORVU2Hr1G029430	Brahy.D03G0473400	AT4G11070	AS
TRIDC1AG022820	HORVU1Hr1G039600	Brast03G145400	AT2G34930	ES
TRIDC1BG052300	HORVU1Hr1G068020	Brast01G230700	AT3G24503	ES
TRIDC2AG068120	HORVU2Hr1G108260	Brast09G221000	AT1G61720	ES
TRIDC2BG001260	HORVU2Hr1G002020	Brast10G170300	AT3G47570	ES
TRIDC2BG069420	HORVU2Hr1G104860	Brast04G101400	AT2G17450	ES
TRIDC2BG082180	HORVU6Hr1G090780	Brast03G030400	AT1G11330	ES
TRIDC3BG035760	HORVU3Hr1G050490	Brast01G234600	AT4G30990	ES
TRIDC3BG053060	HORVU3Hr1G077670	Brast01G120900	AT4G26090	ES
TRIDC4AG006690	HORVU4Hr1G069720	Brast02G085400	AT2G23060	ES
TRIDC4AG052880	HORVU5Hr1G118590	Brast02G376200	AT2G38290	ES
TRIDC4BG015810	HORVU4Hr1G043970	Brast04G225400	AT1G55810	ES
TRIDC4BG033500	HORVU4Hr1G055860	Brast02G146500	AT5G58520	ES
TRIDC4BG041480	HORVU4Hr1G065800	Brast02G103900	AT1G32230	ES
TRIDC4BG049770	HORVU4Hr1G075830	Brast02G061300	AT1G72830	ES
TRIDC4BG059290	HORVU4Hr1G085930	Brast02G016700	AT3G61080	ES
TRIDC5AG012400	HORVU3Hr1G013810	Brast01G381800	AT5G02390	ES
TRIDC5AG013760	HORVU5Hr1G023480	Brast10G054400	AT4G25800	ES
TRIDC5AG070060	HORVU4Hr1G083080	Brast02G023800	AT1G01140	ES
TRIDC5BG012020	HORVU5Hr1G017910	Brast10G030200	AT3G18990	ES
TRIDC5BG015510	HORVU5Hr1G022760	Brast10G052700	AT5G26820	ES
TRIDC5BG023340	HORVU5Hr1G040740	Brast05G275300	AT3G05970	ES
TRIDC5BG036510	HORVU5Hr1G062940	Brast05G134700	AT1G53910	ES
TRIDC5BG077600	HORVU5Hr1G118480	Brast02G375900	AT5G08720	ES
TRIDC6AG012760	HORVU0Hr1G015220	Brast10G090800	AT3G27170	ES
TRIDC6BG021220	HORVU6Hr1G020980	Brast04G153100	AT5G11010	ES
TRIDC6BG031060	HORVU6Hr1G035600	Brast04G271500	AT4G38040	ES
TRIDC6BG036570	HORVU6Hr1G045800	Brast04G199200	AT3G07400	ES
TRIDC6BG047980	HORVU0Hr1G018190	Brast04G095800	AT1G65060	ES
TRIDC7AG012240	HORVU3Hr1G006790	Brast07G097800	AT4G23180	ES
TRIDC7AG051800	HORVU0Hr1G021610	Brast03G033300	AT1G56240	ES
TRIDC7BG043120	HORVU7Hr1G086810	Brast07G151300	AT5G56860	ES
