entrez gene/locuslink	human readable name	name	ENTREZID	atid	bsdeg	bhdeg
ABF2|841095|ATAREB1|AREB1|ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2|AT1G45249|abscisic acid responsive elements-binding factor 2	ABF2	ABF2	841095	AT1G45249	none	none
ABF3|DC3 PROMOTER-BINDING FACTOR 5|829547|F17I5.200|DPBF5|abscisic acid responsive elements-binding factor 3|AT4G34000	ABF3	ABF3	829547	AT4G34000	none	none
AtABI1|F20B18.190|PROTEIN PHOSPHATASE 2C ABI1|ABA INSENSITIVE 1|828714|AT4G26080|ABI1|F20B18_190		ABI1	828714	AT4G26080	none	none
821705|AHP1|histidine-containing phosphotransmitter 1|AT3G21510		AHP1	821705	AT3G21510	none	none
BET12|ATBET12|BET1P/SFT1P-LIKE PROTEIN 14BB|827091|AT4G14455|BS14B|ARABIDOPSIS THALIANA BET1P/SFT1P-LIKE PROTEIN 14BB|ATBS14B		BET12	827091	AT4G14455	none	none
BTR1L|BINDING TO TOMV RNA 1S |T19N18.7|830322|AT5G04430|BTR1S|BINDING TO TOMV RNA 1|BTR1|binding to TOMV RNA 1L 		BTR1L	830322	AT5G04430	none	none
CYP81D8|AT4G37370|family 81|subfamily D|F6G17_20|F6G17.20|polypeptide 8|829891|cytochrome P450		CYP81D8	829891	AT4G37370	none	none
ETP1|AT3G18980|821431|EIN2 targeting protein1		ETP1	821431	AT3G18980	none	none
ETP2|821424|AT3G18910|EIN2 targeting protein2		ETP2	821424	AT3G18910	none	none
HAI1|836040|MNC17.13|MNC17_13|AT5G59220|highly ABA-induced PP2C gene 1		HAI1	836040	AT5G59220	none	none
HHP2|AT4G30850|F6I18.240|F6I18_240|829209|heptahelical transmembrane protein2		HHP2	829209	AT4G30850	none	none
MEKK1|826409|AT4G08500|MAPKKK8|T15F16.5|ARAKIN|MAPK/ERK kinase kinase 1|ATMEKK1|T15F16_5		MEKK1	826409	AT4G08500	none	none
MYB77|824168|AT3G50060|myb domain protein 77		MYB77	824168	AT3G50060	none	none
PYL7|PYR1-like 7|regulatory components of ABA receptor 2|RCAR2|827923|AT4G01026		PYL7	827923	AT4G01026	none	none
PYL9|AT1G01360|PYRABACTIN RESISTANCE 1-LIKE 9|F6F3.16|F6F3_16|838452|regulatory component of ABA receptor 1|RCAR1		PYL9	838452	AT1G01360	none	none
RCAR4|T13J8_30|PYL10|regulatory components of ABA receptor 4|AT4G27920|PYR1-like 10|828905|T13J8.30		RCAR4	828905	AT4G27920	none	none
RCAR5|PYL11|K15I22.6|AT5G45860|834626|K15I22_6|regulatory components of ABA receptor 5|PYR1-like 11		RCAR5	834626	AT5G45860	none	none
DWARF 12|SHAGGY-LIKE KINASE 21|UCU1|SK21|AT4G18710|DWF12|BRASSINOSTEROID-INSENSITIVE 2|BIN2|F28A21.120|827605|ATSK21|F28A21_120|ULTRACURVATA 1		SK21	827605	AT4G18710	none	none
SNRK2.5|836485|SNRK2-5|MBK5.13|MBK5_13|AT5G63650|SRK2H|SNF1-RELATED PROTEIN KINASE 2H|SNF1-related protein kinase 2.5		SNRK2.5	836485	AT5G63650	none	none
SNRK2.10|SNRK2-10|SRK2B|SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-10|842385|AT1G60940|SNF1-RELATED KINASE 2B|SNF1-related protein kinase 2.10|T7P1.8|T7P1_8		SNRK2-10	842385	AT1G60940	up	up
SNRK2-3|SUCROSE NONFERMENTING 1 |SNRK2.3|836822|SRK2I|AT5G66880|sucrose nonfermenting 1		SNRK2-3	836822	AT5G66880	none	none
