bhid	atid
Brahy.S06G0055100	AT5G09430
Brahy.S06G0261200	AT1G70580
Brahy.S06G0057300	AT2G45130
Brahy.S06G0047200	AT2G13820
Brahy.S06G0130400	AT3G16940
Brahy.S06G0090800	AT2G41870
Brahy.S06G0055300	AT1G78190
Brahy.S06G0022500	AT3G62900
Brahy.S06G0091200	AT5G19450
Brahy.S06G0102800	AT2G19130
Brahy.S06G0086800	AT3G04910
Brahy.S06G0245900	AT1G06690
Brahy.S06G0124400	AT3G21750
Brahy.S06G0051600	AT3G14350
Brahy.S06G0021200	AT5G18640
Brahy.S06G0025100	AT2G13370
Brahy.S06G0096800	AT5G54280
Brahy.S06G0198400	AT3G09900
Brahy.S06G0018000	AT4G15770
Brahy.S06G0089300	AT2G41790
Brahy.S06G0030800	AT3G63070
Brahy.S06G0197600	AT2G44300
Brahy.S06G0010200	AT3G21100
Brahy.S01G0218900	AT4G24660
Brahy.S01G0014900	AT1G44446
Brahy.S01G0156200	AT1G06410
Brahy.S01G0241000	AT5G56840
Brahy.S01G0049800	AT5G57520
Brahy.S01G0105800	AT3G51780
Brahy.S01G0407000	AT1G68840
Brahy.S01G0278000	AT4G15800
Brahy.S01G0037800	AT1G02850
Brahy.S01G0376100	AT1G22770
Brahy.S01G0339500	AT1G64530
Brahy.S01G0302800	AT2G26850
Brahy.S01G0083300	AT2G33830
Brahy.S01G0444200	AT3G13882
Brahy.S01G0168700	AT4G18980
Brahy.S01G0204400	AT2G42880
Brahy.S01G0048000	AT1G04920
Brahy.S01G0206400	AT1G70420
Brahy.S01G0155700	AT1G29280
Brahy.S01G0328900	AT3G16830
Brahy.S01G0045900	AT4G19970
Brahy.S01G0096300	AT2G29380
Brahy.S01G0337300	AT1G28440
Brahy.S01G0135500	AT2G16430
Brahy.S01G0352800	AT4G36020
Brahy.S01G0301000	AT3G07130
Brahy.S01G0158300	AT4G32480
Brahy.S01G0002100	AT5G49300
Brahy.S01G0251800	AT5G20490
Brahy.S01G0133500	AT1G61140
Brahy.S01G0416500	AT1G67080
Brahy.S01G0406300	AT5G01220
Brahy.S01G0238700	AT1G71000
Brahy.S01G0179500	AT1G14560
Brahy.S01G0050400	AT3G23830
Brahy.S01G0449500	AT1G17550
Brahy.S01G0209200	AT5G53450
Brahy.S01G0327700	AT4G15910
Brahy.S01G0062500	AT2G31560
Brahy.S01G0333900	AT1G62300
Brahy.S01G0136800	AT5G43630
Brahy.S01G0413000	AT5G16150
Brahy.S01G0430100	AT1G62400
Brahy.S01G0145700	AT1G18650
Brahy.S01G0080300	AT1G71240
Brahy.S01G0293700	AT3G62410
Brahy.S01G0206800	AT5G62840
Brahy.S01G0119700	AT2G27030
Brahy.S01G0443700	AT4G33050
Brahy.S01G0292500	AT1G69510
Brahy.S01G0122000	AT2G30150
Brahy.S01G0266900	AT3G54500
Brahy.S01G0040100	AT5G62000
Brahy.S01G0384200	AT1G80180
Brahy.S03G0033400	AT4G27310
Brahy.S03G0272700	AT2G34860
Brahy.S03G0318300	AT2G33500
Brahy.S03G0200300	AT1G10370
Brahy.S03G0182600	AT4G27460
Brahy.S03G0101000	AT5G17210
Brahy.S03G0318100	AT3G26890
Brahy.S03G0217500	AT4G17330
Brahy.S03G0171600	AT2G05220
Brahy.S03G0015900	AT5G55310
Brahy.S03G0181600	AT1G29940
Brahy.S03G0327200	AT5G66070
Brahy.S03G0225500	AT2G38740
Brahy.S03G0012000	AT1G56010
Brahy.S03G0049100	AT5G63190
Brahy.S03G0175400	AT1G50360
Brahy.S03G0153800	AT5G01520
Brahy.S03G0232700	AT2G26890
Brahy.S03G0102500	AT5G09640
Brahy.S03G0246800	AT1G78080
Brahy.S03G0019100	AT3G47420
Brahy.S03G0290400	AT1G55760
Brahy.S03G0094900	AT1G32780
Brahy.S03G0178900	AT1G04160
Brahy.S03G0087000	AT2G11810
Brahy.S03G0310200	AT3G25290
Brahy.S03G0319100	AT3G21630
Brahy.S03G0020500	AT1G01060
Brahy.S03G0335200	AT2G27920
Brahy.S03G0101300	AT4G30100
Brahy.S03G0305700	AT1G19220
Brahy.S03G0070900	AT2G18860
Brahy.S03G0340200	AT3G54670
Brahy.S03G0059000	AT1G77610
Brahy.S03G0058800	AT5G39450
Brahy.S03G0332500	AT5G03630
Brahy.S03G0147800	AT1G08720
Brahy.S03G0307400	AT4G29950
Brahy.S03G0268200	AT1G53903
Brahy.D05G0261800	AT5G47060
Brahy.D05G0294700	AT1G30470
Brahy.D05G0110400	AT5G51070
Brahy.D05G0346300	AT5G23240
Brahy.D05G0347500	AT5G08570
Brahy.D05G0340000	AT4G22260
Brahy.D05G0155800	AT4G39730
Brahy.D05G0364400	AT1G60940
Brahy.D05G0319100	AT1G80460
Brahy.D05G0321600	AT4G36920
Brahy.D05G0229800	AT2G28400
Brahy.D05G0171000	AT5G06940
Brahy.D05G0025900	AT2G17975
Brahy.D05G0176200	AT2G29760
Brahy.D05G0004000	AT1G59960
Brahy.D05G0289300	AT2G35060
Brahy.D05G0127400	AT2G32540
Brahy.D05G0034300	AT3G23510
Brahy.D05G0327800	AT1G68300
Brahy.D05G0122600	AT5G54200
Brahy.D05G0049700	AT2G26730
Brahy.D05G0143900	AT5G49740
Brahy.D05G0151900	AT4G24380
Brahy.D05G0147000	AT4G02360
Brahy.D05G0196500	AT1G80050
Brahy.D05G0257600	AT5G13770
Brahy.D05G0145000	AT1G22360
Brahy.D05G0181600	AT1G67600
Brahy.D05G0006500	AT1G76690
Brahy.D05G0114900	AT5G22510
Brahy.S07G0087100	AT5G07900
Brahy.S07G0181600	AT3G15730
Brahy.S07G0059300	AT4G31985
Brahy.S07G0270100	AT1G17820
Brahy.S07G0151900	AT2G38140
Brahy.S07G0029100	AT4G40040
Brahy.S07G0045700	AT5G45910
Brahy.S07G0072500	AT1G13560
Brahy.S07G0266200	AT5G37260
Brahy.S07G0270800	AT5G17400
Brahy.S07G0162000	AT3G21250
Brahy.S07G0050700	AT2G17570
Brahy.S07G0203600	AT4G19390
Brahy.S07G0223600	AT5G67210
Brahy.S07G0260500	AT4G35840
Brahy.S07G0052800	AT4G29390
Brahy.S07G0181200	AT5G20150
Brahy.S07G0115000	AT3G07650
Brahy.S07G0100900	AT2G28290
Brahy.S07G0039900	AT1G29120
Brahy.S07G0027800	AT1G47420
Brahy.S07G0103100	AT1G71010
Brahy.S07G0085900	AT1G78020
Brahy.S07G0256100	AT1G15690
Brahy.S07G0218200	AT5G57345
Brahy.S07G0103900	AT1G25440
Brahy.S07G0254700	AT5G25220
Brahy.D01G0202400	AT3G15840
Brahy.D01G0737500	AT3G46060
Brahy.D01G0285100	AT1G13680
Brahy.D01G0081500	AT3G59060
Brahy.D01G0178800	AT1G78390
Brahy.D01G0967300	AT3G29290
Brahy.D01G0993600	AT3G14205
Brahy.D01G0108200	AT5G20950
Brahy.D01G0265000	AT5G08450
Brahy.D01G0193300	AT4G33950
Brahy.D01G0393800	AT5G27280
Brahy.D01G0015400	AT1G28140
Brahy.D01G0918100	AT2G37730
Brahy.D01G0455800	AT2G28880
Brahy.D01G0939600	AT4G38670
Brahy.D01G0739500	AT5G40010
Brahy.D01G0384400	AT1G63490
Brahy.D01G0287800	AT1G13740
Brahy.D01G0285300	AT2G37410
Brahy.D01G0438100	AT3G20570
Brahy.D01G1009600	AT3G47910
Brahy.D01G0607300	AT5G10470
Brahy.D01G0223800	AT5G39660
Brahy.D01G1016000	AT3G22530
Brahy.D01G0288700	AT4G27250
Brahy.D01G0867900	AT2G40540
Brahy.D01G0090500	AT2G37710
Brahy.D01G0109000	AT5G37480
Brahy.D01G0923500	AT1G05150
Brahy.D01G0187800	AT1G49410
Brahy.D01G1004900	AT5G64850
Brahy.D01G0332800	AT4G23180
Brahy.D01G0193100	AT1G04420
Brahy.D01G1047000	AT2G40095
Brahy.D01G0182200	AT2G20180
Brahy.D01G0874600	AT1G08570
Brahy.D01G0123900	AT5G42620
Brahy.D01G0105500	AT5G35840
Brahy.D01G0227800	AT2G30470
Brahy.D01G0984700	AT4G33500
Brahy.D01G0993400	AT3G50060
Brahy.D01G0972200	AT5G43150
Brahy.D01G0263400	AT3G13560
Brahy.D01G0248700	AT3G63470
Brahy.D01G0680100	AT1G31812
