CHROM BIN_START BIN_END WEIGHTED_FST
chr1A 1 2000000 0.0539351
chr1A 500001 2500000 0.059452
chr1A 1000001 3000000 0.110057
chr1A 1500001 3500000 0.125785
chr1A 2000001 4000000 0.131929
chr1A 2500001 4500000 0.136338
chr1A 3000001 5000000 0.101758
chr1A 3500001 5500000 0.0961424
chr1A 4000001 6000000 0.0890748
chr1A 4500001 6500000 0.132508
chr1A 5000001 7000000 0.105626
chr1A 5500001 7500000 0.0944824
chr1A 6000001 8000000 0.0886771
chr1A 6500001 8500000 0.0530657
chr1A 7000001 9000000 0.0878341
chr1A 7500001 9500000 0.0950254
chr1A 8000001 10000000 0.102748
chr1A 8500001 10500000 0.126871
chr1A 9000001 11000000 0.0993309
chr1A 9500001 11500000 0.13566
chr1A 10000001 12000000 0.166836
chr1A 10500001 12500000 0.12651
chr1A 11000001 13000000 0.121887
chr1A 11500001 13500000 0.108092
chr1A 12000001 14000000 0.0894905
chr1A 12500001 14500000 0.113734
chr1A 13000001 15000000 0.152176
chr1A 13500001 15500000 0.154752
chr1A 14000001 16000000 0.166974
chr1A 14500001 16500000 0.170326
chr1A 15000001 17000000 0.150268
chr1A 15500001 17500000 0.140605
chr1A 16000001 18000000 0.107222
chr1A 16500001 18500000 0.0908012
chr1A 17000001 19000000 0.0822775
chr1A 17500001 19500000 0.0840994
chr1A 18000001 20000000 0.0763416
chr1A 18500001 20500000 0.0848543
chr1A 19000001 21000000 0.0743579
chr1A 19500001 21500000 0.0724578
chr1A 20000001 22000000 0.0952825
chr1A 20500001 22500000 0.0978956
chr1A 21000001 23000000 0.0914921
chr1A 21500001 23500000 0.077417
chr1A 22000001 24000000 0.0739949
chr1A 22500001 24500000 0.0645694
chr1A 23000001 25000000 0.0712889
chr1A 23500001 25500000 0.0857455
chr1A 24000001 26000000 0.0992185
chr1A 24500001 26500000 0.0921229
chr1A 25000001 27000000 0.0849944
chr1A 25500001 27500000 0.0791469
chr1A 26000001 28000000 0.0272798
chr1A 26500001 28500000 0.0306913
chr1A 27000001 29000000 0.0344345
chr1A 27500001 29500000 0.0379664
chr1A 28000001 30000000 0.113146
chr1A 28500001 30500000 0.110046
chr1A 29000001 31000000 0.11114
chr1A 29500001 31500000 0.112271
chr1A 30000001 32000000 0.0644258
chr1A 30500001 32500000 0.0463924
chr1A 31000001 33000000 0.0540029
chr1A 31500001 33500000 0.0682332
chr1A 32000001 34000000 0.103252
chr1A 32500001 34500000 0.113894
chr1A 33000001 35000000 0.122892
chr1A 33500001 35500000 0.121656
chr1A 34000001 36000000 0.101919
chr1A 34500001 36500000 0.121517
chr1A 35000001 37000000 0.099904
chr1A 35500001 37500000 0.0713095
chr1A 36000001 38000000 0.0495476
chr1A 36500001 38500000 0.0673038
chr1A 37000001 39000000 0.0867831
chr1A 37500001 39500000 0.113484
chr1A 38000001 40000000 0.126066
chr1A 38500001 40500000 0.0863869
chr1A 39000001 41000000 0.083866
chr1A 39500001 41500000 0.0845264
chr1A 40000001 42000000 0.0696269
chr1A 40500001 42500000 0.0619568
chr1A 41000001 43000000 0.0309981
chr1A 41500001 43500000 0.0168052
chr1A 42000001 44000000 0.0300234
chr1A 42500001 44500000 0.042592
chr1A 43000001 45000000 0.0538193
chr1A 43500001 45500000 0.0713021
chr1A 44000001 46000000 0.0752854
chr1A 44500001 46500000 0.0567209
chr1A 45000001 47000000 0.0540032
chr1A 45500001 47500000 0.0529137
chr1A 46000001 48000000 0.0532876
chr1A 46500001 48500000 0.052009
chr1A 47000001 49000000 0.0650673
chr1A 47500001 49500000 0.0888987
chr1A 48000001 50000000 0.100031
chr1A 48500001 50500000 0.135973
chr1A 49000001 51000000 0.14698
chr1A 49500001 51500000 0.121229
chr1A 50000001 52000000 0.0945393
chr1A 50500001 52500000 0.0880836
chr1A 51000001 53000000 0.079406
chr1A 51500001 53500000 0.0613528
chr1A 52000001 54000000 0.0737337
chr1A 52500001 54500000 0.0652584
chr1A 53000001 55000000 0.0692957
chr1A 53500001 55500000 0.100578
chr1A 54000001 56000000 0.112565
chr1A 54500001 56500000 0.134356
chr1A 55000001 57000000 0.166981
chr1A 55500001 57500000 0.187197
chr1A 56000001 58000000 0.152776
chr1A 56500001 58500000 0.100259
chr1A 57000001 59000000 0.0769937
