hvid	chr	start	end
HORVU1Hr1G022830	chr1H	98750001	99750000
HORVU1Hr1G022840	chr1H	98750001	99750000
HORVU1Hr1G022870	chr1H	98750001	99750000
HORVU1Hr1G022880	chr1H	98750001	99750000
HORVU1Hr1G022900	chr1H	98750001	99750000
HORVU2Hr1G002500	chr2H	5250001	6250000
HORVU2Hr1G002510	chr2H	5250001	6250000
HORVU2Hr1G002520	chr2H	5250001	6250000
HORVU2Hr1G002570	chr2H	5250001	6250000
HORVU2Hr1G002580	chr2H	5250001	6250000
HORVU2Hr1G002600	chr2H	5250001	6250000
HORVU2Hr1G002610	chr2H	5250001	6250000
HORVU2Hr1G002620	chr2H	5250001	6250000
HORVU2Hr1G002630	chr2H	5250001	6250000
HORVU2Hr1G002640	chr2H	5250001	6250000
HORVU2Hr1G002650	chr2H	5250001	6250000
HORVU2Hr1G002660	chr2H	5250001	6250000
HORVU2Hr1G002690	chr2H	5250001	6250000
HORVU2Hr1G002710	chr2H	5250001	6250000
HORVU2Hr1G002720	chr2H	5250001	6250000
HORVU2Hr1G002750	chr2H	5250001	6250000
HORVU2Hr1G002800	chr2H	5250001	6250000
HORVU2Hr1G002830	chr2H	5250001	6250000
HORVU2Hr1G116370	chr2H	737750001	738750000
HORVU2Hr1G116380	chr2H	737750001	738750000
HORVU2Hr1G116390	chr2H	737750001	738750000
HORVU2Hr1G116410	chr2H	737750001	738750000
HORVU2Hr1G116420	chr2H	737750001	738750000
HORVU2Hr1G116440	chr2H	737750001	738750000
HORVU2Hr1G116450	chr2H	737750001	738750000
HORVU2Hr1G116460	chr2H	737750001	738750000
HORVU2Hr1G116480	chr2H	737750001	738750000
HORVU2Hr1G116490	chr2H	737750001	738750000
HORVU2Hr1G116500	chr2H	737750001	738750000
HORVU2Hr1G116510	chr2H	737750001	738750000
HORVU2Hr1G116520	chr2H	737750001	738750000
HORVU2Hr1G116530	chr2H	737750001	738750000
HORVU2Hr1G116540	chr2H	737750001	738750000
HORVU2Hr1G116570	chr2H	737750001	738750000
HORVU2Hr1G116600	chr2H	737750001	738750000
HORVU2Hr1G116610	chr2H	737750001	738750000
HORVU2Hr1G116620	chr2H	737750001	738750000
HORVU2Hr1G116630	chr2H	737750001	738750000
HORVU2Hr1G116650	chr2H	737750001	738750000
HORVU2Hr1G116660	chr2H	737750001	738750000
HORVU2Hr1G116670	chr2H	737750001	738750000
HORVU3Hr1G032650	chr3H	169000001	170000000
HORVU3Hr1G032660	chr3H	169000001	170000000
HORVU3Hr1G032680	chr3H	169000001	170000000
HORVU3Hr1G032690	chr3H	169000001	170000000
HORVU3Hr1G032700	chr3H	169000001	170000000
HORVU3Hr1G032710	chr3H	169000001	170000000
HORVU3Hr1G032730	chr3H	169000001	170000000
HORVU3Hr1G032740	chr3H	169000001	170000000
HORVU3Hr1G032750	chr3H	169000001	170000000
HORVU3Hr1G032760	chr3H	169000001	170000000
HORVU3Hr1G068520	chr3H	519250001	520250000
HORVU3Hr1G068540	chr3H	519250001	520250000
HORVU3Hr1G068550	chr3H	519250001	520250000
HORVU3Hr1G068560	chr3H	519250001	520250000
HORVU3Hr1G068570	chr3H	519250001	520250000
HORVU3Hr1G068580	chr3H	519250001	520250000
HORVU3Hr1G068590	chr3H	519250001	520250000
HORVU3Hr1G068600	chr3H	519250001	520250000
HORVU3Hr1G068610	chr3H	519250001	520250000
HORVU3Hr1G068620	chr3H	519250001	520250000
HORVU3Hr1G068630	chr3H	519250001	520250000
HORVU3Hr1G068640	chr3H	519250001	520250000
HORVU3Hr1G068650	chr3H	519250001	520250000
HORVU3Hr1G024630	chr3H	95750001	96750000
HORVU3Hr1G024640	chr3H	95750001	96750000
HORVU3Hr1G024650	chr3H	95750001	96750000
HORVU3Hr1G024660	chr3H	95750001	96750000
HORVU3Hr1G024690	chr3H	95750001	96750000
HORVU3Hr1G024700	chr3H	95750001	96750000
HORVU3Hr1G024720	chr3H	95750001	96750000
HORVU3Hr1G024810	chr3H	95750001	96750000
HORVU3Hr1G024820	chr3H	95750001	96750000
HORVU4Hr1G035120	chr4H	255000001	256000000
HORVU4Hr1G054600	chr4H	456500001	457500000
HORVU4Hr1G054610	chr4H	456500001	457500000
HORVU4Hr1G054630	chr4H	456500001	457500000
HORVU4Hr1G054650	chr4H	456500001	457500000
HORVU4Hr1G054720	chr4H	456500001	457500000
HORVU4Hr1G054750	chr4H	456500001	457500000
HORVU4Hr1G069990	chr4H	573500001	574500000
HORVU4Hr1G070070	chr4H	573500001	574500000
HORVU4Hr1G070090	chr4H	573500001	574500000
HORVU4Hr1G070120	chr4H	573500001	574500000
HORVU4Hr1G015330	chr4H	58750001	59750000
HORVU4Hr1G015340	chr4H	58750001	59750000
HORVU4Hr1G015350	chr4H	58750001	59750000
HORVU4Hr1G015370	chr4H	58750001	59750000
HORVU4Hr1G015400	chr4H	58750001	59750000
HORVU4Hr1G015410	chr4H	58750001	59750000
HORVU4Hr1G015420	chr4H	58750001	59750000
HORVU4Hr1G015450	chr4H	58750001	59750000
HORVU4Hr1G015460	chr4H	58750001	59750000
HORVU4Hr1G015470	chr4H	58750001	59750000
HORVU4Hr1G074800	chr4H	595750001	596750000
HORVU4Hr1G074810	chr4H	595750001	596750000
HORVU4Hr1G074830	chr4H	595750001	596750000
HORVU4Hr1G074840	chr4H	595750001	596750000
HORVU4Hr1G074850	chr4H	595750001	596750000
HORVU4Hr1G074930	chr4H	595750001	596750000
HORVU4Hr1G074950	chr4H	595750001	596750000
HORVU4Hr1G074960	chr4H	595750001	596750000
HORVU4Hr1G074970	chr4H	595750001	596750000
HORVU4Hr1G074980	chr4H	595750001	596750000
HORVU4Hr1G074990	chr4H	595750001	596750000
HORVU4Hr1G075000	chr4H	595750001	596750000
HORVU4Hr1G075010	chr4H	595750001	596750000
HORVU4Hr1G075040	chr4H	595750001	596750000
HORVU4Hr1G075070	chr4H	595750001	596750000
HORVU4Hr1G075080	chr4H	595750001	596750000
HORVU4Hr1G075090	chr4H	595750001	596750000
HORVU4Hr1G075100	chr4H	595750001	596750000
HORVU4Hr1G075110	chr4H	595750001	596750000
HORVU4Hr1G075120	chr4H	595750001	596750000
HORVU4Hr1G075140	chr4H	595750001	596750000
HORVU4Hr1G075150	chr4H	595750001	596750000
HORVU4Hr1G075160	chr4H	595750001	596750000
HORVU5Hr1G045850	chr5H	355250001	356250000
HORVU5Hr1G045860	chr5H	355250001	356250000
HORVU5Hr1G045870	chr5H	355250001	356250000
HORVU5Hr1G045880	chr5H	355250001	356250000
HORVU5Hr1G045890	chr5H	355250001	356250000
HORVU6Hr1G048180	chr6H	290250001	291250000
HORVU6Hr1G055620	chr6H	354000001	355000000
HORVU6Hr1G055630	chr6H	354000001	355000000
HORVU6Hr1G055640	chr6H	354000001	355000000
HORVU6Hr1G055660	chr6H	354000001	355000000
HORVU6Hr1G055720	chr6H	354000001	355000000
HORVU6Hr1G064450	chr6H	436750001	437750000
HORVU6Hr1G064460	chr6H	436750001	437750000
HORVU6Hr1G064470	chr6H	436750001	437750000
HORVU6Hr1G064480	chr6H	436750001	437750000
HORVU6Hr1G064500	chr6H	436750001	437750000
HORVU6Hr1G079270	chr6H	537250001	538250000
HORVU6Hr1G079320	chr6H	537250001	538250000
HORVU6Hr1G079360	chr6H	537250001	538250000
HORVU6Hr1G079410	chr6H	537250001	538250000
HORVU6Hr1G079430	chr6H	537250001	538250000
HORVU6Hr1G079440	chr6H	537250001	538250000
HORVU6Hr1G079450	chr6H	537250001	538250000
HORVU6Hr1G079470	chr6H	537250001	538250000
HORVU6Hr1G079550	chr6H	537250001	538250000
HORVU6Hr1G079560	chr6H	537250001	538250000
HORVU6Hr1G079590	chr6H	537250001	538250000
HORVU6Hr1G079600	chr6H	537250001	538250000
HORVU6Hr1G079630	chr6H	537250001	538250000
HORVU6Hr1G020600	chr6H	58750001	59750000
HORVU6Hr1G020610	chr6H	58750001	59750000
HORVU6Hr1G020670	chr6H	58750001	59750000
HORVU6Hr1G020690	chr6H	58750001	59750000
HORVU6Hr1G020710	chr6H	58750001	59750000
HORVU6Hr1G020720	chr6H	58750001	59750000
HORVU6Hr1G020730	chr6H	58750001	59750000
HORVU6Hr1G020740	chr6H	58750001	59750000
HORVU6Hr1G023720	chr6H	80750001	81750000
HORVU6Hr1G023730	chr6H	80750001	81750000
HORVU6Hr1G023740	chr6H	80750001	81750000
HORVU6Hr1G023770	chr6H	80750001	81750000
HORVU6Hr1G023790	chr6H	80750001	81750000
HORVU7Hr1G043250	chr7H	129750001	130750000
HORVU7Hr1G043270	chr7H	129750001	130750000
HORVU7Hr1G043280	chr7H	129750001	130750000
HORVU7Hr1G043300	chr7H	129750001	130750000
HORVU7Hr1G043320	chr7H	129750001	130750000
HORVU7Hr1G066300	chr7H	336000001	337000000
HORVU7Hr1G029160	chr7H	54500001	55500000
HORVU7Hr1G029170	chr7H	54500001	55500000
HORVU7Hr1G029190	chr7H	54500001	55500000
HORVU7Hr1G029200	chr7H	54500001	55500000
HORVU7Hr1G029230	chr7H	54500001	55500000
HORVU7Hr1G029260	chr7H	54500001	55500000
HORVU7Hr1G029280	chr7H	54500001	55500000
HORVU7Hr1G029290	chr7H	54500001	55500000
HORVU7Hr1G029310	chr7H	54500001	55500000
HORVU7Hr1G029320	chr7H	54500001	55500000
HORVU7Hr1G029330	chr7H	54500001	55500000
HORVU7Hr1G029350	chr7H	54500001	55500000
HORVU7Hr1G029400	chr7H	54500001	55500000
HORVU7Hr1G029420	chr7H	54500001	55500000
HORVU7Hr1G029440	chr7H	54500001	55500000
HORVU7Hr1G029460	chr7H	54500001	55500000
HORVU7Hr1G029510	chr7H	54500001	55500000
HORVU7Hr1G029520	chr7H	54500001	55500000
HORVU7Hr1G029530	chr7H	54500001	55500000
HORVU7Hr1G029540	chr7H	54500001	55500000
HORVU7Hr1G029550	chr7H	54500001	55500000
