species	product	piN	piS	pin/pis	atid	group
Bh	Brahy.D01G0010900	0.005277108	0.007648694	0.689935746	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D01G0011900	0.003838322	0.015265538	0.251437043	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D01G0395900	0.009521718	0.006931592	1.373669659	AT4G24190	Plant-pathogen interaction
Bh	Brahy.D01G0505600	0.000162232	0.000456413	0.355451006	AT1G69850	stomatal related
Bh	Brahy.D01G0624100	0.001479028	0.00342114	0.43232034	AT1G51660	Plant-pathogen interaction
Bh	Brahy.D01G0677700	0.000962962	0.000951921	1.011598949	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D01G0753700	0.009369728	0.050574863	0.185264524	AT1G25450	Plant-pathogen interaction
Bh	Brahy.D01G0839200	0.000729353	0.000832449	0.876153548	AT2G28630	Plant-pathogen interaction
Bh	Brahy.D01G0913000	0.002516268	0.003387107	0.742895969	AT5G02500	stomatal related
Bh	Brahy.D01G0913100	0.000182402	0.000244061	0.747361253	AT5G02500	stomatal related
Bh	Brahy.D01G0994300	0.003761182	0.008258524	0.455430291	AT2G26250	Plant-pathogen interaction
Bh	Brahy.D02G0004400	0.000492502	0.000726745	0.677681193	AT5G05660	stomatal related
Bh	Brahy.D02G0097300	0.00074138	0.002546198	0.291171267	AT2G46370	stomatal related
Bh	Brahy.D02G0138100	0.001068436	0.008174063	0.130710538	AT3G43810	Plant-pathogen interaction
Bh	Brahy.D02G0215600	0.00067386	0.001855445	0.363179916	AT1G18530	Plant-pathogen interaction
Bh	Brahy.D02G0492700	0.000198203	0.001285253	0.154212916	AT3G07040	Plant-pathogen interaction
Bh	Brahy.D02G0540600	0.000840657	0.002188115	0.384192184	AT1G57560	stomatal related
Bh	Brahy.D02G0588500	0.000456386	0.001495964	0.30507804	AT1G80080	stomatal related
Bh	Brahy.D02G0712400	0.001418516	0.004482265	0.316473092	AT3G08590	stomatal related
