tdid	chr	start	end
TRIDC1AG013170	chr1A	86500001	88500000
TRIDC1AG013150	chr1A	86500001	88500000
TRIDC1AG013120	chr1A	86500001	88500000
TRIDC1AG013180	chr1A	86500001	88500000
TRIDC1BG007100	chr1B	40500001	42500000
TRIDC1BG007130	chr1B	40500001	42500000
TRIDC1BG006900	chr1B	40500001	42500000
TRIDC1BG007040	chr1B	40500001	42500000
TRIDC1BG007220	chr1B	40500001	42500000
TRIDC1BG007060	chr1B	40500001	42500000
TRIDC1BG007120	chr1B	40500001	42500000
TRIDC1BG006960	chr1B	40500001	42500000
TRIDC1BG006970	chr1B	40500001	42500000
TRIDC1BG006930	chr1B	40500001	42500000
TRIDC1BG007160	chr1B	40500001	42500000
TRIDC1BG006890	chr1B	40500001	42500000
TRIDC1BG007230	chr1B	40500001	42500000
TRIDC1BG007030	chr1B	40500001	42500000
TRIDC1BG007110	chr1B	40500001	42500000
TRIDC1BG007170	chr1B	40500001	42500000
TRIDC1BG007240	chr1B	40500001	42500000
TRIDC1BG006880	chr1B	40500001	42500000
TRIDC1BG007010	chr1B	40500001	42500000
TRIDC1BG006950	chr1B	40500001	42500000
TRIDC2AG040610	chr2A	463500001	465500000
TRIDC2AG040550	chr2A	463500001	465500000
TRIDC2AG040570	chr2A	463500001	465500000
TRIDC2AG040520	chr2A	463500001	465500000
TRIDC2AG040600	chr2A	463500001	465500000
TRIDC2AG040580	chr2A	463500001	465500000
TRIDC2AG040630	chr2A	463500001	465500000
TRIDC2AG040560	chr2A	463500001	465500000
TRIDC2AG076940	chr2A	749000001	751000000
TRIDC2AG077000	chr2A	749000001	751000000
TRIDC2AG076910	chr2A	749000001	751000000
TRIDC2AG076980	chr2A	749000001	751000000
TRIDC2AG076930	chr2A	749000001	751000000
TRIDC2AG076640	chr2A	749000001	751000000
TRIDC2AG076800	chr2A	749000001	751000000
TRIDC2AG076920	chr2A	749000001	751000000
TRIDC2AG076960	chr2A	749000001	751000000
TRIDC2AG076860	chr2A	749000001	751000000
TRIDC2AG076990	chr2A	749000001	751000000
TRIDC2AG076690	chr2A	749000001	751000000
TRIDC2AG076880	chr2A	749000001	751000000
TRIDC2AG076730	chr2A	749000001	751000000
TRIDC2AG076900	chr2A	749000001	751000000
TRIDC2AG076790	chr2A	749000001	751000000
TRIDC2AG076660	chr2A	749000001	751000000
TRIDC2AG076700	chr2A	749000001	751000000
TRIDC2AG076630	chr2A	749000001	751000000
TRIDC2AG076890	chr2A	749000001	751000000
TRIDC2AG076970	chr2A	749000001	751000000
TRIDC2AG076780	chr2A	749000001	751000000
TRIDC2AG076680	chr2A	749000001	751000000
TRIDC2AG076850	chr2A	749000001	751000000
TRIDC2AG076760	chr2A	749000001	751000000
TRIDC2AG076740	chr2A	749000001	751000000
TRIDC2AG076950	chr2A	749000001	751000000
TRIDC2AG076620	chr2A	749000001	751000000
TRIDC2AG076830	chr2A	749000001	751000000
TRIDC2AG077040	chr2A	749000001	751000000
TRIDC2AG077080	chr2A	749000001	751000000
TRIDC2AG077050	chr2A	749000001	751000000
TRIDC2AG015250	chr2A	75000001	77000000
TRIDC2AG015090	chr2A	75000001	77000000
TRIDC2AG015180	chr2A	75000001	77000000
TRIDC2AG015020	chr2A	75000001	77000000
TRIDC2AG014970	chr2A	75000001	77000000
TRIDC2AG015320	chr2A	75000001	77000000
TRIDC2AG014990	chr2A	75000001	77000000
TRIDC2AG015030	chr2A	75000001	77000000
TRIDC2AG014960	chr2A	75000001	77000000
TRIDC2AG014980	chr2A	75000001	77000000
TRIDC2AG015240	chr2A	75000001	77000000
TRIDC2AG015220	chr2A	75000001	77000000
TRIDC2AG015170	chr2A	75000001	77000000
TRIDC2AG015010	chr2A	75000001	77000000
TRIDC2AG014940	chr2A	75000001	77000000
TRIDC2AG015210	chr2A	75000001	77000000
TRIDC2AG015100	chr2A	75000001	77000000
TRIDC2AG015190	chr2A	75000001	77000000
TRIDC2AG015140	chr2A	75000001	77000000
TRIDC2AG015270	chr2A	75000001	77000000
TRIDC2AG015280	chr2A	75000001	77000000
TRIDC2AG015260	chr2A	75000001	77000000
TRIDC2AG015120	chr2A	75000001	77000000
TRIDC2AG015310	chr2A	75000001	77000000
TRIDC2AG015160	chr2A	75000001	77000000
TRIDC2BG019800	chr2B	131500001	133500000
TRIDC2BG019790	chr2B	131500001	133500000
TRIDC2BG019750	chr2B	131500001	133500000
TRIDC2BG006350	chr2B	29000001	31000000
TRIDC2BG006300	chr2B	29000001	31000000
