bhdid	pin/pis_bh	bsid	pin/pis_bs
Brahy.D01G0211700	0.925480972	Brast02G213900	0.70151081
Brahy.D01G0248700	0.176334125	Brast06G027800	0.539279938
Brahy.D01G0285000	1.185921171	Brast06G060700	0.383020718
Brahy.D01G0285100	0.199670796	Brast06G060800	0.462292617
Brahy.D01G0332800	0.649741704	Brast06G103700	0.123016634
Brahy.D01G0394300	0.207024197	Brast07G237300	2.428768736
Brahy.D01G0425900	1.345221672	Brast07G214400	0.229028547
Brahy.D01G0505600	0.355451006	Brast07G153000	1.215472082
Brahy.D01G0512100	0.649539956	Brast07G147200	0.704480427
Brahy.D01G0569300	0.678504111	Brast07G104900	0.137094022
Brahy.D01G0753700	0.185264524	Brast06G198200	1.050386214
Brahy.D01G0803400	1.081767506	Brast06G232800	0.705606933
Brahy.D01G0839200	0.876153548	Brast02G198500	0.148603507
Brahy.D01G0994300	0.455430291	Brast02G066000	0.684242325
Brahy.D01G1037000	0.391077322	Brast02G031600	0.528560318
Brahy.D02G0004400	0.677681193	Brast01G414700	0.497356664
Brahy.D02G0148500	0.564005156	Brast01G294600	0.790836685
Brahy.D02G0215600	0.363179916	Brast08G013300	1.808810624
Brahy.D02G0329700	0.528952261	Brast08G101100	0.882683487
Brahy.D02G0378300	0.658025328	Brast08G137200	0.993608919
Brahy.D02G0508100	0.376225272	Brast08G231700	2.293596702
Brahy.D02G0602500	0.048987389	Brast01G201100	0.285845774
Brahy.D02G0603100	0.836136714	Brast01G200400	0.506369473
Brahy.D02G0617900	0.888340559	Brast01G188900	1.732163155
Brahy.D02G0623700	0.401432889	Brast01G184400	0.502036031
Brahy.D02G0660900	0.104451845	Brast01G151300	0.845198953
Brahy.D02G0733500	0.226114728	Brast01G089500	0.219248457
Brahy.D02G0733600	0.733166016	Brast01G089400	0.11949249
Brahy.D02G0764700	0.747612619	Brast01G062300	0.536415254
Brahy.D03G0016700	1.212184716	Brast04G329300	0.658109908
Brahy.D03G0069800	0.253160469	Brast04G284500	1.081825949
Brahy.D03G0112600	0.385373876	Brast04G250900	0.587115243
Brahy.D03G0115200	0.429845654	Brast04G248800	0.415523136
Brahy.D03G0119300	0.533517341	Brast04G246000	1.867340811
Brahy.D03G0119900	1.880085769	Brast04G244700	0.448103099
Brahy.D03G0127300	0.951760835	Brast04G238300	0.689380186
Brahy.D03G0132700	0.251858999	Brast04G232700	0.386594451
Brahy.D03G0148600	0.557961609	Brast04G220200	0.450364766
Brahy.D03G0312900	0.332865415	Brast03G096000	6.754627901
Brahy.D03G0357600	0.576620629	Brast03G128600	0.364237144
Brahy.D03G0373200	0.645262582	Brast03G139200	1.17913964
Brahy.D03G0402700	0.306636637	Brast03G161400	0.616384702
Brahy.D03G0405500	1.587830832	Brast03G164300	3.088007219
Brahy.D03G0408900	0.378228931	Brast03G166800	0.731160336
Brahy.D03G0410800	0.554341805	Brast03G168000	0.607408679
Brahy.D03G0426100	0.20466581	Brast03G179400	0.658367232
