Type	Shape	Chr	Start	End	color
Hs1	circle	chr2H	5250001	6250000	ff7f00
Hs2	circle	chr2H	737750001	738750000	ff7f00
Td1	box	chr2A	297000001	299000000	ff7f00
Td2	box	chr2A	463500001	465500000	ff7f00
Td3	box	chr2A	749000001	751000000	ff7f00
Td4	box	chr2A	75000001	77000000	ff7f00
Td5	triangle	chr2B	131500001	133500000	ff7f00
Td6	triangle	chr2B	29000001	31000000	ff7f00
Td8	triangle	chr2B	419000001	421000000	ff7f00
Td9	triangle	chr2B	434000001	436000000	ff7f00
Td10	triangle	chr2B	660500001	662500000	ff7f00
